T Pv mu cp  kt rho
12 0.00 5.52 1.550 0.1400 1065.9
15 0.00 5.00 1.558 0.1395 1063.5
20 0.00 4.29 1.573 0.1387 1059.6
25 0.00 3.71 1.587 0.1379 1055.7
30 0.00 3.25 1.601 0.1371 1051.7
35 0.00 2.87 1.616 0.1363 1047.8
40 0.00 2.56 1.630 0.1355 1043.8
45 0.00 2.30 1.644 0.1347 1039.8
50 0.00 2.07 1.658 0.1339 1035.8
55 0.00 1.88 1.673 0.1331 1031.8
60 0.00 1.72 1.687 0.1323 1027.8
65 0.00 1.58 1.701 0.1315 1023.7
70 0.00 1.46 1.715 0.1307 1019.7
75 0.00 1.35 1.729 0.1299 1015.6
80 0.00 1.25 1.744 0.1291 1011.5
85 0.00 1.17 1.758 0.1283 1007.4
90 0.00 1.09 1.772 0.1275 1003.2
95 0.00 1.03 1.786 0.1267 999.1
100 0.01 0.97 1.800 0.1259 994.9
105 0.01 0.91 1.814 0.1251 990.7
110 0.01 0.86 1.828 0.1243 986.5
115 0.01 0.82 1.842 0.1235 982.3
120 0.01 0.77 1.856 0.1227 978.1
125 0.02 0.73 1.870 0.1219 973.8
130 0.02 0.70 1.884 0.1211 969.5
135 0.03 0.67 1.898 0.1203 965.2
140 0.03 0.64 1.912 0.1195 960.9
145 0.04 0.61 1.926 0.1187 956.6
150 0.05 0.58 1.940 0.1179 952.2
155 0.06 0.56 1.954 0.1171 947.8
160 0.07 0.53 1.968 0.1163 943.4
165 0.08 0.51 1.982 0.1155 938.9
170 0.09 0.49 1.996 0.1147 934.5
175 0.11 0.47 2.010 0.1139 930.0
180 0.13 0.46 2.023 0.1131 925.5
185 0.15 0.44 2.037 0.1123 920.9
190 0.18 0.42 2.051 0.1115 916.4
195 0.21 0.41 2.065 0.1107 911.8
200 0.24 0.39 2.079 0.1099 907.1
205 0.28 0.38 2.093 0.1091 902.5
210 0.32 0.37 2.107 0.1083 897.8
215 0.37 0.35 2.120 0.1075 893.1
220 0.42 0.34 2.134 0.1067 888.3
225 0.48 0.33 2.148 0.1059 883.5
230 0.54 0.32 2.162 0.1051 878.7
235 0.61 0.31 2.176 0.1043 873.8
240 0.69 0.30 2.190 0.1035 868.9
245 0.77 0.29 2.204 0.1027 864.0
250 0.87 0.28 2.218 0.1019 859.0
255 0.97 0.27 2.231 0.1011 854.0
257.1 1.01 0.27 2.237 0.1008 851.9
260 1.08 0.27 2.245 0.1003 849.0
265 1.20 0.26 2.259 0.0995 843.9
270 1.33 0.25 2.273 0.0987 838.7
275 1.48 0.24 2.288 0.0979 833.6
280 1.63 0.24 2.302 0.0971 828.3
285 1.80 0.23 2.316 0.0963 823.0
290 1.98 0.22 2.330 0.0955 817.7
295 2.17 0.22 2.344 0.0947 812.3
300 2.38 0.21 2.359 0.0939 806.8
305 2.60 0.20 2.373 0.0931 801.3
310 2.84 0.20 2.388 0.0923 795.8
315 3.10 0.19 2.403 0.0915 790.1
320 3.37 0.19 2.417 0.0907 784.4
325 3.66 0.18 2.432 0.0899 778.6
330 3.96 0.18 2.448 0.0891 772.8
335 4.29 0.17 2.463 0.0883 766.9
340 4.64 0.17 2.479 0.0875 760.9
345 5.00 0.17 2.494 0.0867 754.8
350 5.39 0.16 2.511 0.0859 748.6
355 5.80 0.16 2.527 0.0851 742.3
360 6.24 0.15 2.544 0.0843 735.9
365 6.69 0.15 2.561 0.0835 729.4
370 7.18 0.15 2.579 0.0827 722.8
375 7.68 0.14 2.597 0.0819 716.1
380 8.22 0.14 2.616 0.0811 709.2
385 8.78 0.14 2.636 0.0803 702.2
390 9.37 0.13 2.657 0.0795 695.0
395 9.99 0.13 2.678 0.0787 687.7
400 10.64 0.13 2.701 0.0779 680.2
405 11.32 0.12 2.725 0.0771 672.5
410 12.03 0.12 2.751 0.0763 664.6
415 12.78 0.12 2.779 0.0755 656.5
420 13.56 0.11 2.809 0.0747 648.1
425 14.38 0.11 2.842 0.0739 639.4
