T;mu;cp;kt;rho
12;5.52;1.550;0.1400;1065.9
15;5.00;1.558;0.1395;1063.5
20;4.29;1.573;0.1387;1059.6
25;3.71;1.587;0.1379;1055.7
30;3.25;1.601;0.1371;1051.7
35;2.87;1.616;0.1363;1047.8
40;2.56;1.630;0.1355;1043.8
45;2.30;1.644;0.1347;1039.8
50;2.07;1.658;0.1339;1035.8
55;1.88;1.673;0.1331;1031.8
60;1.72;1.687;0.1323;1027.8
65;1.58;1.701;0.1315;1023.7
70;1.46;1.715;0.1307;1019.7
75;1.35;1.729;0.1299;1015.6
80;1.25;1.744;0.1291;1011.5
85;1.17;1.758;0.1283;1007.4
90;1.09;1.772;0.1275;1003.2
95;1.03;1.786;0.1267;999.1
100;0.97;1.800;0.1259;994.9
105;0.91;1.814;0.1251;990.7
110;0.86;1.828;0.1243;986.5
115;0.82;1.842;0.1235;982.3
120;0.77;1.856;0.1227;978.1
125;0.73;1.870;0.1219;973.8
130;0.70;1.884;0.1211;969.5
135;0.67;1.898;0.1203;965.2
140;0.64;1.912;0.1195;960.9
145;0.61;1.926;0.1187;956.6
150;0.58;1.940;0.1179;952.2
155;0.56;1.954;0.1171;947.8
160;0.53;1.968;0.1163;943.4
165;0.51;1.982;0.1155;938.9
170;0.49;1.996;0.1147;934.5
175;0.47;2.010;0.1139;930.0
180;0.46;2.023;0.1131;925.5
185;0.44;2.037;0.1123;920.9
190;0.42;2.051;0.1115;916.4
195;0.41;2.065;0.1107;911.8
200;0.39;2.079;0.1099;907.1
205;0.38;2.093;0.1091;902.5
210;0.37;2.107;0.1083;897.8
215;0.35;2.120;0.1075;893.1
220;0.34;2.134;0.1067;888.3
225;0.33;2.148;0.1059;883.5
230;0.32;2.162;0.1051;878.7
235;0.31;2.176;0.1043;873.8
240;0.30;2.190;0.1035;868.9
245;0.29;2.204;0.1027;864.0
250;0.28;2.218;0.1019;859.0
255;0.27;2.231;0.1011;854.0
257.1;0.27;2.237;0.1008;851.9
260;0.27;2.245;0.1003;849.0
265;0.26;2.259;0.0995;843.9
270;0.25;2.273;0.0987;838.7
275;0.24;2.288;0.0979;833.6
280;0.24;2.302;0.0971;828.3
285;0.23;2.316;0.0963;823.0
290;0.22;2.330;0.0955;817.7
295;0.22;2.344;0.0947;812.3
300;0.21;2.359;0.0939;806.8
305;0.20;2.373;0.0931;801.3
310;0.20;2.388;0.0923;795.8
315;0.19;2.403;0.0915;790.1
320;0.19;2.417;0.0907;784.4
325;0.18;2.432;0.0899;778.6
330;0.18;2.448;0.0891;772.8
335;0.17;2.463;0.0883;766.9
340;0.17;2.479;0.0875;760.9
345;0.17;2.494;0.0867;754.8
350;0.16;2.511;0.0859;748.6
355;0.16;2.527;0.0851;742.3
360;0.15;2.544;0.0843;735.9
365;0.15;2.561;0.0835;729.4
370;0.15;2.579;0.0827;722.8
375;0.14;2.597;0.0819;716.1
380;0.14;2.616;0.0811;709.2
385;0.14;2.636;0.0803;702.2
390;0.13;2.657;0.0795;695.0
395;0.13;2.678;0.0787;687.7
400;0.13;2.701;0.0779;680.2
405;0.12;2.725;0.0771;672.5
410;0.12;2.751;0.0763;664.6
415;0.12;2.779;0.0755;656.5
420;0.11;2.809;0.0747;648.1
425;0.11;2.842;0.0739;639.4
