Time stamp;Field HTF mass flow rate total | (kg/s);Field HTF temperature cold header inlet | (C);Field HTF temperature hot header outlet | (C);Field collector DNI-cosine product | (W/m2);Field collector fraction of time period tracking;Field collector incidence angle modifier;Field collector optical end loss;Field collector row shadowing loss;Field collector solar incidence angle | (deg);Field collector thermal and optical efficiency;Field collector tracking angle | (deg);Field thermal power absorbed | (MWt);Field thermal power incident after cosine | (MWt);Field thermal power pipe losses | (MWt);Field thermal power receiver heat loss | (kJ/hr-m2);Field thermal power receiver total loss | (MWt);Field thermal power total incident | (MWt);Field thermal power total produced | (MWt);Resource Pressure | (mbar);Resource Solar Azimuth | (deg);Resource Solar Zenith | (deg);Resource Wet bulb temperature | (C);Resource Wind Speed | (m/s);Resource Dry bulb temperature | (C);Resource Beam normal irradiance | (W/m2);System power generated | (kW);Cycle electrical power output (gross) | (MWe);"Cycle electrical power output (gross; solar share) | (MWe)";Cycle electrical power output (net) | (MWe);Cycle thermal energy dumped - TES is full | (MWt);Cycle thermal energy dumped - min, load requirement | (MWt);Cycle thermal energy dumped - solar field | (MWt);Cycle thermal power input | (MWt);Field collector cosine efficiency
01/01/2007 0:00;0;94,6596;94,2421;0;0;1,00029;0,995913;0;16,1193;0;0;0;0;0,250906;1,79393;0,703938;0;0;998;10,9753;163,064;8,22812;2,3;9,4;0;-355,488;0;0;-0,3703;0;0;0;0;0,960686
01/01/2007 1:00;0;92,0145;91,6103;0;0;1,0016;0,996356;0;14,4509;0;0;0;0;0,247797;1,7151;0,673006;0;0;999;49,3841;157,017;7,29062;1,8;9,4;0;-355,488;0;0;-0,3703;0;0;0;0;0,968362
01/01/2007 2:00;0;89,4181;89,0245;0;0;1,0034;0,997368;0;10,5421;0;0;0;0;0,244976;1,6509;0,647814;0;0;999;70,1802;146,922;6,93437;1,5;9,2;0;-355,488;0;0;-0,3703;0;0;0;0;0,983121
01/01/2007 3:00;0;86,8616;86,4767;0;0;1,00301;0,998817;0;4,7819;0;0;0;0;0,241934;1,59986;0,627785;0;0;999;83,104;135,615;6,93437;1,8;9,2;0;-355,488;0;0;-0,3703;0;0;0;0;0,996519
01/01/2007 4:00;0;84,3483;83,9726;0;0;1,00183;0,9994;0;2,42901;0;0;0;0;0,239014;1,54585;0,606591;0;0;999;92,9449;124,007;6,75625;1,8;9,1;0;-355,488;0;0;-0,3703;0;0;0;0;0,999102
01/01/2007 5:00;0;81,8746;81,5068;0;0;1,00336;0,997327;0;10,704;0;0;0;0;0,23607;1,49971;0,588487;0;0;999;101,632;112,486;6,73438;2,1;9;0;-355,488;0;0;-0,3703;0;0;0;0;0,9826
01/01/2007 6:00;0;79,4542;79,0972;0;0;0,996353;0,994939;0;19,6916;0;0;0;0;0,232979;1,4378;0,564195;0;0;999;110,129;101,311;6,65625;1,6;9;0;-355,488;0;0;-0,3703;0;0;0;0;0,94152
01/01/2007 7:00;0;77,0736;76,7237;0;0;0,977468;0,992985;0;29,063;0;0;0;0;0,229819;1,3983;0,548695;0;0;999;119,07;90,744;6,5;2,3;9;0;-355,488;0;0;-0,3703;0;0;0;0;0,874086
01/01/2007 8:00;0;74,7559;74,4184;0;0,565218;0,943131;0,992166;0,648386;38,2156;0;-76,7365;0;0;0,22591;1,33074;0,522184;0;0;999;128,971;81,5633;6,92188;2;9,5;0;-355,488;0;0;-0,3703;0;0;0;0;0,785689
01/01/2007 9:00;0;128,576;158,545;135,243;1;0,88315;0,991098;1;47,4513;0,425634;-64,8269;35,156;53,0694;0,341805;3,59447;1,41047;78,48;0;999;140,283;73,331;7,50937;3,7;10,4;200;-355,488;0;0;-0,3703;0;0;0;0;0,676216
01/01/2007 10:00;0;144,332;144,791;10,2527;1;0,797605;0,989848;1;55,278;0,0956855;-46,5414;2,40397;4,02317;0,342848;3,53026;1,38527;7,0632;0;999;153,296;66,9639;7,42813;3;11,1;18;-355,488;0;0;-0,3703;0;0;0;0;0,569595
01/01/2007 11:00;0;146,263;147,276;14,6836;1;0,705307;0,988651;1;60,6953;0,108782;-22,4338;3,0408;5,76186;0,347376;3,60053;1,41285;11,772;0;999;167,91;63,0938;7,91562;2,8;11,9;30;-355,488;0;0;-0,3703;0;0;0;0;0,489455
01/01/2007 12:00;0;158,914;166,269;52,457;1;0,675257;0,98828;1;62,0717;0,187349;6,46775;10,3965;20,5841;0,408233;4,47115;1,75448;43,9488;0;999;183,417;62,2091;8,30313;3,3;12,6;112;-355,488;0;0;-0,3703;0;0;0;0;0,468366
01/01/2007 13:00;0;193,164;212,66;115,49;1;0,741648;0,98911;1;58,809;0,245536;33,9083;25,1605;45,3183;0,6992;7,58329;2,97568;87,5052;0;999;198,662;64,4367;8,6125;3,7;13,3;223;-355,488;0;0;-0,3703;0;0;0;0;0,517893
01/01/2007 14:00;0;266,376;311,621;244,27;1;0,837149;0,990402;1;52,1393;0,319216;55,4432;60,1475;95,8516;2,37206;20,1881;7,92182;156,175;0;999;212,628;69,4686;8,87813;3,3;13,8;398;-355,488;0;0;-0,3703;0;0;0;0;0,613744
01/01/2007 15:00;286,347;293;393;516,658;1;0,911884;0,991577;0,882238;43,6467;0,371935;71,8095;122,402;202,736;4,5017;34,8976;13,6938;280,174;69,9438;999;224,885;76,7291;9,43437;4,7;14,2;714;16782;19,2942;19,2942;17,4813;0;0;0;50,9547;0,72361
01/01/2007 16:00;0;323,542;318,995;81,1963;0,0975878;0,961138;0,99256;0;34,0515;0;79,9568;0;31,8614;3,54387;27,3171;10,7192;38,4552;0;999;235,537;85,5465;9,30313;3,5;13,6;98;-355,488;0;0;-0,3703;0;0;0;0;0,828534
01/01/2007 17:00;0;304,894;301,028;0;0;0,987558;0,993439;0;24,8884;0;0;0;0;2,861;22,905;8,98791;0;0;999;244,965;95,2569;8,97656;4;13;0;-355,488;0;0;-0,3703;0;0;0;0;0,907129
01/01/2007 18:00;0;288,982;285,651;0;0;1,00071;0,996045;0;15,6246;0;0;0;0;2,36354;19,4732;7,64128;0;0;999;253,652;106,123;10,1344;3;12,4;0;-355,488;0;0;-0,3703;0;0;0;0;0,963047
01/01/2007 19:00;0;275,15;272,231;0;0;1,00356;0,998287;0;6,90671;0;0;0;0;1,98458;16,9037;6,63302;0;0;999;262,153;117,478;10,65;3;11,9;0;-355,488;0;0;-0,3703;0;0;0;0;0,992743
01/01/2007 20:00;0;262,923;260,324;0;0;1,00077;0,999771;0;0,927321;0;0;0;0;1,6968;14,9136;5,85211;0;0;999;271,208;129,069;9,65938;3,3;11,3;0;-355,488;0;0;-0,3703;0;0;0;0;0,999869
01/01/2007 21:00;0;252,069;249,754;0;0;1,00363;0,998137;0;7,50536;0;0;0;0;1,47206;13,1471;5,15893;0;0;999;282,083;140,603;9,45;2,3;10,7;0;-355,488;0;0;-0,3703;0;0;0;0;0,991433
01/01/2007 22:00;0;242,322;240,236;0;0;1,00272;0,99687;0;12,4819;0;0;0;0;1,29295;11,7368;4,60552;0;0;999;297,6;151,543;8,92813;1,8;10,1;0;-355,488;0;0;-0,3703;0;0;0;0;0,976364
01/01/2007 23:00;0;233,471;231,573;0;0;1,00086;0,996094;0;15,4411;0;0;0;0;1,14608;10,5904;4,15568;0;0;999;324,867;160,392;8,42813;1,6;9,6;0;-355,488;0;0;-0,3703;0;0;0;0;0,963905
02/01/2007 0:00;0;225,327;223,581;0;0;1,00022;0,99589;0;16,2046;0;0;0;0;1,02789;9,6783;3,79776;0;0;999;10,5493;162,998;7,72812;1,8;8,9;0;-355,488;0;0;-0,3703;0;0;0;0;0,960271
02/01/2007 1:00;0;217,691;216,055;0;0;1,00152;0,996328;0;14,5565;0;0;0;0;0,933397;9,02078;3,53975;0;0;999;49,0242;157,021;6,49375;3;7,9;0;-355,488;0;0;-0,3703;0;0;0;0;0,9679
02/01/2007 2:00;0;210,502;208,968;0;0;1,00337;0,997338;0;10,6606;0;0;0;0;0,84521;8,42903;3,30755;0;0;999;69,9323;146,957;6,30625;4,5;7,4;0;-355,488;0;0;-0,3703;0;0;0;0;0,98274
