"Time stamp";"Field HTF mass flow rate total | (kg/s)";"Field HTF temperature cold header inlet | (C)";"Field HTF temperature hot header outlet | (C)";"Field collector DNI-cosine product | (W/m2)";"Field collector fraction of time period tracking";"Field collector incidence angle modifier";"Field collector optical end loss";"Field collector row shadowing loss";"Field collector solar incidence angle | (deg)";"Field collector thermal and optical efficiency";"Field collector tracking angle | (deg)";"Field thermal power absorbed | (MWt)";"Field thermal power incident after cosine | (MWt)";"Field thermal power pipe losses | (MWt)";"Field thermal power receiver heat loss | (kJ/hr-m2)";"Field thermal power receiver total loss | (MWt)";"Field thermal power total incident | (MWt)";"Field thermal power total produced | (MWt)";"Resource Pressure | (mbar)";"Resource Solar Azimuth | (deg)";"Resource Solar Zenith | (deg)";"Resource Wet bulb temperature | (C)";"Resource Wind Speed | (m/s)";"Resource Dry bulb temperature | (C)";"Resource Beam normal irradiance | (W/m2)";"System power generated | (kW)";"Cycle electrical power output (gross) | (MWe)";"Cycle electrical power output (gross; solar share) | (MWe)";"Cycle electrical power output (net) | (MWe)";"Cycle thermal energy dumped - TES is full | (MWt)";"Cycle thermal energy dumped - min, load requirement | (MWt)";"Cycle thermal energy dumped - solar field | (MWt)";"Cycle thermal power input | (MWt)";"Field collector cosine efficiency";"Parasitic power total consumption | (MWe)"
"Jan 1; 12:00 am";0;50,001;49,999;0;0;1,00091;0,996111;0;15,3768;0;0;0;0;0,191521;0,999014;0,392013;0;0;998;325,035;160,518;3,86562;1,3;4,1;0;-355,488;0;0;-0,3703;0;0;0;0;0,964203;0,3703
"Jan 1; 01:00 am";0;50,001;49,999;0;0;1,00029;0,995913;0;16,1193;0;0;0;0;0,178665;0,842852;0,330735;0;0;998;10,9753;163,064;8,22812;2,3;9,4;0;-355,488;0;0;-0,3703;0;0;0;0;0,960686;0,3703
"Jan 1; 02:00 am";0;50,001;49,999;0;0;1,0016;0,996356;0;14,4509;0;0;0;0;0,178665;0,846174;0,332039;0;0;999;49,3841;157,017;7,29062;1,8;9,4;0;-355,488;0;0;-0,3703;0;0;0;0;0,968362;0,3703
"Jan 1; 03:00 am";0;50,001;49,999;0;0;1,0034;0,997368;0;10,5421;0;0;0;0;0,179183;0,854056;0,335132;0;0;999;70,1802;146,922;6,93437;1,5;9,2;0;-355,488;0;0;-0,3703;0;0;0;0;0,983121;0,3703
"Jan 1; 04:00 am";0;50,001;49,999;0;0;1,00301;0,998817;0;4,7819;0;0;0;0;0,179183;0,851889;0,334281;0;0;999;83,104;135,615;6,93437;1,8;9,2;0;-355,488;0;0;-0,3703;0;0;0;0;0,996519;0,3703
"Jan 1; 05:00 am";0;50,001;49,999;0;0;1,00183;0,9994;0;2,42901;0;0;0;0;0,179441;0,854746;0,335402;0;0;999;92,9449;124,007;6,75625;1,8;9,1;0;-355,488;0;0;-0,3703;0;0;0;0;0,999102;0,3703
"Jan 1; 06:00 am";0;50,001;49,999;0;0;1,00336;0,997327;0;10,704;0;0;0;0;0,179698;0,855659;0,335761;0;0;999;101,632;112,486;6,73438;2,1;9;0;-355,488;0;0;-0,3703;0;0;0;0;0,9826;0,3703
"Jan 1; 07:00 am";0;50,001;49,999;0;0;0,996353;0,994939;0;19,6916;0;0;0;0;0,179698;0,858991;0,337068;0;0;999;110,129;101,311;6,65625;1,6;9;0;-355,488;0;0;-0,3703;0;0;0;0;0,94152;0,3703
"Jan 1; 08:00 am";0;50,001;49,999;0;0;0,977468;0,992985;0;29,063;0;0;0;0;0,179698;0,85444;0,335282;0;0;999;119,07;90,744;6,5;2,3;9;0;-355,488;0;0;-0,3703;0;0;0;0;0,874086;0,3703
"Jan 1; 09:00 am";0;50,001;49,999;0;0,565218;0,943131;0,992166;0,648386;38,2156;0;-76,7365;0;0;0,178405;0,841922;0,33037;0;0;999;128,971;81,5633;6,92188;2;9,5;0;-355,488;0;0;-0,3703;0;0;0;0;0,785689;0,3703
"Jan 1; 10:00 am";inf;293;393;135,243;1;0,88315;0,991098;1;47,4513;0,216894;-64,8269;35,156;53,0694;4,69265;34,2546;13,4415;78,48;17,0219;999;140,283;73,331;7,50937;3,7;10,4;200;-368,018;0;0;-0,383353;0;0;0;0;0,676216;0,383353
"Jan 1; 11:00 am";-nan(ind);293;393;10,2527;1;0,797605;0,989848;1;55,278;0;-46,5414;2,40397;4,02317;4,65705;33,9205;13,3104;7,0632;0;999;153,296;66,9639;7,42813;3;11,1;18;-355,488;0;0;-0,3703;0;0;0;0;0,569595;0,3703
"Jan 1; 12:00 pm";-nan(ind);293;393;14,6836;1;0,705307;0,988651;1;60,6953;0;-22,4338;3,0408;5,76186;4,61659;33,863;13,2879;11,772;0;999;167,91;63,0938;7,91562;2,8;11,9;30;-355,488;0;0;-0,3703;0;0;0;0;0,489455;0,3703
"Jan 1; 01:00 pm";-nan(ind);293;393;52,457;1;0,675257;0,98828;1;62,0717;0;6,46775;10,3965;20,5841;4,5814;33,9769;13,3325;43,9488;0;999;183,417;62,2091;8,30313;3,3;12,6;112;-355,488;0;0;-0,3703;0;0;0;0;0,468366;0,3703
"Jan 1; 02:00 pm";inf;293;393;115,49;1;0,741648;0,98911;1;58,809;0,0826158;33,9083;25,1605;45,3183;4,54641;34,1102;13,3848;87,5052;7,22931;999;198,662;64,4367;8,6125;3,7;13,3;223;-356,728;0;0;-0,371592;0;0;0;0;0,517893;0,371592
"Jan 1; 03:00 pm";inf;293;393;244,27;1;0,837149;0,990402;1;52,1393;0,270171;55,4432;60,1475;95,8516;4,52153;34,2304;13,432;156,175;42,194;999;212,628;69,4686;8,87813;3,3;13,8;398;8348,89;10,3301;10,3301;8,69676;0;0;0;30,4341;0,613744;1,63334
"Jan 1; 04:00 pm";inf;293;393;516,658;1;0,911884;0,991577;0,882238;43,6467;0,371935;71,8095;122,402;202,736;4,5017;34,8976;13,6938;280,174;104,206;999;224,885;76,7291;9,43437;4,7;14,2;714;38465,6;42,7383;42,7383;40,0683;0;0;0;104,206;0,72361;2,66994
"Jan 1; 05:00 pm";0;50,001;49,999;81,1963;0,0975878;0,961138;0,99256;0;34,0515;0;79,9568;0;31,8614;0,167147;0,713887;0,280129;38,4552;0;999;235,537;85,5465;9,30313;3,5;13,6;98;-355,488;0;0;-0,3703;0;0;0;0;0,828534;0,3703
"Jan 1; 06:00 pm";0;50,001;49,999;0;0;0,987558;0,993439;0;24,8884;0;0;0;0;0,168869;0,725427;0,284658;0;0;999;244,965;95,2569;8,97656;4;13;0;-355,488;0;0;-0,3703;0;0;0;0;0,907129;0,3703
"Jan 1; 07:00 pm";0;50,001;49,999;0;0;1,00071;0,996045;0;15,6246;0;0;0;0;0,170566;0,750381;0,29445;0;0;999;253,652;106,123;10,1344;3;12,4;0;-355,488;0;0;-0,3703;0;0;0;0;0,963047;0,3703
"Jan 1; 08:00 pm";0;50,001;49,999;0;0;1,00356;0,998287;0;6,90671;0;0;0;0;0,171959;0,765111;0,30023;0;0;999;262,153;117,478;10,65;3;11,9;0;-355,488;0;0;-0,3703;0;0;0;0;0,992743;0,3703
"Jan 1; 09:00 pm";0;50,001;49,999;0;0;1,00077;0,999771;0;0,927321;0;0;0;0;0,173608;0,780816;0,306392;0;0;999;271,208;129,069;9,65938;3,3;11,3;0;-355,488;0;0;-0,3703;0;0;0;0;0,999869;0,3703
"Jan 1; 10:00 pm";0;50,001;49,999;0;0;1,00363;0,998137;0;7,50536;0;0;0;0;0,175232;0,805191;0,315957;0;0;999;282,083;140,603;9,45;2,3;10,7;0;-355,488;0;0;-0,3703;0;0;0;0;0,991433;0,3703
"Jan 1; 11:00 pm";0;50,001;49,999;0;0;1,00272;0,99687;0;12,4819;0;0;0;0;0,176831;0,826173;0,32419;0;0;999;297,6;151,543;8,92813;1,8;10,1;0;-355,488;0;0;-0,3703;0;0;0;0;0,976364;0,3703
"Jan 2; 12:00 am";0;50,001;49,999;0;0;1,00086;0,996094;0;15,4411;0;0;0;0;0,178144;0,841952;0,330382;0;0;999;324,867;160,392;8,42813;1,6;9,6;0;-355,488;0;0;-0,3703;0;0;0;0;0,963905;0,3703
"Jan 2; 01:00 am";0;50,001;49,999;0;0;1,00022;0,99589;0;16,2046;0;0;0;0;0,179955;0,860461;0,337645;0;0;999;10,5493;162,998;7,72812;1,8;8,9;0;-355,488;0;0;-0,3703;0;0;0;0;0,960271;0,3703
"Jan 2; 02:00 am";0;50,001;49,999;0;0;1,00152;0,996328;0;14,5565;0;0;0;0;0,182485;0,882948;0,346469;0;0;999;49,0242;157,021;6,49375;3;7,9;0;-355,488;0;0;-0,3703;0;0;0;0;0,9679;0,3703
"Jan 2; 03:00 am";0;50,001;49,999;0;0;1,00337;0,997338;0;10,6606;0;0;0;0;0,183725;0,892052;0,350041;0;0;999;69,9323;146,957;6,30625;4,5;7,4;0;-355,488;0;0;-0,3703;0;0;0;0;0,98274;0,3703
