date;DNI;DryBulb;Pressure;Wspd;SB.NO.a.mf;SB.NO.a.tin;SB.NO.a.tout;NetPower;AuxPower;GrossPower;SB.NO.a.pin;SB.NO.a.pout;NoGeneration [kW];SF.a.pwr(2);Cycle thermal energy dumped - solar field | (MWt);Parasitic power total consumption | (MWe)
01/01/2007 0:00;0;9,4;998;2,3;204;143,196;142,559;-0,3703;0,3703;0;2000000;2000000;;;;
01/01/2007 1:00;0;9,4;999;1,8;204;139,823;139,212;-0,3703;0,3703;0;2000000;2000000;;;;
01/01/2007 2:00;0;9,2;999;1,5;204;136,529;135,94;-0,3703;0,3703;0;2000000;2000000;;;;
01/01/2007 3:00;0;9,2;999;1,8;204;133,303;132,733;-0,3703;0,3703;0;2000000;2000000;;;;
01/01/2007 4:00;0;9,1;999;1,8;204;130,141;129,59;-0,3703;0,3703;0;2000000;2000000;;;;
01/01/2007 5:00;0;9;999;2,1;204;127,035;126,501;-0,3703;0,3703;0;2000000;2000000;;;;
01/01/2007 6:00;0;9;999;1,6;204;123,995;123,479;-0,3703;0,3703;0;2000000;2000000;;;;
01/01/2007 7:00;0;9;999;2,3;204;121,003;120,501;-0,3703;0,3703;0;2000000;2000000;;;;
01/01/2007 8:00;0;9,5;999;2;204;118,079;117,596;-0,3703;0,3703;0;2000000;2000000;;;;
01/01/2007 9:00;200;10,4;999;3,7;204;167,063;196,306;-0,3703;0,3703;0;2000000;2000000;;;;
01/01/2007 10:00;18;11,1;999;3;204;177,54;176,595;-0,3703;0,3703;0;2000000;2000000;;;;
01/01/2007 11:00;30;11,9;999;2,8;204;177,892;178,408;-0,3703;0,3703;0;2000000;2000000;;;;
01/01/2007 12:00;112;12,6;999;3,3;204;188,783;195,524;-0,3703;0,3703;0;2000000;2000000;;;;
01/01/2007 13:00;223;13,3;999;3,7;204;219,996;238,471;-0,3703;0,3703;0;2000000;2000000;;;;
01/01/2007 14:00;398;13,8;999;3,3;204;288,074;331,274;-0,3703;0,3703;0;2000000;2000000;;;;
01/01/2007 15:00;714;14,2;999;4,7;341,554;293;393;21,5438;1,90285;23,4466;2000000;2000000;;;;
01/01/2007 16:00;98;13,6;999;3,5;204;323,947;319,535;-0,3703;0,3703;0;2000000;2000000;;;;
01/01/2007 17:00;0;13;999;4;204;305,71;301,959;-0,3703;0,3703;0;2000000;2000000;;;;
01/01/2007 18:00;0;12,4;999;3;204;290,114;286,873;-0,3703;0,3703;0;2000000;2000000;;;;
01/01/2007 19:00;0;11,9;999;3;204;276,551;273,709;-0,3703;0,3703;0;2000000;2000000;;;;
01/01/2007 20:00;0;11,3;999;3,3;204;264,572;262,043;-0,3703;0,3703;0;2000000;2000000;;;;
01/01/2007 21:00;0;10,7;999;2,3;204;253,911;251,651;-0,3703;0,3703;0;2000000;2000000;;;;
01/01/2007 22:00;0;10,1;999;1,8;204;244,32;242,28;-0,3703;0,3703;0;2000000;2000000;;;;
01/01/2007 23:00;0;9,6;999;1,6;204;235,606;233,749;-0,3703;0,3703;0;2000000;2000000;;;;
02/01/2007 0:00;0;8,9;999;1,8;204;227,602;225,895;-0,3703;0,3703;0;2000000;2000000;;;;
02/01/2007 1:00;0;7,9;999;3;204;220,141;218,552;-0,3703;0,3703;0;2000000;2000000;;;;
02/01/2007 2:00;0;7,4;999;4,5;204;213,165;211,683;-0,3703;0,3703;0;2000000;2000000;;;;
02/01/2007 3:00;0;7;999;4;204;206,66;205,285;-0,3703;0,3703;0;2000000;2000000;;;;
02/01/2007 4:00;0;6,6;999;4,7;204;200,54;199,253;-0,3703;0,3703;0;2000000;2000000;;;;
02/01/2007 5:00;0;6,3;999;3,7;204;194,794;193,594;-0,3703;0,3703;0;2000000;2000000;;;;
02/01/2007 6:00;0;6;999;4,5;204;189,34;188,207;-0,3703;0,3703;0;2000000;2000000;;;;
02/01/2007 7:00;0;6;999;2,6;204;184,206;183,151;-0,3703;0,3703;0;2000000;2000000;;;;
02/01/2007 8:00;5;6,4;999;2,8;204;179,328;178,333;-0,3703;0,3703;0;2000000;2000000;;;;
02/01/2007 9:00;202;7,6;999;2,7;204;220,562;248,051;-0,3703;0,3703;0;2000000;2000000;;;;
02/01/2007 10:00;465;8,4;999;3;204;293,98;338,216;-0,3703;0,3703;0;2000000;2000000;;;;
02/01/2007 11:00;743;9,8;999;2,3;204;293;393;4,3839;1,57471;5,95862;2000000;2000000;;;;
02/01/2007 12:00;356;10,3;999;3,3;204;293;393;-0,381421;0,381421;0;2000000;2000000;;;;
02/01/2007 13:00;4;9,8;999;3,7;204;323,76;319,303;-0,3703;0,3703;0;2000000;2000000;;;;
02/01/2007 14:00;350;10,2;999;2,7;204;293;393;-0,389414;0,389414;0;2000000;2000000;;;;
02/01/2007 15:00;50;9,8;999;3,5;204;323,746;319,287;-0,3703;0,3703;0;2000000;2000000;;;;
02/01/2007 16:00;29;9,1;999;2,7;204;305,334;301,546;-0,3703;0,3703;0;2000000;2000000;;;;
02/01/2007 17:00;0;8,6;999;3;204;289,569;286,293;-0,3703;0,3703;0;2000000;2000000;;;;
02/01/2007 18:00;0;8,1;999;2,1;204;275,904;273,041;-0,3703;0,3703;0;2000000;2000000;;;;
02/01/2007 19:00;0;7,5;999;1,6;204;263,876;261,339;-0,3703;0,3703;0;2000000;2000000;;;;
02/01/2007 20:00;0;7;999;1,3;204;253,161;250,89;-0,3703;0,3703;0;2000000;2000000;;;;
02/01/2007 21:00;0;6,5;999;1;204;243,521;241,472;-0,3703;0,3703;0;2000000;2000000;;;;
02/01/2007 22:00;0;5,9;999;0,7;204;234,77;232,906;-0,3703;0,3703;0;2000000;2000000;;;;
02/01/2007 23:00;0;5,4;999;0,4;204;226,77;225,066;-0,3703;0,3703;0;2000000;2000000;;;;
03/01/2007 0:00;0;5;999;0,2;204;219,399;217,832;-0,3703;0,3703;0;2000000;2000000;;;;
03/01/2007 1:00;0;4,7;999;0,2;204;212,558;211,107;-0,3703;0,3703;0;2000000;2000000;;;;
03/01/2007 2:00;0;4,4;999;0,5;204;206,144;204,788;-0,3703;0,3703;0;2000000;2000000;;;;
