date;DNI;DryBulb;Pressure;Wspd;SB.NO.a.mf;SB.NO.a.tin;SB.NO.a.tout;NetPower;AuxPower;GrossPower;SB.NO.a.pin;SB.NO.a.pout;NoGeneration [kW];SF.a.pwr(2);Cycle thermal energy dumped - solar field | (MWt);Parasitic power total consumption | (MWe)
01/01/2007 0:00;0;9,4;998;2,3;204;142,789;142,102;-0,3703;0,3703;0;7,544584357;6,8957498;;;;
01/01/2007 1:00;0;9,4;999;1,8;204;139,214;138,559;-0,3703;0,3703;0;7,55248075;6,880483607;;;;
01/01/2007 2:00;0;9,2;999;1,5;204;135,738;135,109;-0,3703;0,3703;0;7,435636429;6,866565923;;;;
01/01/2007 3:00;0;9,2;999;1,8;204;132,329;131,719;-0,3703;0,3703;0;7,412044;6,803465;;;;
01/01/2007 4:00;0;9,1;999;1,8;204;128,991;128,402;-0,3703;0,3703;0;7,386656;6,7161465;;;;
01/01/2007 5:00;0;9;999;2,1;204;125,709;125,137;-0,3703;0,3703;0;7,351408;6,703144154;;;;
01/01/2007 6:00;0;9;999;1,6;204;122,511;121,962;-0,3703;0,3703;0;7,3049449;6,732631895;;;;
01/01/2007 7:00;0;9;999;2,3;204;119,352;118,814;-0,3703;0,3703;0;7,322568833;6,6999245;;;;
01/01/2007 8:00;0;9,5;999;2;204;116,271;115,755;-0,3703;0,3703;0;6,684623951;6,259111843;;;;
01/01/2007 9:00;200;10,4;999;3,7;204;164,889;194,077;-0,3703;0,3703;0;8,268840426;7,459224847;;;;
01/01/2007 10:00;18;11,1;999;3;204;175,162;174,175;-0,3703;0,3703;0;8,900725079;7,810641355;;;;
01/01/2007 11:00;30;11,9;999;2,8;204;175,347;175,774;-0,3703;0,3703;0;8,891591964;7,793437803;;;;
01/01/2007 12:00;112;12,6;999;3,3;204;186,026;192,689;-0,3703;0,3703;0;8,886043066;7,769646806;;;;
01/01/2007 13:00;223;13,3;999;3,7;204;217,023;235,458;-0,3703;0,3703;0;8,87593136;7,752183726;;;;
01/01/2007 14:00;398;13,8;999;3,3;204;284,945;328,235;-0,3703;0,3703;0;8,853663527;7,759169111;;;;
01/01/2007 15:00;714;14,2;999;4,7;331,074;293;393;20,4841;1,8831;22,3672;8,960082435;7,837803948;;;;
01/01/2007 16:00;98;13,6;999;3,5;204;323,54;318,997;-0,3703;0,3703;0;9,6881199;8,735694304;;;;
01/01/2007 17:00;0;13;999;4;204;304,893;301,03;-0,3703;0,3703;0;8,4488965;7,690855167;;;;
01/01/2007 18:00;0;12,4;999;3;204;288,981;285,653;-0,3703;0,3703;0;8,727994925;8,02527327;;;;
01/01/2007 19:00;0;11,9;999;3;204;275,15;272,232;-0,3703;0,3703;0;8,835995217;8,136081927;;;;
01/01/2007 20:00;0;11,3;999;3,3;204;262,922;260,326;-0,3703;0,3703;0;8,726146907;8,059016;;;;
01/01/2007 21:00;0;10,7;999;2,3;204;252,069;249,755;-0,3703;0,3703;0;8,664833778;7,945920956;;;;
01/01/2007 22:00;0;10,1;999;1,8;204;242,322;240,237;-0,3703;0,3703;0;8,609434089;7,895900256;;;;
01/01/2007 23:00;0;9,6;999;1,6;204;233,47;231,574;-0,3703;0,3703;0;8,5306072;7,857023953;;;;
02/01/2007 0:00;0;8,9;999;1,8;204;225,327;223,582;-0,3703;0,3703;0;8,470335;7,767005566;;;;
02/01/2007 1:00;0;7,9;999;3;204;217,69;216,056;-0,3703;0,3703;0;8,390328133;7,699501158;;;;
02/01/2007 2:00;0;7,4;999;4,5;204;210,502;208,97;-0,3703;0,3703;0;8,390989286;7,699198185;;;;
02/01/2007 3:00;0;7;999;4;204;203,801;202,382;-0,3703;0,3703;0;8,3330593;7,6232739;;;;
02/01/2007 4:00;0;6,6;999;4,7;204;197,479;196,146;-0,3703;0,3703;0;8,231253737;7,558889361;;;;
02/01/2007 5:00;0;6,3;999;3,7;204;191,558;190,319;-0,3703;0,3703;0;8,2111339;7,500457653;;;;
02/01/2007 6:00;0;6;999;4,5;204;185,917;184,744;-0,3703;0,3703;0;8,174924744;7,453489306;;;;
02/01/2007 7:00;0;6;999;2,6;204;180,646;179,563;-0,3703;0,3703;0;8,131666125;7,425941877;;;;
02/01/2007 8:00;5;6,4;999;2,8;204;175,633;174,61;-0,3703;0,3703;0;8,189794906;7,381239;;;;
02/01/2007 9:00;202;7,6;999;2,7;204;216,801;244,33;-0,3703;0,3703;0;7,805357111;7,000953737;;;;
02/01/2007 10:00;465;8,4;999;3;204;290,271;334,68;-0,3703;0,3703;0;8,306423943;7,2230885;;;;
02/01/2007 11:00;743;9,8;999;2,3;204;293;393;-0,416956;0,416956;0;8,442258893;7,382798815;;;;
02/01/2007 12:00;356;10,3;999;3,3;204;293;393;-0,38083;0,38083;0;9,33210887;8,10065269;;;;
02/01/2007 13:00;4;9,8;999;3,7;204;323,343;318,754;-0,3703;0,3703;0;10,24868892;9,320727923;;;;
