date;DNI;DryBulb;Pressure;Wspd;SB.NO.a.mf;SB.NO.a.tin;SB.NO.a.tout;NetPower;AuxPower;GrossPower;SB.NO.a.pin;SB.NO.a.pout;NoGeneration [kW];SF.a.pwr(2);Cycle thermal energy dumped - solar field | (MWt);Parasitic power total consumption | (MWe)
01/01/2007 0:00;0;9,4;998;2,3;204,000;170,658;167,055;0;0;0;2000000;2000000;;;;
01/01/2007 1:00;0;9,4;999;1,8;204,000;169,573;166,090;0;0;0;2000000;2000000;;;;
01/01/2007 2:00;0;9,2;999;1,5;204,000;168,432;165,006;0;0;0;2000000;2000000;;;;
01/01/2007 3:00;0;9,2;999;1,8;204,000;167,295;163,920;0;0;0;2000000;2000000;;;;
01/01/2007 4:00;0;9,1;999;1,8;204,000;166,172;162,844;0;0;0;2000000;2000000;;;;
01/01/2007 5:00;0;9;999;2,1;204,000;165,065;161,784;0;0;0;2000000;2000000;;;;
01/01/2007 6:00;0;9;999;1,6;204,000;163,974;160,735;0;0;0;2000000;2000000;;;;
01/01/2007 7:00;0;9;999;2,3;204,000;162,899;159,707;0;0;0;2000000;2000000;;;;
01/01/2007 8:00;0;9,5;999;2;204,000;161,841;158,695;0;0;0;2000000;2000000;;;;
01/01/2007 9:00;200;10,4;999;3,7;204,000;163,002;226,048;0;0;0;2000000;2000000;;;;
01/01/2007 10:00;18;11,1;999;3;204,000;175,553;188,145;0;0;0;2000000;2000000;;;;
01/01/2007 11:00;30;11,9;999;2,8;204,000;183,268;184,382;0;0;0;2000000;2000000;;;;
01/01/2007 12:00;112;12,6;999;3,3;204,000;185,904;201,938;0;0;0;2000000;2000000;;;;
01/01/2007 13:00;223;13,3;999;3,7;204,000;191,270;236,115;0;0;0;2000000;2000000;;;;
01/01/2007 14:00;398;13,8;999;3,3;224,642;206,685;304,580;0;0;0;2000000;2000000;;;;
01/01/2007 15:00;714;14,2;999;4,7;389,797;255,020;364,601;0;0;0;2000000;2000000;;;;
01/01/2007 16:00;98;13,6;999;3,5;204,000;286,384;292,837;0;0;0;2000000;2000000;;;;
01/01/2007 17:00;0;13;999;4;204,000;295,646;280,449;0;0;0;2000000;2000000;;;;
01/01/2007 18:00;0;12,4;999;3;204,000;297,404;283,811;0;0;0;2000000;2000000;;;;
01/01/2007 19:00;0;11,9;999;3;204,000;293,520;281,068;0;0;0;2000000;2000000;;;;
01/01/2007 20:00;0;11,3;999;3,3;204,000;288,967;277,098;0;0;0;2000000;2000000;;;;
01/01/2007 21:00;0;10,7;999;2,3;204,000;284,490;273,092;0;0;0;2000000;2000000;;;;
01/01/2007 22:00;0;10,1;999;1,8;204,000;280,189;269,208;0;0;0;2000000;2000000;;;;
01/01/2007 23:00;0;9,6;999;1,6;204,000;276,063;265,467;0;0;0;2000000;2000000;;;;
02/01/2007 0:00;0;8,9;999;1,8;204,000;272,102;261,861;0;0;0;2000000;2000000;;;;
02/01/2007 1:00;0;7,9;999;3;204,000;268,292;258,377;0;0;0;2000000;2000000;;;;
02/01/2007 2:00;0;7,4;999;4,5;204,000;264,620;255,018;0;0;0;2000000;2000000;;;;
02/01/2007 3:00;0;7;999;4;204,000;261,080;251,778;0;0;0;2000000;2000000;;;;
02/01/2007 4:00;0;6,6;999;4,7;204,000;257,663;248,644;0;0;0;2000000;2000000;;;;
02/01/2007 5:00;0;6,3;999;3,7;204,000;254,364;245,614;0;0;0;2000000;2000000;;;;
02/01/2007 6:00;0;6;999;4,5;204,000;251,175;242,679;0;0;0;2000000;2000000;;;;
02/01/2007 7:00;0;6;999;2,6;204,000;248,090;239,840;0;0;0;2000000;2000000;;;;
02/01/2007 8:00;5;6,4;999;2,8;204,000;245,131;237,821;0;0;0;2000000;2000000;;;;
02/01/2007 9:00;202;7,6;999;2,7;204,000;244,779;297,262;0;0;0;2000000;2000000;;;;
02/01/2007 10:00;465;8,4;999;3;231,550;261,061;351,457;0;0;0;2000000;2000000;;;;
02/01/2007 11:00;743;9,8;999;2,3;253,302;285,316;388,300;0;0;0;2000000;2000000;;;;
02/01/2007 12:00;356;10,3;999;3,3;204,000;290,193;349,065;0;0;0;2000000;2000000;;;;
02/01/2007 13:00;4;9,8;999;3,7;204,000;291,798;289,726;0;0;0;2000000;2000000;;;;
02/01/2007 14:00;350;10,2;999;2,7;204,000;298,876;366,486;0;0;0;2000000;2000000;;;;
02/01/2007 15:00;50;9,8;999;3,5;204,000;296,996;313,455;0;0;0;2000000;2000000;;;;
02/01/2007 16:00;29;9,1;999;2,7;204,000;294,697;285,198;0;0;0;2000000;2000000;;;;
02/01/2007 17:00;0;8,6;999;3;204,000;296,411;282,268;0;0;0;2000000;2000000;;;;
02/01/2007 18:00;0;8,1;999;2,1;204,000;294,956;281,983;0;0;0;2000000;2000000;;;;
02/01/2007 19:00;0;7,5;999;1,6;204,000;290,688;278,546;0;0;0;2000000;2000000;;;;
02/01/2007 20:00;0;7;999;1,3;204,000;286,173;274,558;0;0;0;2000000;2000000;;;;
