date;DNI;DryBulb;Pressure;Wspd;SB.NO.a.mf;SB.NO.a.tin;SB.NO.a.tout;NetPower;AuxPower;GrossPower;SB.NO.a.pin;SB.NO.a.pout;NoGeneration [kW];SF.a.pwr(2);Cycle thermal energy dumped - solar field | (MWt);Parasitic power total consumption | (MWe)
01/01/2007 0:00;0;9,4;998;2,3;204;169,869;169,468;0;0;0;2000000;2000000;;;;
01/01/2007 1:00;0;9,4;999;1,8;204;168,782;167,772;0;0;0;2000000;2000000;;;;
01/01/2007 2:00;0;9,2;999;1,5;204;167,521;166,441;0;0;0;2000000;2000000;;;;
01/01/2007 3:00;0;9,2;999;1,8;204;166,27;165,23;0;0;0;2000000;2000000;;;;
01/01/2007 4:00;0;9,1;999;1,8;204;165,046;164,037;0;0;0;2000000;2000000;;;;
01/01/2007 5:00;0;9;999;2,1;204;163,841;162,853;0;0;0;2000000;2000000;;;;
01/01/2007 6:00;0;9;999;1,6;204;162,653;161,683;0;0;0;2000000;2000000;;;;
01/01/2007 7:00;0;9;999;2,3;204;161,481;160,527;0;0;0;2000000;2000000;;;;
01/01/2007 8:00;0;9,5;999;2;204;160,327;159,389;0;0;0;2000000;2000000;;;;
01/01/2007 9:00;200;10,4;999;3,7;204;159,927;163,878;0;0;0;2000000;2000000;;;;
01/01/2007 10:00;18;11,1;999;3;204;166,37;183,93;0;0;0;2000000;2000000;;;;
01/01/2007 11:00;30;11,9;999;2,8;204;174,654;184,643;0;0;0;2000000;2000000;;;;
01/01/2007 12:00;112;12,6;999;3,3;204;177,597;181,276;0;0;0;2000000;2000000;;;;
01/01/2007 13:00;223;13,3;999;3,7;204;180,067;188,243;0;0;0;2000000;2000000;;;;
01/01/2007 14:00;398;13,8;999;3,3;204;188,152;210,673;0;0;0;2000000;2000000;;;;
01/01/2007 15:00;714;14,2;999;4,7;322,992;217,764;266,939;0;0;0;2000000;2000000;;;;
01/01/2007 16:00;98;13,6;999;3,5;204;262,849;315,231;0;0;0;2000000;2000000;;;;
01/01/2007 17:00;0;13;999;4;204;282,977;294,573;0;0;0;2000000;2000000;;;;
01/01/2007 18:00;0;12,4;999;3;204;282,9;278,655;0;0;0;2000000;2000000;;;;
01/01/2007 19:00;0;11,9;999;3;204;278,516;273,719;0;0;0;2000000;2000000;;;;
01/01/2007 20:00;0;11,3;999;3,3;204;274,542;270,517;0;0;0;2000000;2000000;;;;
01/01/2007 21:00;0;10,7;999;2,3;204;270,924;267,152;0;0;0;2000000;2000000;;;;
01/01/2007 22:00;0;10,1;999;1,8;204;267,438;263,784;0;0;0;2000000;2000000;;;;
01/01/2007 23:00;0;9,6;999;1,6;204;264,051;260,514;0;0;0;2000000;2000000;;;;
02/01/2007 0:00;0;8,9;999;1,8;204;260,762;257,341;0;0;0;2000000;2000000;;;;
02/01/2007 1:00;0;7,9;999;3;204;257,565;254,255;0;0;0;2000000;2000000;;;;
02/01/2007 2:00;0;7,4;999;4,5;204;254,458;251,249;0;0;0;2000000;2000000;;;;
02/01/2007 3:00;0;7;999;4;204;251,434;248,323;0;0;0;2000000;2000000;;;;
02/01/2007 4:00;0;6,6;999;4,7;204;248,491;245,475;0;0;0;2000000;2000000;;;;
02/01/2007 5:00;0;6,3;999;3,7;204;245,626;242,701;0;0;0;2000000;2000000;;;;
02/01/2007 6:00;0;6;999;4,5;204;242,835;239,997;0;0;0;2000000;2000000;;;;
02/01/2007 7:00;0;6;999;2,6;204;240,117;237,361;0;0;0;2000000;2000000;;;;
02/01/2007 8:00;5;6,4;999;2,8;204;237,483;234,888;0;0;0;2000000;2000000;;;;
02/01/2007 9:00;202;7,6;999;2,7;204;235,876;238,623;0;0;0;2000000;2000000;;;;
02/01/2007 10:00;465;8,4;999;3;204;243,08;266,768;0;0;0;2000000;2000000;;;;
02/01/2007 11:00;743;9,8;999;2,3;213,714;265,557;304,096;0;0;0;2000000;2000000;;;;
02/01/2007 12:00;356;10,3;999;3,3;204;281,483;293;0;0;0;2000000;2000000;;;;
02/01/2007 13:00;4;9,8;999;3,7;204;286,417;293;0;0;0;2000000;2000000;;;;
02/01/2007 14:00;350;10,2;999;2,7;204;296,795;317,376;0;0;0;2000000;2000000;;;;
02/01/2007 15:00;50;9,8;999;3,5;204;298,392;293;0;0;0;2000000;2000000;;;;
02/01/2007 16:00;29;9,1;999;2,7;204;294,887;293;0;0;0;2000000;2000000;;;;
02/01/2007 17:00;0;8,6;999;3;204;297,497;306,238;0;0;0;2000000;2000000;;;;
02/01/2007 18:00;0;8,1;999;2,1;204;297,278;293,775;0;0;0;2000000;2000000;;;;
02/01/2007 19:00;0;7,5;999;1,6;204;292,909;287,835;0;0;0;2000000;2000000;;;;
02/01/2007 20:00;0;7;999;1,3;204;288,466;283,842;0;0;0;2000000;2000000;;;;
02/01/2007 21:00;0;6,5;999;1;204;284,327;279,99;0;0;0;2000000;2000000;;;;
02/01/2007 22:00;0;5,9;999;0,7;204;280,365;276,198;0;0;0;2000000;2000000;;;;
02/01/2007 23:00;0;5,4;999;0,4;204;276,537;272,521;0;0;0;2000000;2000000;;;;
03/01/2007 0:00;0;5;999;0,2;204;272,836;268,963;0;0;0;2000000;2000000;;;;
03/01/2007 1:00;0;4,7;999;0,2;204;269,254;265,517;0;0;0;2000000;2000000;;;;
03/01/2007 2:00;0;4,4;999;0,5;204;265,784;262,173;0;0;0;2000000;2000000;;;;
03/01/2007 3:00;0;4,3;999;0,3;204;262,419;258,926;0;0;0;2000000;2000000;;;;
03/01/2007 4:00;0;4,1;999;0,2;204;259,152;255,774;0;0;0;2000000;2000000;;;;
03/01/2007 5:00;0;4;999;0,2;204;255,981;252,711;0;0;0;2000000;2000000;;;;
03/01/2007 6:00;0;4;999;0,3;204;252,899;249,732;0;0;0;2000000;2000000;;;;
03/01/2007 7:00;0;4;999;0,4;204;249,903;246,834;0;0;0;2000000;2000000;;;;
03/01/2007 8:00;112;6;999;0,6;204;247,309;246,168;0;0;0;2000000;2000000;;;;
03/01/2007 9:00;680;8,4;999;0,7;319,376;254,182;277,313;0;0;0;2000000;2000000;;;;
03/01/2007 10:00;772;10,5;999;1,5;336,558;278,964;293;0;0;0;2000000;2000000;;;;
