date;DNI;DryBulb;Pressure;Wspd;Elev;Azimuth;SB.NO.SAM;SB.NO.a.mf;SB.NO.a.tin;SB.NO.a.tout;NetPower;AuxPower;GrossPower;SB.NO.a.pin;SB.NO.a.pout;NoGeneration [kW];SF.a.pwr(2);Cycle thermal energy dumped - solar field | (MWt);Parasitic power total consumption | (MWe)
01/01/2007 0:00;0;9,4;998;2,3;0;151,8690975;204;204;94,6596;94,2421;-0,3703;-0,3703;0;7,544584357;6,8957498;263,6989335;0;0;0,3703
01/01/2007 1:00;0;9,4;999;1,8;0;112,484158;204;204;92,0145;91,6103;-0,3703;-0,3703;0;7,55248075;6,880483607;265,2121471;0;0;0,3703
01/01/2007 2:00;0;9,2;999;1,5;0;112,4801625;204;204;89,4181;89,0245;-0,3703;-0,3703;0;7,435636429;6,866565923;273,0233258;0;0;0,3703
01/01/2007 3:00;0;9,2;999;1,8;0;112,4759704;204;204;86,8616;86,4767;-0,3703;-0,3703;0;7,412044;6,803465;265,2837726;0;0;0,3703
01/01/2007 4:00;0;9,1;999;1,8;0;112,4716285;204;204;84,3483;83,9726;-0,3703;-0,3703;0;7,386656;6,7161465;264,5484541;0;0;0,3703
01/01/2007 5:00;0;9;999;2,1;0;112,46755;204;204;81,8746;81,5068;-0,3703;-0,3703;0;7,351408;6,703144154;269,8989934;0;0;0,3703
01/01/2007 6:00;0;9;999;1,6;0;112,6656181;204;204;79,4542;79,0972;-0,3703;-0,3703;0;7,3049449;6,732631895;277,265068;0;0;0,3703
01/01/2007 7:00;0;9;999;2,3;0;118,9531036;204;204;77,0736;76,7237;-0,3703;-0,3703;0;7,322568833;6,6999245;256,9268974;0;0;0,3703
01/01/2007 8:00;0;9,5;999;2;8,207061483;128,8533007;204;204;74,7559;74,4184;-0,3703;-0,3703;0;6,684623951;6,259111843;215,0537463;0;0;0,3703
01/01/2007 9:00;200;10,4;999;3,7;16,42884007;140,1651256;204;204;128,576;158,545;-0,3703;-0,3703;0;8,268840426;7,459224847;214,034638;0;0;0,3703
01/01/2007 10:00;18;11,1;999;3;22,80375265;153,1395205;204;204;144,332;144,791;-0,3703;-0,3703;0;8,900725079;7,810641355;212,4233493;0;0;0,3703
01/01/2007 11:00;30;11,9;999;2,8;26,6808482;167,7063807;204;204;146,263;147,276;-0,3703;-0,3703;0;8,891591964;7,793437803;224,5694064;0;0;0,3703
01/01/2007 12:00;112;12,6;999;3,3;27,65363022;183,1587728;204;204;158,914;166,269;-0,3703;-0,3703;0;8,886043066;7,769646806;233,7487885;0;0;0,3703
01/01/2007 13:00;223;13,3;999;3,7;25,52375363;198,3630501;204;204;193,164;212,66;-0,3703;-0,3703;0;8,87593136;7,752183726;228,8193172;0;0;0,3703
01/01/2007 14:00;398;13,8;999;3,3;20,55785405;212,3185387;204;204;266,376;311,621;-0,3703;-0,3703;0;8,853663527;7,759169111;233,5845184;0;0;0,3703
