date;DNI;DryBulb;Pressure;Humidity;Wspd;Elev;Azimuth;SB.NO.a.mf;SB.NE.a.mf;SB.SO.a.mf;SB.SE.a.mf;SB.NO.a.tin;SB.NE.a.tin;SB.SO.a.tin;SB.SE.a.tin;SB.NO.a.tout;SB.NE.a.tout;SB.SO.a.tout;SB.SE.a.tout;NetPower;AuxPower;GrossPower;SB.NO.a.pin;SB.NE.a.pin;SB.SO.a.pin;SB.SE.a.pin;SB.NO.a.pout;SB.NE.a.pout;SB.SO.a.pout;SB.SE.a.pout;NoGeneration [kW];5305-FT-5050;Exchanger Tin;Main Pump A tout;Main Pump B tout;3320-TT-3007;MKA01CE074-XE01;SF.a.pwr(2)
01/01/2016 0:00;0,209966917;9,649638233;942,4640032;96,82332692;2,1125;0;151,8690975;61,8530774;51,500763;51,555656;68,704443;91,38219853;90,16638839;89,75141589;90,2835665;87,02629277;85,44929742;84,90656205;85,94053447;-0,53479135;-0,48684;0;7,544584357;7,546873;7,697477333;7,5801984;6,8957498;6,9720132;7,09506025;6,9931622;263,6989335;0,047660817;197,5224358;170,5524177;94,68780052;89,41299729;0;-1,882715157
01/01/2016 1:00;0,229650533;9,619696217;942,0550233;96,87789142;0,318333333;0;112,484158;61,93636789;51,5904054;51,814181;68,797239;88,34379357;87,88030727;87,53830723;88,01607518;84,90713275;83,54957618;82,96640765;83,91950833;-0,522337233;-0,492646333;0;7,55248075;7,519102;7,663297667;7,568235;6,880483607;6,987715;7,0950605;6,98419;265,2121471;0,04208155;196,2408788;168,9635926;92,600995;87,12499804;0;-1,664033425
01/01/2016 2:00;0,21344305;9,72023395;941,7513996;96,9838687;0,491666667;0;112,4801625;61,86687676;51,021797;51,58508514;68,69895808;86,12936195;85,65606838;85,2367225;85,81508919;82,80170578;81,45416473;80,92935853;81,84640885;-0,5173184;-0,485946617;0;7,435636429;7,458219667;7,617369;7,502012;6,866565923;6,889314583;7,018156;6,944456;273,0233258;0,040070533;194,8980844;167,3604191;90,43806162;84,8590676;0;-1,594040656
01/01/2016 3:00;0,242243;9,683282567;941,421997;97,03681008;0,015833333;0;112,4759704;61,98106862;51,542038;51,6514702;68,75258736;84,01792832;83,55172811;83,22360227;83,68768305;80,79326973;79,5693225;79,04175033;79,91722487;-0,796425217;-0,773683817;0;7,412044;7,4360026;7,578917;7,480649667;6,803465;6,877164778;6,9861125;6,87756525;265,2837726;0,04515555;193,7381439;165,8420304;88,37089547;82,7991325;0;-1,534060436
01/01/2016 4:00;0,2442617;9,78010155;941,4116762;97,24010897;0,044166667;0;112,4716285;61,88143588;51,12032167;51,4269698;68,68704;82,0094887;81,52883835;81,16834868;81,68987238;78,89984393;77,62611768;77,10188217;77,99900248;-1,479646417;-1,445111417;0;7,386656;7,383451;7,509489;7,3930645;6,7161465;6,86595;6,9877145;6,857938667;264,5484541;0,037733517;192,4167915;164,3518307;86,2838571;80,79069363;0;-1,483648298
01/01/2016 5:00;0,238071033;9,91802065;941,4260828;97,25109025;0,615;0;112,46755;61,8262317;50,908434;51,73427167;68,59961054;80,02012633;79,57189856;79,26290894;79,716857;76,95348817;75,72153295;75,2377342;76,0644742;-1,285334367;-1,252217717;0;7,351408;7,3289775;7,5244425;7,383909286;6,703144154;6,790648;6,912413;6,795854625;269,8989934;0,040720817;191,323442;162,6950087;84,17977981;78,88525217;0;-1,457099803
01/01/2016 6:00;0,2382056;9,7504978;941,9825804;97,23443683;0,088333333;0;112,6656181;61,89980567;51,268871;51,546347;68,79586283;78,11277605;77,74032233;78,31386551;77,80378557;75,28894802;74,74649812;74,45820112;74,70615773;-0,545945183;-0,493986183;0;7,3049449;7,326173625;7,543669;7,426176;6,732631895;6,74498575;6,918821;6,806669286;277,265068;0,042209467;189,9246984;161,3179369;82,31847889;78,76108977;0;-1,27047745
01/01/2016 7:00;0,240089733;9,6980996;942,3329903;97,32949042;0,293333333;0;118,9531036;61,74724283;51,342171;51,67074312;68,76202775;77,95255913;77,83655756;77,56605125;78,17235341;74,30256193;72,7277597;72,25445152;73,30883393;-0,691803117;-0,674057567;0;7,322568833;7,338591;7,482786;7,405007818;6,6999245;6,752195;6,887312;6,7893658;256,9268974;0,04506965;188,6700462;159,7377511;80,645288;75,65801806;0;-1,898066847
01/01/2016 8:00;4,031959083;10,13419992;942,6068318;97,34380015;0,71;8,207061483;128,8533007;39,90074231;32,27086318;32,50941905;44,7832122;78,59422693;101,8064437;105,3966531;102,8229703;84,0562329;105,1347716;110,0296513;93,8365951;-0,7928009;-0,764428367;0;6,684623951;6,674016602;6,879080851;6,759237879;6,259111843;6,250988732;6,390224462;6,318466278;215,0537463;0,0545004;187,4688651;158,1207001;79,40023686;74,525055;0;0,12462707
01/01/2016 9:00;0,457839233;11,1372084;943,0592112;97,30389212;2,010833333;16,42884007;140,1651256;75,21201928;59,91483474;60,99281615;82,813726;115,4312835;118,6649772;113,2996969;118,6987186;107,1011067;98,5866867;96,77451448;102,6660731;-0,6496687;-0,65388395;0;8,268840426;7,989773781;7,993296727;8,010056161;7,459224847;7,532527462;7,614914234;7,569096758;214,034638;0,0548064;186,3611063;156,7009027;78,67925625;85,51545711;0;-7,495046599
01/01/2016 10:00;0,90845245;12,4784043;943,2283961;97,16609912;5,9875;22,80375265;153,1395205;89,78566184;72,9491379;73,15475923;97,02288772;97,00384879;99,82830359;101,9711071;99,83152327;100,0948734;101,5445521;100,8371166;100,5998425;-0,6100753;-0,584692133;0;8,900725079;8,9774045;9,170147634;9,007623365;7,810641355;7,88080856;8,030610685;7,931275796;212,4233493;0,0637908;184,8573749;163,7133584;99,24285316;104,651429;0;0,696834819
01/01/2016 11:00;1,365528733;13,17452843;942,9987581;92,20443018;6,225;26,6808482;167,7063807;88,51316677;72,89656333;73,191012;96,50880871;102,1682547;100,5602634;99,93093509;100,7755082;100,505139;100,4236026;100,3208942;99,86170057;-0,6139788;-0,5920243;0;8,891591964;8,8659955;9,045706;8,907263455;7,793437803;7,851165;7,995208766;7,893142703;224,5694064;0,08996805;180,4602147;154,9972397;99,65783745;99,69217012;0;-0,396804704
01/01/2016 12:00;18,28929858;13,9658525;942,4423582;84,56654777;5,7;27,65363022;183,1587728;88,62078133;72,950903;73,4421972;96,58069717;100,4230322;100,7034088;100,8836516;100,9069551;102,4013142;103,3744624;103,6585596;102,8543293;-0,601338617;-0,58097005;0;8,886043066;8,866529389;9,030485125;8,883701462;7,769646806;7,852354077;7,968931214;7,887461276;233,7487885;0,088790383;173,6511096;128,8387075;100,7411788;100,7696216;0;1,379608673
01/01/2016 13:00;21,36258728;13,79050848;941,5968581;81,07339667;7,05;25,52375363;198,3630501;88,44411647;72,93830325;73,27144278;96,54433575;100,4868516;100,7205786;101,2619705;100,8333827;101,1892125;102,1856247;102,0795044;101,1016662;-0,623644733;-0,59626725;0;8,87593136;8,864533789;9,0010052;8,882219162;7,752183726;7,828564169;7,956536354;7,865433377;228,8193172;0,07637965;166,7796488;115,7119401;102,2704348;102,2020149;0;0,461520956
01/01/2016 14:00;345,2573975;14,4266373;941,2199083;78,76234723;7,8625;20,55785405;212,3185387;88,53962336;72,9518318;72,95647033;96,44605596;102,920082;102,867665;103,043109;103,0088883;132,3176047;143,4698812;141,251649;128,4951227;-0,611562233;-0,587520633;0;8,853663527;8,887125478;9,047931;8,88141892;7,759169111;7,83421074;7,947702393;7,86476834;233,5845184;0,073156867;160,5988049;112,4313133;102,6990421;102,7110803;0;19,8054269
01/01/2016 15:00;248,2426002;14,91321827;940,5988033;76,61682045;7,525;13,3370466;224,6142728;89,50771911;73,18819471;73,1487786;97,18983631;105,234426;106,9564617;109,5611364;107,0427634;193,5421209;202,9896835;205,9964829;199,6576726;-0,662680833;-0,653624;0;8,960082435;9,017503385;9,2068309;9,043825653;7,837803948;7,954639695;8,106219853;7,97355707;210,2582344;0,073878233;153,4472243;113,2023757;115,8892468;115,0185942;0;59,56014173
01/01/2016 16:00;14,45401592;13,9680348;940,5751879;77,5443184;5,4375;4,604490017;235,2869135;85,13520065;69,74295175;69,03581185;92,07983767;142,4503062;148,9372799;155,6451006;148,9904456;157,0227776;176,1161367;180,3668134;171,4407641;-0,54389975;-0,562583417;0;9,6881199;9,621565318;9,684851192;9,723337527;8,735694304;8,823734778;8,966865327;8,851886036;227,6029208;0,072651783;194,6560882;183,5029152;161,7575865;161,4282671;0;13,40055776
