;Wspd;Wdir;DryBulb;DNI;Pressure
01/01/1989 1:00;6,2;999;9,4;0;1009,15
01/01/1989 2:00;6,2;220;9,4;0;1009,15
01/01/1989 3:00;6,2;230;9,4;0;1009,15
01/01/1989 4:00;7,2;230;8,9;0;1009,15
01/01/1989 5:00;7,4;999;8,3;0;1009,15
01/01/1989 6:00;7,5;999;7,8;0;1009,15
01/01/1989 7:00;7,7;230;6,7;0;1009,15
01/01/1989 8:00;7,7;220;6,1;0;1009,15
01/01/1989 9:00;6,9;999;5,6;0;1009,15
01/01/1989 10:00;6,2;250;6,7;126;1009,15
01/01/1989 11:00;6,2;999;7,8;283;1009,15
01/01/1989 12:00;6,2;999;10;545;1009,15
01/01/1989 13:00;6,2;330;12,2;750;1009,15
01/01/1989 14:00;6,4;999;14,4;810;1009,15
01/01/1989 15:00;6,7;310;16,1;709;1009,15
01/01/1989 16:00;5,1;320;16,7;485;1009,15
01/01/1989 17:00;4,4;999;16,1;302;1009,15
01/01/1989 18:00;3,8;999;15;0;1009,15
01/01/1989 19:00;3,1;30;13,9;0;1009,15
01/01/1989 20:00;3,1;999;12,2;0;1009,15
01/01/1989 21:00;3,1;999;11,1;0;1009,15
01/01/1989 22:00;3,1;310;10;0;1009,15
01/01/1989 23:00;3,1;999;9,4;0;1009,15
02/01/1989 0:00;3,1;999;8,9;0;1009,15
02/01/1989 1:00;3,1;20;8,3;0;1009,15
02/01/1989 2:00;3,1;999;7,8;0;1009,15
02/01/1989 3:00;3,1;999;7,8;0;1009,15
02/01/1989 4:00;3,1;50;7,2;0;1009,15
02/01/1989 5:00;3,1;999;6,7;0;1009,15
02/01/1989 6:00;3,1;999;6,1;0;1009,15
02/01/1989 7:00;3,1;50;6,1;0;1009,15
02/01/1989 8:00;4;999;5,6;0;1009,15
02/01/1989 9:00;4,8;999;5,6;0;1009,15
02/01/1989 10:00;5,7;999;6,1;347;1009,15
02/01/1989 11:00;6,5;999;7,2;258;1009,15
02/01/1989 12:00;7,4;999;8,9;280;1009,15
02/01/1989 13:00;8,2;60;10,6;331;1009,15
02/01/1989 14:00;7,7;70;12,8;432;1009,15
02/01/1989 15:00;8;999;13,9;564;1009,15
02/01/1989 16:00;8,2;70;14,4;463;1009,15
02/01/1989 17:00;7,2;999;14,4;252;1009,15
02/01/1989 18:00;6,1;999;13,3;126;1009,15
02/01/1989 19:00;5,1;80;12,2;0;1009,15
02/01/1989 20:00;4,4;999;11,1;0;1009,15
02/01/1989 21:00;3,8;999;10;0;1009,15
02/01/1989 22:00;3,1;40;9,4;0;1009,15
