;1100-AXT-1871R.UNIT1@ASTE1A;1100-AXT-1872R.UNIT1@ASTE1A;1100-AXT-1873R.UNIT1@ASTE1A;1100-AXT-1874R.UNIT1@ASTE1A;1100-AXT-1876R.UNIT1@ASTE1A;1100-AXT-1877R.UNIT1@ASTE1A;1100-AXT-1879R.UNIT1@ASTE1A;1100-AXT-1880R.UNIT1@ASTE1A;1100-AXT-1883R.UNIT1@ASTE1A;1110-FT-1800.UNIT1@ASTE1A;1110-FT-1801.UNIT1@ASTE1A;1110-FT-1809.UNIT1@ASTE1A;1110-FT-1810.UNIT1@ASTE1A;1110-FX-1800.UNIT1@ASTE1A;1110-FX-1801.UNIT1@ASTE1A;1110-FX-1809.UNIT1@ASTE1A;1110-FX-1810.UNIT1@ASTE1A;1110-PT-1800.UNIT1@ASTE1A;1110-PT-1801.UNIT1@ASTE1A;1110-PT-1802.UNIT1@ASTE1A;1110-PT-1803.UNIT1@ASTE1A;1110-PT-1807.UNIT1@ASTE1A;1110-PT-1808.UNIT1@ASTE1A;1110-PT-1809.UNIT1@ASTE1A;1110-PT-1810.UNIT1@ASTE1A;1110-TT-1800.UNIT1@ASTE1A;1110-TT-1801.UNIT1@ASTE1A;1110-TT-1802.UNIT1@ASTE1A;1110-TT-1803.UNIT1@ASTE1A;1110-TT-1807.UNIT1@ASTE1A;1110-TT-1808.UNIT1@ASTE1A;1110-TT-1809.UNIT1@ASTE1A;1110-TT-1810.UNIT1@ASTE1A;1120-FT-1806.UNIT1@ASTE1A;1120-FX-1806.UNIT1@ASTE1A;3110-FT-3900.UNIT1@ASTE1A;3110-FX-3900.UNIT1@ASTE1A
17/06/2019 0:00;2,015;196,267;18,74;29,878;0;0,117;0;310,299;939,684;179,62;173,044;177,618;174,515;44,942;43,345;44,443;43,684;12,06;11,99;11,71;11,66;11,71;11,69;12,08;12,01;206,589;206,591;197,235;198,296;197,947;198,68;207,145;207,46;742,808;187,379;701,867;176,381
17/06/2019 1:00;2,046;194,938;17,201;33,255;0;0,125;0;310,301;939,679;180,625;173,971;172,02;176,303;45,584;43,934;43,379;44,478;11,96;11,875;11,61;11,51;11,55;11,55;11,98;11,915;198,052;198,039;189,732;190,974;190,687;191,132;198,576;198,643;738,481;187,6;698,596;177
17/06/2019 2:00;2,166;187,365;15,675;36,687;0;0,131;0;49,698;939,979;181,396;174,35;172,57;177,151;46,139;44,334;43,891;45,058;11,81;11,72;11,5;11,41;11,44;11,4;11,88;11,76;190,519;190,468;182,477;183,628;183,703;184,135;191,015;191,095;737,96;189,072;701,643;179,139
17/06/2019 3:00;2,266;186,566;14,668;38,869;0;0,23;0;49,696;939,669;181,755;174,061;172,81;177,427;46,543;44,622;44,264;45,445;11,847;11,808;11,482;11,41;11,443;11,413;11,865;11,752;183,541;183,458;175,728;176,62;176,936;177,393;183,721;184,033;734,142;188,722;701,104;180,137
17/06/2019 4:00;2,297;188,484;14,935;40,641;0;0,232;0;49,694;939,81;198,227;189,993;188,544;193,599;51,309;49,126;48,949;49,848;12,001;12,027;11,667;11,598;11,61;11,572;12,13;12,021;176,761;176,71;169,78;170,377;170,725;170,947;176,985;177,011;800,023;206,675;764,282;198,311
17/06/2019 5:00;2,625;189,901;14,266;41,15;0;0,23;0;49,944;939,661;200,148;191,27;190,446;195,354;51,95;49,701;49,391;50,665;11,959;11,881;11,514;11,459;11,501;11,469;11,996;11,884;170,263;170,231;164,047;164,624;164,789;165,008;170,742;170,523;809,299;210,738;769,045;200,007
17/06/2019 6:00;2,873;192,094;14,116;41,156;3,797;45,073;0,427;55,552;939,665;235,051;223,728;231,146;226,968;63,582;60,125;62,279;60,471;11,355;11,305;10,582;10,521;10,544;10,514;11,399;11,266;163,857;163,794;158,416;158,894;159,102;159,259;164,239;164,143;908,14;240,707;877,23;240,597
17/06/2019 7:00;2,632;193,897;15,121;40,893;21,996;325,24;6,938;64,946;939,968;335,422;322,234;319,86;326,163;88,268;84,641;84,04;85,759;11,911;11,825;10,787;10,718;10,739;10,697;11,922;11,824;164,176;163,271;201,349;190,074;192,663;189,532;163,398;162,888;1385,752;359,137;1282,441;336,998
17/06/2019 8:00;2,485;196,795;17,888;36,42;44,125;619,089;17,474;73,635;940,306;504,019;490,992;481,917;488,668;122,932;119,761;116,264;119,151;15,919;15,685;14,044;13,901;14,019;13,875;15,836;15,684;217,686;216,501;314,008;294,446;295,648;292,361;216,561;216,599;2313,748;517,748;1958,353;473,949
17/06/2019 9:00;4,588;224,659;20,964;30,852;58,934;763,858;28,729;82,285;940,463;669,218;654,06;638,022;644,46;153,854;150,44;146,79;148,342;21,927;21,719;18,581;18,63;18,591;18,655;21,911;21,781;276,868;276,621;390,7;382,366;382,941;379,83;276,751;277,257;3164,262;616,96;2598,369;594,231
17/06/2019 10:00;3,006;241,331;22,983;27,536;68,199;828,433;40,45;91,485;940,332;666,063;652,754;634,49;642,115;150,08;147,238;143,057;144,731;21,961;21,835;18,748;18,772;18,668;18,767;22,046;21,9;295,198;294,75;392,438;393,544;393,195;393,251;295,478;295,447;3082,262;592,223;2590,252;584,223
17/06/2019 11:00;2,702;244,148;25,036;24,031;72,251;868,907;51,863;102,768;940,028;657,704;645,065;626,642;634,059;148,362;145,538;141,383;143,057;21,794;21,674;18,638;18,577;18,6;18,543;21,818;21,632;294,425;294,103;393,182;393,851;393,189;393,475;294,665;294,68;3043,744;584,29;2556,882;577,114
