;1100-AXT-1877R.UNIT1@ASTE1A
2019-06-17 00:00:00;0,117
2019-06-17 01:00:00;0,125
2019-06-17 02:00:00;0,131
2019-06-17 03:00:00;0,230
2019-06-17 04:00:00;0,232
2019-06-17 05:00:00;0,230
2019-06-17 06:00:00;45,073
2019-06-17 07:00:00;325,240
2019-06-17 08:00:00;619,089
2019-06-17 09:00:00;763,858
2019-06-17 10:00:00;828,433
2019-06-17 11:00:00;868,907
2019-06-17 12:00:00;892,415
2019-06-17 13:00:00;899,245
2019-06-17 14:00:00;901,243
2019-06-17 15:00:00;897,187
2019-06-17 16:00:00;876,814
2019-06-17 17:00:00;831,711
2019-06-17 18:00:00;663,077
2019-06-17 19:00:00;661,508
2019-06-17 20:00:00;321,890
2019-06-17 21:00:00;9,614
2019-06-17 22:00:00;0,059
2019-06-17 23:00:00;0,101
