;Wspd;Wdir;Tbulb;Hum;Rad. Dif;DNI;Elev;Azim;Pres;Wspd;Wdir;Tbulb;Hum;Rad. Dif;DNI;Elev;Azim;Pres;Wspd;Wdir;Tbulb;Hum;Rad. Dif;DNI;Elev;Azim;Pres;NO-Fin;NE-Fin;SO-Fin;SE-Fin;NO-Fin;NE-Fin;SO-Fin;SE-Fin;NO-Pin;NE-Pin;NO-Pout;NE-Pout;SO-Pout;SE-Pout;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;1100-AXT-1871R.UNIT1@ASTE1A;1100-AXT-1872R.UNIT1@ASTE1A;1100-AXT-1873R.UNIT1@ASTE1A;1100-AXT-1874R.UNIT1@ASTE1A;1100-AXT-1876R.UNIT1@ASTE1A;1100-AXT-1877R.UNIT1@ASTE1A;1100-AXT-1879R.UNIT1@ASTE1A;1100-AXT-1880R.UNIT1@ASTE1A;1100-AXT-1883R.UNIT1@ASTE1A;1100-BXT-1871R.UNIT1@ASTE1A;1100-BXT-1872R.UNIT1@ASTE1A;1100-BXT-1873R.UNIT1@ASTE1A;1100-BXT-1874R.UNIT1@ASTE1A;1100-BXT-1876R.UNIT1@ASTE1A;1100-BXT-1877R.UNIT1@ASTE1A;1100-BXT-1879R.UNIT1@ASTE1A;1100-BXT-1880R.UNIT1@ASTE1A;1100-BXT-1883R.UNIT1@ASTE1A;1100-CXT-1871R.UNIT1@ASTE1A;1100-CXT-1872R.UNIT1@ASTE1A;1100-CXT-1873R.UNIT1@ASTE1A;1100-CXT-1874R.UNIT1@ASTE1A;1100-CXT-1876R.UNIT1@ASTE1A;1100-CXT-1877R.UNIT1@ASTE1A;1100-CXT-1879R.UNIT1@ASTE1A;1100-CXT-1880R.UNIT1@ASTE1A;1100-CXT-1883R.UNIT1@ASTE1A;1110-FT-1800.UNIT1@ASTE1A;1110-FT-1801.UNIT1@ASTE1A;1110-FT-1809.UNIT1@ASTE1A;1110-FT-1810.UNIT1@ASTE1A;1110-FX-1800.UNIT1@ASTE1A;1110-FX-1801.UNIT1@ASTE1A;1110-FX-1809.UNIT1@ASTE1A;1110-FX-1810.UNIT1@ASTE1A;1110-PT-1800.UNIT1@ASTE1A;1110-PT-1801.UNIT1@ASTE1A;1110-PT-1802.UNIT1@ASTE1A;1110-PT-1803.UNIT1@ASTE1A;1110-PT-1807.UNIT1@ASTE1A;1110-PT-1808.UNIT1@ASTE1A;1110-PT-1809.UNIT1@ASTE1A;1110-PT-1810.UNIT1@ASTE1A;1110-PT-1812A.UNIT1@ASTE1A;1110-PT-1812B.UNIT1@ASTE1A;1110-PT-1813A.UNIT1@ASTE1A;1110-PT-1813B.UNIT1@ASTE1A;1110-PT-1814A.UNIT1@ASTE1A;1110-PT-1814B.UNIT1@ASTE1A;1110-PT-1815A.UNIT1@ASTE1A;1110-PT-1815B.UNIT1@ASTE1A;1110-TT-1800.UNIT1@ASTE1A;1110-TT-1801.UNIT1@ASTE1A;1110-TT-1802.UNIT1@ASTE1A;1110-TT-1803.UNIT1@ASTE1A;1110-TT-1807.UNIT1@ASTE1A;1110-TT-1808.UNIT1@ASTE1A;1110-TT-1809.UNIT1@ASTE1A;1110-TT-1810.UNIT1@ASTE1A;1120-FT-1806.UNIT1@ASTE1A;1120-FX-1806.UNIT1@ASTE1A;3110-FT-3040.UNIT1@ASTE1A;3110-FT-3205.UNIT1@ASTE1A;3110-FT-3900.UNIT1@ASTE1A;3110-FX-3900.UNIT1@ASTE1A;3110-MA-011A.UNIT1@ASTE1A;3110-MA-016A.UNIT1@ASTE1A;3110-MA-017A.UNIT1@ASTE1A;3110-MA-018A.UNIT1@ASTE1A;3110-MB-011A.UNIT1@ASTE1A;3110-MB-016A.UNIT1@ASTE1A;3110-MB-017A.UNIT1@ASTE1A;3110-MB-018A.UNIT1@ASTE1A;3110-PX-3004.UNIT1@ASTE1A;3110-PX-3009.UNIT1@ASTE1A;3120-PT-3002.UNIT1@ASTE1A;3120-PT-3007.UNIT1@ASTE1A;3120-TT-3002.UNIT1@ASTE1A;3120-TT-3007.UNIT1@ASTE1A
17/06/2019 0:00;2,015;196,267;18,74;29,878;0;0,117;0;310,299;939,684;2,508;203,456;17,4;33,007;3,247;4,571;0;310,299;940,295;2,493;210,178;18,128;31,073;0;0;0;310,298;941,757;179,62;173,044;177,618;174,515;44,942;43,345;44,443;43,684;12,06;11,99;11,71;11,66;11,71;11,69;12,08;12,01;11,68;11,73;11,65;0,01;11,73;11,68;11,6;11,57;206,589;206,591;197,235;198,296;197,947;198,68;207,145;207,46;742,808;187,379;-0,13;40,022;701,867;176,381;0;3;6595,215;13,5;25,5;7;6596,79;69,045;10,408;12,226;10,37;10,35;216,572;204,148
17/06/2019 1:00;2,046;194,938;17,201;33,255;0;0,125;0;310,301;939,679;2,239;202,54;15,578;37,335;3,376;4,57;0;310,301;940,44;2,304;209,938;16,073;35,08;0;0,07;0;310,3;942,062;180,625;173,971;172,02;176,303;45,584;43,934;43,379;44,478;11,96;11,875;11,61;11,51;11,55;11,55;11,98;11,915;11,545;11,62;11,5;0,01;11,61;11,53;11,5;11,47;198,052;198,039;189,732;190,974;190,687;191,132;198,576;198,643;738,481;187,6;-0,13;40,017;698,596;177;0;3;6602,57;14;25,5;7;6603,494;69,404;10,252;12,113;10,27;10,19;208,317;196,162
17/06/2019 2:00;2,166;187,365;15,675;36,687;0;0,131;0;49,698;939,979;1,61;189,953;14,745;38,589;2,647;4,571;0;49,698;940,744;1,662;192,558;15,026;37,296;0;0;0;49,699;942,065;181,396;174,35;172,57;177,151;46,139;44,334;43,891;45,058;11,81;11,72;11,5;11,41;11,44;11,4;11,88;11,76;11,39;11,46;11,35;0,01;11,46;11,42;11,4;11,37;190,519;190,468;182,477;183,628;183,703;184,135;191,015;191,095;737,96;189,072;-0,13;40,061;701,643;179,139;0;3;6580,191;14;25,6;7;6582,103;70,329;10,116;11,999;10,11;10,04;200,559;188,655
17/06/2019 3:00;2,266;186,566;14,668;38,869;0;0,23;0;49,696;939,669;2,38;183,96;13,827;39,482;3,38;4,571;0;49,696;940,436;1,738;191,89;14,005;40,003;0;0;0;49,697;942,065;181,755;174,061;172,81;177,427;46,543;44,622;44,264;45,445;11,847;11,808;11,482;11,41;11,443;11,413;11,865;11,752;11,403;11,447;11,35;0,01;11,448;11,43;11,38;11,35;183,541;183,458;175,728;176,62;176,936;177,393;183,721;184,033;734,142;188,722;-0,13;40,016;701,104;180,137;0;3;6579,551;14;25,6;7,5;6581,401;70,975;10,005;11,997;9,96;9,95;193,055;181,402
17/06/2019 4:00;2,297;188,484;14,935;40,641;0;0,232;0;49,694;939,81;2,583;196,579;13,916;42,054;3,359;4,661;0;49,694;940,434;2,487;198,739;13,794;41,725;0;0,117;0;49,695;941,922;198,227;189,993;188,544;193,599;51,309;49,126;48,949;49,848;12,001;12,027;11,667;11,598;11,61;11,572;12,13;12,021;11,572;11,6;11,524;0;11,588;11,568;11,464;11,494;176,761;176,71;169,78;170,377;170,725;170,947;176,985;177,011;800,023;206,675;-0,06;40,201;764,282;198,311;0;3;6584,184;14;28,25;9,167;6585,82;86,604;9,87;12,241;9,86;9,84;185,83;174,918
17/06/2019 5:00;2,625;189,901;14,266;41,15;0;0,23;0;49,944;939,661;3,064;197,148;13,471;43,83;3,803;4,7;0;49,942;940,435;2,687;199,966;13,337;43,283;0;0,14;0;49,947;941,918;200,148;191,27;190,446;195,354;51,95;49,701;49,391;50,665;11,959;11,881;11,514;11,459;11,501;11,469;11,996;11,884;11,461;11,494;11,428;0,01;11,49;11,468;11,423;11,39;170,263;170,231;164,047;164,624;164,789;165,008;170,742;170,523;809,299;210,738;-0,13;39,894;769,045;200,007;0;3;6582,2;14;28,25;8,552;6583,721;87,457;9,735;12,152;9,76;9,74;179,109;168,993
17/06/2019 6:00;2,873;192,094;14,116;41,156;3,797;45,073;0,427;55,552;939,665;3,685;194,646;13,976;43,254;7,563;51,602;0,477;55,407;940,133;3,191;199,243;13,863;42,822;3,728;43,914;0,435;55,553;941,761;235,051;223,728;231,146;226,968;63,582;60,125;62,279;60,471;11,355;11,305;10,582;10,521;10,544;10,514;11,399;11,266;10,465;10,495;10,442;0,01;10,522;10,51;10,459;10,439;163,857;163,794;158,416;158,894;159,102;159,259;164,239;164,143;908,14;240,707;-0,13;40,048;877,23;240,597;21,725;6,029;6609,196;56,918;25,32;7,483;6611,475;80,085;11,532;11,589;9,66;9,59;167,419;162,5
17/06/2019 7:00;2,632;193,897;15,121;40,893;21,996;325,24;6,938;64,946;939,968;3,619;198,853;15,413;41,847;30,436;354,573;7,017;64,781;940,596;3,123;205,352;14,625;42,168;25,732;334,602;6,901;65,14;942,068;335,422;322,234;319,86;326,163;88,268;84,641;84,04;85,759;11,911;11,825;10,787;10,718;10,739;10,697;11,922;11,824;10,656;10,661;10,618;0,01;10,66;10,657;10,61;10,605;164,176;163,271;201,349;190,074;192,663;189,532;163,398;162,888;1385,752;359,137;-0,13;40,106;1282,441;336,998;28,46;7,086;6610,539;77,62;28,814;8,306;6613,012;81,72;12,199;12,214;9,71;9,71;172,643;172,191
17/06/2019 8:00;2,485;196,795;17,888;36,42;44,125;619,089;17,474;73,635;940,306;3,525;210,426;17,939;36,94;54,89;658,952;17,633;73,634;940,906;3,123;212,58;17,416;37,347;47,454;622,939;17,604;73,687;942,364;504,019;490,992;481,917;488,668;122,932;119,761;116,264;119,151;15,919;15,685;14,044;13,901;14,019;13,875;15,836;15,684;13,724;13,734;13,739;0,01;13,887;13,764;13,771;13,668;217,686;216,501;314,008;294,446;295,648;292,361;216,561;216,599;2313,748;517,748;-0,13;40,316;1958,353;473,949;40,8;23,348;6603,659;250,593;41,223;25,606;6606,058;268,495;16,463;16,546;11,374;11,379;229,707;229,785
17/06/2019 9:00;4,588;224,659;20,964;30,852;58,934;763,858;28,729;82,285;940,463;4,51;227,962;20,883;31,725;69,922;813,325;28,813;82,383;941,06;4,166;231,849;20,713;31,866;61,867;763,207;28,802;82,084;942,519;669,218;654,06;638,022;644,46;153,854;150,44;146,79;148,342;21,927;21,719;18,581;18,63;18,591;18,655;21,911;21,781;18,245;18,294;18,25;0,01;18,203;18,299;18,272;18,32;276,868;276,621;390,7;382,366;382,941;379,83;276,751;277,257;3164,262;616,96;-0,13;39,811;2598,369;594,231;57,4;40,263;6594,809;466,521;57,9;44,946;6597,48;505,307;22,956;23,038;13,502;13,521;279,847;280,068
17/06/2019 10:00;3,006;241,331;22,983;27,536;68,199;828,433;40,45;91,485;940,332;3,272;239,947;23,169;28,89;79,75;886,471;40,254;91,664;940,916;3,259;250,383;22,935;28,025;71,175;833,493;40,394;91,34;942,527;666,063;652,754;634,49;642,115;150,08;147,238;143,057;144,731;21,961;21,835;18,748;18,772;18,668;18,767;22,046;21,9;18,402;18,424;18,355;10,776;18,413;18,556;18,43;18,415;295,198;294,75;392,438;393,544;393,195;393,251;295,478;295,447;3082,262;592,223;-0,13;39,749;2590,252;584,223;58,4;40,141;6613,216;455,959;58,9;43,771;6615,478;491,286;23,056;23,052;13,55;13,5;294,414;295,126
