Name;Description;Condition;Broken;Bellows;Transmissivity;Absorption;Unaccounted;A0;A1;A2;A3;A4;A5;A6;Factor
Schott PTR70 Vacuum;Schott PTR70;Vacuum;0;0.963;0.963;0.96;1;18.615;0.18741;-0.0011594;0.0000066;0.000000088;-0.91215;0.011763;1.25
Schott PTR70 Lost Vacuum;Schott PTR70;Lost Vacuum;0;0.963;0.963;0.96;1;-0.16634;0.87716;-0.00075942;0.00000577;0.0000000445;-42.159;0.13313;1.25
Schott PTR70 Broken Glass;Schott PTR70;Broken Glass;1;0.963;1;0.8;1;116.25;-0.97124;-0.010638;0.0000293;0.000000735;-100.51;52.682;1.25
Schott PTR70 Hydrogen;Schott PTR70;Hydrogen;0;0.963;0.963;0.96;1;92.419;13.648;0.0010516;0.0000048;0.0000000926;-37.595;0.33064;1.25
Luz Cermet Vacuum;Luz Cermet;Vacuum;0;0.971;0.935;0.925;1;24.237;0.21369;-0.00047461;0.00000688;0.0000000962;-22.423;0.032325;1.25
Luz Cermet Lost Vacuum;Luz Cermet;Lost Vacuum;0;0.971;0.935;0.925;1;0.64628;0.82543;-0.00014146;0.00000596;0.0000000418;-56.693;0.18003;1.25
Luz Cermet Broken Glass;Luz Cermet;Broken Glass;1;0.971;1;0.8;1;100.05;-0.73508;-0.0086348;0.0000267;0.000000665;-99.043;51.672;1.25
Luz Cermet Hydrogen;Luz Cermet;Hydrogen;0;0.971;0.935;0.925;1;70.233;12.752;0.0015105;0.00000505;0.0000000703;-4.284;0.39685;1.25
Luz Cermet/Fluorescent;Luz Cermet;Fluorescent;0;0.971;0.7;0.8;1;0.64628;0.82543;-0.00014146;0.00000596;0.0000000418;-56.693;0.18003;1.25
Solel UVAC2 Vacuum;Solel UVAC2;Vacuum;0;0.971;0.96;0.96;1;18.615;0.18741;-0.0011594;0.0000066;0.000000088;-0.91215;0.011763;1.25
Solel UVAC2 Lost Vacuum;Solel UVAC2;Lost Vacuum;0;0.971;0.96;0.96;1;-0.16634;0.87716;-0.00075942;0.00000577;0.0000000445;-42.159;0.13313;1.25
Solel UVAC2 Broken Glass;Solel UVAC2;Broken Glass;1;0.971;1;0.9;1;116.25;-0.97124;-0.010638;0.0000293;0.000000735;-100.51;52.682;1.25
Solel UVAC2 Hydrogen;Solel UVAC2;Hydrogen;0;0.971;0.96;0.96;1;92.419;13.648;0.0010516;0.0000048;0.0000000926;-37.595;0.33064;1.25
Solel UVAC3 Vacuum;Solel UVAC3;Vacuum;0;0.971;0.96;0.96;1;0.6364;0.1136;-0.0008;0.00000499;0.0000000659;-0.5162;0.0065;1.25
Solel UVAC3 Lost Vacuum;Solel UVAC3;Lost Vacuum;0;0.971;0.96;0.96;1;-1.971;0.8408;-0.0005;0.00000444;0.0000000281;-3.543;0.1192;1.25
Solel UVAC3 Broken Glass;Solel UVAC3;Broken Glass;1;0.971;1;0.9;1;-9.486;0.3045;-0.0005;0.0000164;0.000000756;19.508;3.385;1.25
Solel UVAC3 Hydrogen;Solel UVAC3;Hydrogen;0;0.971;0.96;0.96;1;7.962;1.364;0.0012;0.00000411;0.0000000833;-2.559;0.3112;1.25
2008 Schott PTR70 Vacuum;2008 Schott PTR70;Vacuum;0;0.963;0.963;0.96;1;4.05;0.247;-0.00146;0.00000565;0.0000000762;-1.7;0.0125;1
2008 Schott PTR70 Lost Vacuum;2008 Schott PTR70;Lost Vacuum;0;0.963;0.963;0.96;1;50.8;0.904;0.000579;0.0000113;0.000000173;-43.2;0.524;1
2008 Schott PTR70 Broken Glass;2008 Schott PTR70;Broken Glass;1;0.963;1;0.8;1;-9.95;0.465;-0.000854;0.0000185;0.000000689;24.7;3.37;1
2008 Schott PTR70 Hydrogen;2008 Schott PTR70;Hydrogen;0;0.963;0.963;0.96;1;11.8;1.35;0.00075;0.00000407;0.0000000585;-4.48;0.285;1
