datetime;DNI;SF.x.prth;SF.x.pwr;;LB.000.x.mf;LB.000.x.tin;LB.000.x.tout;SF.x.mf;SF.x.tout;SF.x.prth;SF.x.pwr;;LB.000.x.qlst;LB.000.x.qlbk;;SF.x.prth;SF.x.pwr;;LB.000.x.mf;LB.000.x.tin;LB.000.x.tout;LB.000.x.pin;LB.000.x.pout;LB.000.x.prth;LB.000.x.prop;LB.000.x.qabs;LB.000.x.qlst;LB.000.x.qlbk
1989-07-01 01:00:00+01:00;0;0;-10640333,45;;1;563,15;533,5528412;156;532,9273313;0;-10640333,45;;1994,130549;47,88245879;;0;-10640333,45;;1;563,15;533,5528412;2000000;1991771,773;0;0,525557778;0;1994,130549;47,88245879
1989-07-01 02:00:00+01:00;0;0;-10633562,73;;1;563,15;533,5724625;156;532,946922;0;-10633562,73;;1992,769594;47,97400791;;0;-10633562,73;;1;563,15;533,5724625;2000000;1991771,871;0;0,528321484;0;1992,769594;47,97400791
1989-07-01 03:00:00+01:00;0;0;-10644208,63;;1;563,15;533,5416109;156;532,9161185;0;-10644208,63;;1994,90937;47,96268554;;0;-10644208,63;;1;563,15;533,5416109;2000000;1991771,721;0;0,578659621;0;1994,90937;47,96268554
1989-07-01 04:00:00+01:00;0;0;-10621541,74;;1;563,15;533,6072977;156;532,9817028;0;-10621541,74;;1990,353458;47,95680426;;0;-10621541,74;;1;563,15;533,6072977;2000000;1991772,039;0;0,635838748;0;1990,353458;47,95680426
1989-07-01 05:00:00+01:00;0;0;-10607731,51;;1;563,15;533,6473161;156;533,0216586;0;-10607731,51;;1987,577688;47,94899672;;0;-10607731,51;;1;563,15;533,6473161;2000000;1991772,233;0;0,679052419;0;1987,577688;47,94899672
1989-07-01 06:00:00+01:00;0;0;-10607731,51;;1;563,15;533,6473161;156;533,0216586;0;-10607731,51;;1987,577688;47,94899672;;0;-10607731,51;;1;563,15;533,6473161;2000000;1991772,233;0;0,706847427;0;1987,577688;47,94899672
1989-07-01 07:00:00+01:00;0;0;-10574475,42;;1;563,15;533,7436753;156;533,1178672;0;-10574475,42;;1980,893404;47,95622253;;0;-10574475,42;;1;563,15;533,7436753;2000000;1991772,699;0;0,722651649;0;1980,893404;47,95622253
1989-07-01 08:00:00+01:00;498;0,88959447;159363350,2;159,3633502;4,204087436;563,15;663,2423951;668,7614408;662,6541885;0,908550072;162493689,9;162,4936899;3645,211675;59,36063959;-2,124808596;0,90849665;162484137,1;162,4841371;4,286682451;563,15;663,2364903;2000000;1874948,603;0,90849665;0,726531659;36390,03051;3278,808346;57,09190965
1989-07-01 09:00:00+01:00;624;0,915649881;213931600,7;213,9316007;5,643418626;563,15;663,2458789;892,6084465;662,6553108;0,929456917;216885979,7;216,8859797;3668,395217;59,31012255;-1,503399758;0,929415759;216876377,1;216,8763771;5,721594632;563,15;663,2376926;2000000;1786473,043;0,929415759;0,72578497;47478,81869;3299,016742;57,04118864
1989-07-01 10:00:00+01:00;722;0,927927288;251446721,4;251,4467214;6,632948874;563,15;663,2473312;1046,03747;662,6551977;0,938972177;254165852,9;254,1658529;3680,323442;59,2592965;-1,186442355;0,93893661;254156227,2;254,1562272;6,705113051;563,15;663,2375804;2000000;1713094,15;0,93893661;0,727104015;55076,13344;3310,370232;56,99695213
1989-07-01 11:00:00+01:00;798;0,934677282;278943219,2;278,9432192;7,358479181;563,15;663,2448028;1159,178038;662,6543867;0,944683652;281654270,5;281,6542705;3673,779958;59,21052871;-1,067123448;0,944651442;281644668,8;281,6446688;7,430373602;563,15;663,2367585;2000000;1652425,283;0,944651442;0,725471805;60663,80534;3304,590626;56,94924694
1989-07-01 12:00:00+01:00;858;0,939192857;301268237,3;301,2682373;7,947919485;563,15;663,2387233;1250,947822;662,6623686;0,94850225;303978207,6;303,9782076;3675,943574;59,16444055;-0,988021155;0,948472281;303968604,4;303,9686044;8,018641219;563,15;663,2448474;2000000;1599147,891;0,948472281;0,725922867;65208,52551;3306,80701;56,9049141
1989-07-01 13:00:00+01:00;892;0,941611432;314188752,5;314,1887525;8,288459162;563,15;663,2424214;1304,04321;662,6666192;0,950550107;316894696,2;316,8946962;3671,661687;59,12024633;-0,946240207;0,950521338;316885106,5;316,8851065;8,358996533;563,15;663,2491548;2000000;1566667,549;0,950521338;0,726687312;67832,92802;3302,965328;56,86098795
1989-07-01 14:00:00+01:00;905;0,942216182;318956426,6;318,9564266;8,414106185;563,15;663,243848;1323,891532;662,6542933;0,951065796;321675634,9;321,6756349;3686,642337;59,09079794;-0,936212765;0,95103733;321666008,5;321,6660085;8,486228535;563,15;663,236663;2000000;1554219,333;0,95103733;0,726645392;68818,96586;3316,256707;56,83056355
1989-07-01 15:00:00+01:00;889;0,941461398;312883942,1;312,8839421;8,254072339;563,15;663,2420224;1298,665334;662,6661801;0,950424457;315586340,6;315,5863406;3666,30731;59,07179417;-0,948972568;0,950395608;315576763;315,576763;8,324523299;563,15;663,2487098;2000000;1570013,055;0,950395608;0,725850832;67561,79517;3298,093069;56,81252187
1989-07-01 16:00:00+01:00;851;0,938830028;298811379,9;298,8113799;7,883168576;563,15;663,2379446;1240,831705;662,661509;0,948197818;301517237,7;301,5172377;3669,022129;59,07482407;-0,994602987;0,948167659;301507649,1;301,5076491;7,953794726;563,15;663,2439762;2000000;1605199,406;0,948167659;0,725502199;64701,36439;3300,480185;56,81526076
1989-07-01 17:00:00+01:00;791;0,934568538;277564223,7;277,5642237;7,322148929;563,15;663,2441887;1153,478067;662,6538261;0,94459558;280267625,4;280,2676254;3661,946164;59,08099316;-1,069452273;0,944563303;280258050,2;280,2580502;7,393836042;563,15;663,2361902;2000000;1655615,489;0,944563303;0,727396318;60370,76977;3293,81031;56,81971268
1989-07-01 18:00:00+01:00;712;0,926663667;246919961,2;246,9199612;6,513660704;563,15;663,2455284;1027,298948;662,6664128;0,937905657;249642701,3;249,6427013;3682,437687;59,10059051;-1,209259589;0,937869436;249633062;249,633062;6,584993889;563,15;663,2489463;2000000;1722602,689;0,937869436;0,725654133;54157,50658;3312,28584;56,83908451
1989-07-01 19:00:00+01:00;615;0,905466126;190489438,5;190,4894385;5,025307818;563,15;663,2405446;796,5261194;662,6662585;0,921349778;193562550,2;193,5625502;3682,933479;59,16208643;-1,74912032;0,921303818;193552896,4;193,5528964;5,105681365;563,15;663,2487803;2000000;1827165,584;0,921303818;0,726851483;42745,80501;3312,343324;56,89365674
1989-07-01 20:00:00+01:00;482;0,700236193;47104209,23;47,10420923;1,245128499;563,15;663,0524473;207,5486139;662,4751268;0,75149986;50333024,67;50,33302467;3719,843136;59,52117752;-7,30017053;0,751354629;50323299,51;50,32329951;1,330184883;563,15;663,0549646;2000000;1985230,079;0,751354629;0,72170647;13626,69159;3347,389323;57,22115758
1989-07-01 21:00:00+01:00;0;0;-10689815,67;;1;563,15;533,4094292;156;532,7841433;0;-10689815,67;;2004,076265;47,81224423;#¡DIV/0!;0;-10689815,67;;1;563,15;533,4094292;2000000;1991771,074;0;0,705048161;0;2004,076265;47,81224423
1989-07-01 22:00:00+01:00;0;0;-10638431,97;;1;563,15;533,5583517;156;532,9328332;0;-10638431,97;;1993,748396;47,84323826;#¡DIV/0!;0;-10638431,97;;1;563,15;533,5583517;2000000;1991771,798;0;0,67611885;0;1993,748396;47,84323826
1989-07-01 23:00:00+01:00;0;0;-10639383,28;;1;563,15;533,5555948;156;532,9300806;0;-10639383,28;;1993,939587;47,86284841;#¡DIV/0!;0;-10639383,28;;1;563,15;533,5555948;2000000;1991771,785;0;0,631643549;0;1993,939587;47,86284841
1989-07-02 00:00:00+01:00;0;0;-10640333,45;;1;563,15;533,5528412;156;532,9273313;0;-10640333,45;;1994,130549;47,88245879;#¡DIV/0!;0;-10640333,45;;1;563,15;533,5528412;2000000;1991771,773;0;0,57409594;0;1994,130549;47,88245879
1989-07-02 01:00:00+01:00;0;0;-10618706,19;;1;563,15;533,6155146;156;532,9899068;0;-10618706,19;;1989,783578;47,8979699;#¡DIV/0!;0;-10618706,19;;1;563,15;533,6155146;2000000;1991772,077;0;0,526610565;0;1989,783578;47,8979699
1989-07-02 02:00:00+01:00;0;0;-10619652,51;;1;563,15;533,6127723;156;532,9871688;0;-10619652,51;;1989,973766;47,91758112;#¡DIV/0!;0;-10619652,51;;1;563,15;533,6127723;2000000;1991772,064;0;0,529164932;0;1989,973766;47,91758112
1989-07-02 03:00:00+01:00;0;0;-10607302,83;;1;563,15;533,6485583;156;533,0228988;0;-10607302,83;;1987,491533;47,94008222;#¡DIV/0!;0;-10607302,83;;1;563,15;533,6485583;2000000;1991772,238;0;0,579117347;0;1987,491533;47,94008222
1989-07-02 04:00:00+01:00;0;0;-10574475,42;;1;563,15;533,7436753;156;533,1178672;0;-10574475,42;;1980,893404;47,95622253;#¡DIV/0!;0;-10574475,42;;1;563,15;533,7436753;2000000;1991772,699;0;0,636052927;0;1980,893404;47,95622253
1989-07-02 05:00:00+01:00;0;0;-10597675,68;;1;563,15;533,676454;156;533,0507509;0;-10597675,68;;1985,556505;47,97280036;#¡DIV/0!;0;-10597675,68;;1;563,15;533,676454;2000000;1991772,374;0;0,679156591;0;1985,556505;47,97280036
1989-07-02 06:00:00+01:00;0;0;-10575926,38;;1;563,15;533,7394714;156;533,1136699;0;-10575926,38;;1981,185012;47,98653327;#¡DIV/0!;0;-10575926,38;;1;563,15;533,7394714;2000000;1991772,679;0;0,706903217;0;1981,185012;47,98653327
1989-07-02 07:00:00+01:00;0;0;-10622056,2;;1;563,15;533,605807;156;532,9802143;0;-10622056,2;;1990,456852;47,96750164;#¡DIV/0!;0;-10622056,2;;1;563,15;533,605807;2000000;1991772,032;0;0,722682216;0;1990,456852;47,96750164
1989-07-02 08:00:00+01:00;495;0,887933984;157531888,2;;4,155626548;563,15;663,2457245;661,2157539;662,6657576;0,907173299;160680132,4;;3664,607791;59,37232469;-2,160643319;0,90711907;160670529,3;;4,238312491;563,15;663,2481874;2000000;1877539,592;0,90711907;0,726519718;36038,49472;3296,380515;57,10387761
1989-07-02 09:00:00+01:00;624;0,915648951;213935242,2;;5,643514452;563,15;663,2458828;892,6232572;662,6553142;0,929455765;216889586,4;;3668,503944;59,31912489;-1,503377033;0,929414607;216879983,8;;5,721689572;563,15;663,2376961;2000000;1786466,454;0,929414607;0,72579279;47479,66711;3299,123061;57,050191
1989-07-02 10:00:00+01:00;722;0,927739373;251386447,4;;6,631356519;563,15;663,2473652;1045,820975;662,6552048;0,938813068;254113268,4;;3689,919617;59,27035347;-1,1897777;0,938777409;254103618;;6,703724607;563,15;663,2375877;2000000;1713204,136;0,938777409;0,727082982;55074,06835;3319,019473;57,00798057
1989-07-02 11:00:00+01:00;798;0,934431217;278865942,1;;7,35643634;563,15;663,244858;1158,905551;662,6544084;0,944475146;281588127,7;;3687,769764;59,23066292;-1,071410876;0,944442815;281578490,1;;7,428625939;563,15;663,2367805;2000000;1652576,822;0,944442815;0,725469174;60662,94472;3317,204283;56,96934432
1989-07-02 12:00:00+01:00;858;0,93904008;301222348;;7,94670574;563,15;663,2387605;1250,789113;662,6623875;0,948372574;303939703,1;;3685,353585;59,18444779;-0,990633903;0,94834253;303930076,1;;8,01762322;563,15;663,2448666;2000000;1599242,282;0,94834253;0,725939454;65209,17839;3315,298289;56,92489902
1989-07-02 13:00:00+01:00;892;0,94138102;314120667,5;;8,286657602;563,15;663,2424836;1303,81158;662,6666526;0,950355125;316838521;;3686,467651;59,13135541;-0,950223211;0,950326241;316828893;;8,357510706;563,15;663,2491888;2000000;1566810,43;0,950326241;0,726718419;67834,81423;3316,30656;56,87206282
1989-07-02 14:00:00+01:00;902;0,942026478;317845604,1;;8,384830071;563,15;663,2435371;1319,32377;662,6539911;0,950904996;320564736,5;;3686,600695;59,10001519;-0,939459719;0,950876437;320555110,2;;8,456948019;563,15;663,2363568;2000000;1557100,145;0,950876437;0,726679253;68592,89476;3316,22391;56,83976428
1989-07-02 15:00:00+01:00;889;0,941301626;312834412,6;;8,252762072;563,15;663,2420644;1298,494875;662,666202;0,95028921;315544991,7;;3676,50321;59,08100865;-0,951730683;0,950260282;315535387,7;;8,32342991;563,15;663,2487321;2000000;1570117,885;0,950260282;0,725871621;67562,55467;3307,281608;56,8217127
1989-07-02 16:00:00+01:00;851;0,938010047;298542302,9;;7,876044605;563,15;663,2382485;1239,890333;662,6616032;0,947505136;301288791,3;;3718,819962;59,07593249;-1,008999973;0,947474568;301279072,6;;7,947756835;563,15;663,244072;2000000;1605755,525;0,947474568;0,725495101;64699,59426;3345,314028;56,81623606
1989-07-02 17:00:00+01:00;794;0,933639642;278316359,7;;7,341921339;563,15;663,2450789;1156,790925;662,6543575;0,943811415;281074167,8;;3728,667004;59,08231495;-1,085968342;0,943778673;281064418,6;;7,415067682;563,15;663,2367292;2000000;1653757,59;0,943778673;0,727349723;60594,79185;3353,877159;56,8208593
