datetime;DNI;DryBulb;DewPoint;Pressure;Wdir;Wspd;elevation;zenith;azimuth;aoi;IAM;pr_geo;pr_shadows;pr_opt_peak;solar_fraction;SF.x.mf;SF.x.tin;SF.x.tout;SF.x.pin;SF.x.pout;SF.x.prth;SF.x.prop;SF.x.qabs;SF.x.qlst;SF.x.qlbk;SF.x.pwr;LB.000.x.mf;LB.000.x.tin;LB.000.x.tout;LB.000.x.pin;LB.000.x.pout;LB.000.x.prth;LB.000.x.prop;LB.000.x.qabs;LB.000.x.qlst;LB.000.x.qlbk;SB.SO.x.mf;SB.SO.x.tin;SB.SO.x.tout;SB.SO.x.pin;SB.SO.x.pout;SB.SO.x.prth;SB.SO.x.prop;SB.SO.x.qabs;SB.SO.x.qlst;SB.SO.x.qlbk;SB.SE.x.mf;SB.SE.x.tin;SB.SE.x.tout;SB.SE.x.pin;SB.SE.x.pout;SB.SE.x.prth;SB.SE.x.prop;SB.SE.x.qabs;SB.SE.x.qlst;SB.SE.x.qlbk;SB.NO.x.mf;SB.NO.x.tin;SB.NO.x.tout;SB.NO.x.pin;SB.NO.x.pout;SB.NO.x.prth;SB.NO.x.prop;SB.NO.x.qabs;SB.NO.x.qlst;SB.NO.x.qlbk;SB.NE.x.mf;SB.NE.x.tin;SB.NE.x.tout;SB.NE.x.pin;SB.NE.x.pout;SB.NE.x.prth;SB.NE.x.prop;SB.NE.x.qabs;SB.NE.x.qlst;SB.NE.x.qlbk
1988-01-01 01:00:00+01:00;0;274,09;;95900,0;999;6,2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1988-01-01 02:00:00+01:00;0;274,09;;95900,0;220;6,2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1988-01-01 03:00:00+01:00;0;274,09;;95900,0;230;6,2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1988-01-01 04:00:00+01:00;0;274,03999999999996;;95900,0;230;7,2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1988-01-01 05:00:00+01:00;0;273,97999999999996;;95900,0;999;7,4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1988-01-01 06:00:00+01:00;0;273,92999999999995;;95900,0;999;7,5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1988-01-01 07:00:00+01:00;0;273,82;;95900,0;230;7,7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1988-01-01 08:00:00+01:00;0;273,76;;96000,0;220;7,7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1988-01-01 09:00:00+01:00;0;273,71;;96000,0;999;6,9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1988-01-01 10:00:00+01:00;126;273,82;;96100,0;250;6,2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1988-01-01 11:00:00+01:00;283;273,92999999999995;;96100,0;999;6,2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1988-01-01 12:00:00+01:00;545;274,15;;96000,0;999;6,2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1988-01-01 13:00:00+01:00;750;274,37;;95900,0;330;6,2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1988-01-01 14:00:00+01:00;810;274,59;;95700,0;999;6,4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1988-01-01 15:00:00+01:00;709;274,76;;95700,0;310;6,7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1988-01-01 16:00:00+01:00;485;274,82;;95700,0;320;5,1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1988-01-01 17:00:00+01:00;302;274,76;;95700,0;999;4,4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1988-01-01 18:00:00+01:00;0;274,65;;95700,0;999;3,8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1988-01-01 19:00:00+01:00;0;274,53999999999996;;95700,0;30;3,1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1988-01-01 20:00:00+01:00;0;274,37;;95800,0;999;3,1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1988-01-01 21:00:00+01:00;0;274,26;;95800,0;999;3,1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1988-01-01 22:00:00+01:00;0;274,15;;95700,0;310;3,1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1988-01-01 23:00:00+01:00;0;274,09;;95800,0;999;3,1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1988-01-02 00:00:00+01:00;0;274,03999999999996;;95700,0;999;3,1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1988-01-02 01:00:00+01:00;0;273,97999999999996;;95700,0;20;3,1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1988-01-02 02:00:00+01:00;0;273,92999999999995;;95700,0;999;3,1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1988-01-02 03:00:00+01:00;0;273,92999999999995;;95700,0;999;3,1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1988-01-02 04:00:00+01:00;0;273,87;;95600,0;50;3,1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1988-01-02 05:00:00+01:00;0;273,82;;95700,0;999;3,1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1988-01-02 06:00:00+01:00;0;273,76;;95700,0;999;3,1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1988-01-02 07:00:00+01:00;0;273,76;;95700,0;50;3,1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1988-01-02 08:00:00+01:00;0;273,71;;95800,0;999;4,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1988-01-02 09:00:00+01:00;0;273,71;;95800,0;999;4,8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1988-01-02 10:00:00+01:00;347;273,76;;95800,0;999;5,7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1988-01-02 11:00:00+01:00;258;273,87;;95800,0;999;6,5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1988-01-02 12:00:00+01:00;280;274,03999999999996;;95700,0;999;7,4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1988-01-02 13:00:00+01:00;331;274,21;;95600,0;60;8,2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1988-01-02 14:00:00+01:00;432;274,42999999999995;;95500,0;70;7,7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
