datetime;DNI;DryBulb;DewPoint;Pressure;Wdir;Wspd
1988-01-01 01:00:00+01:00;0;274,09;;95900,0;999;6,2
1988-01-01 02:00:00+01:00;0;274,09;;95900,0;220;6,2
1988-01-01 03:00:00+01:00;0;274,09;;95900,0;230;6,2
1988-01-01 04:00:00+01:00;0;274,03999999999996;;95900,0;230;7,2
1988-01-01 05:00:00+01:00;0;273,97999999999996;;95900,0;999;7,4
1988-01-01 06:00:00+01:00;0;273,92999999999995;;95900,0;999;7,5
1988-01-01 07:00:00+01:00;0;273,82;;95900,0;230;7,7
1988-01-01 08:00:00+01:00;0;273,76;;96000,0;220;7,7
1988-01-01 09:00:00+01:00;0;273,71;;96000,0;999;6,9
1988-01-01 10:00:00+01:00;126;273,82;;96100,0;250;6,2
1988-01-01 11:00:00+01:00;283;273,92999999999995;;96100,0;999;6,2
1988-01-01 12:00:00+01:00;545;274,15;;96000,0;999;6,2
1988-01-01 13:00:00+01:00;750;274,37;;95900,0;330;6,2
1988-01-01 14:00:00+01:00;810;274,59;;95700,0;999;6,4
1988-01-01 15:00:00+01:00;709;274,76;;95700,0;310;6,7
1988-01-01 16:00:00+01:00;485;274,82;;95700,0;320;5,1
1988-01-01 17:00:00+01:00;302;274,76;;95700,0;999;4,4
1988-01-01 18:00:00+01:00;0;274,65;;95700,0;999;3,8
1988-01-01 19:00:00+01:00;0;274,53999999999996;;95700,0;30;3,1
1988-01-01 20:00:00+01:00;0;274,37;;95800,0;999;3,1
1988-01-01 21:00:00+01:00;0;274,26;;95800,0;999;3,1
1988-01-01 22:00:00+01:00;0;274,15;;95700,0;310;3,1
1988-01-01 23:00:00+01:00;0;274,09;;95800,0;999;3,1
1988-01-02 00:00:00+01:00;0;274,03999999999996;;95700,0;999;3,1
1988-01-02 01:00:00+01:00;0;273,97999999999996;;95700,0;20;3,1
1988-01-02 02:00:00+01:00;0;273,92999999999995;;95700,0;999;3,1
1988-01-02 03:00:00+01:00;0;273,92999999999995;;95700,0;999;3,1
1988-01-02 04:00:00+01:00;0;273,87;;95600,0;50;3,1
1988-01-02 05:00:00+01:00;0;273,82;;95700,0;999;3,1
1988-01-02 06:00:00+01:00;0;273,76;;95700,0;999;3,1
1988-01-02 07:00:00+01:00;0;273,76;;95700,0;50;3,1
1988-01-02 08:00:00+01:00;0;273,71;;95800,0;999;4,0
1988-01-02 09:00:00+01:00;0;273,71;;95800,0;999;4,8
1988-01-02 10:00:00+01:00;347;273,76;;95800,0;999;5,7
1988-01-02 11:00:00+01:00;258;273,87;;95800,0;999;6,5
1988-01-02 12:00:00+01:00;280;274,03999999999996;;95700,0;999;7,4
1988-01-02 13:00:00+01:00;331;274,21;;95600,0;60;8,2
1988-01-02 14:00:00+01:00;432;274,42999999999995;;95500,0;70;7,7
1988-01-02 15:00:00+01:00;564;274,53999999999996;;95500,0;999;8,0
1988-01-02 16:00:00+01:00;463;274,59;;95400,0;70;8,2
1988-01-02 17:00:00+01:00;252;274,59;;95500,0;999;7,2
1988-01-02 18:00:00+01:00;126;274,47999999999996;;95500,0;999;6,1
1988-01-02 19:00:00+01:00;0;274,37;;95500,0;80;5,1
1988-01-02 20:00:00+01:00;0;274,26;;95500,0;999;4,4
1988-01-02 21:00:00+01:00;0;274,15;;95500,0;999;3,8
1988-01-02 22:00:00+01:00;0;274,09;;95600,0;40;3,1
1988-01-02 23:00:00+01:00;0;274,03999999999996;;95600,0;999;2,8
1988-01-03 00:00:00+01:00;0;273,92999999999995;;95600,0;999;2,4
1988-01-03 01:00:00+01:00;0;273,87;;95600,0;50;2,1
1988-01-03 02:00:00+01:00;0;273,87;;95500,0;999;2,1
1988-01-03 03:00:00+01:00;0;273,76;;95500,0;999;2,1
1988-01-03 04:00:00+01:00;0;273,71;;95500,0;30;2,1
1988-01-03 05:00:00+01:00;0;273,71;;95500,0;999;2,3
1988-01-03 06:00:00+01:00;0;273,65;;95500,0;30;2,6
1988-01-03 07:00:00+01:00;0;273,59;;95500,0;40;1,0
1988-01-03 08:00:00+01:00;0;273,53999999999996;;95500,0;999;1,0
1988-01-03 09:00:00+01:00;0;273,53999999999996;;95600,0;999;1,0
1988-01-03 10:00:00+01:00;53;273,59;;95600,0;50;1,0
1988-01-03 11:00:00+01:00;94;273,71;;95600,0;999;2,4
1988-01-03 12:00:00+01:00;154;273,92999999999995;;95400,0;999;3,7
1988-01-03 13:00:00+01:00;151;274,09;;95400,0;50;5,1
1988-01-03 14:00:00+01:00;312;274,26;;95300,0;999;4,6
1988-01-03 15:00:00+01:00;302;274,37;;95400,0;70;4,1
1988-01-03 16:00:00+01:00;116;274,42999999999995;;95400,0;70;3,6
1988-01-03 17:00:00+01:00;78;274,42999999999995;;95400,0;999;2,9
1988-01-03 18:00:00+01:00;44;274,32;;95400,0;999;2,2
1988-01-03 19:00:00+01:00;0;274,21;;95400,0;350;1,5
1988-01-03 20:00:00+01:00;0;274,03999999999996;;95500,0;999;0,7
1988-01-03 21:00:00+01:00;0;273,97999999999996;;95500,0;0;0,0
1988-01-03 22:00:00+01:00;0;273,92999999999995;;95400,0;40;1,5
1988-01-03 23:00:00+01:00;0;273,82;;95300,0;999;1,7
1988-01-04 00:00:00+01:00;0;273,76;;95400,0;999;1,9
1988-01-04 01:00:00+01:00;0;273,76;;95400,0;50;2,1
1988-01-04 02:00:00+01:00;0;273,71;;95400,0;999;2,3
1988-01-04 03:00:00+01:00;0;273,71;;95400,0;40;2,6
1988-01-04 04:00:00+01:00;0;273,71;;95300,0;999;1,9
1988-01-04 05:00:00+01:00;0;273,65;;95300,0;999;1,3
1988-01-04 06:00:00+01:00;0;273,65;;95300,0;999;0,6
1988-01-04 07:00:00+01:00;0;273,59;;95300,0;0;0,0
1988-01-04 08:00:00+01:00;0;273,59;;95400,0;999;0,9
1988-01-04 09:00:00+01:00;0;273,59;;95500,0;999;1,8
1988-01-04 10:00:00+01:00;375;273,65;;95400,0;999;2,7
1988-01-04 11:00:00+01:00;555;273,82;;95300,0;60;3,6
1988-01-04 12:00:00+01:00;687;274,03999999999996;;95300,0;999;2,3
1988-01-04 13:00:00+01:00;782;274,26;;95200,0;60;1,0
1988-01-04 14:00:00+01:00;813;274,47999999999996;;95100,0;999;1,0
1988-01-04 15:00:00+01:00;779;274,65;;95100,0;999;1,0
1988-01-04 16:00:00+01:00;681;274,71;;95000,0;230;1,0
1988-01-04 17:00:00+01:00;545;274,71;;95000,0;250;0,5
1988-01-04 18:00:00+01:00;359;274,53999999999996;;95100,0;999;0,7
1988-01-04 19:00:00+01:00;0;274,37;;95200,0;210;1,0
1988-01-04 20:00:00+01:00;0;274,26;;95100,0;999;0,7
1988-01-04 21:00:00+01:00;0;274,15;;95100,0;999;0,3
1988-01-04 22:00:00+01:00;0;274,03999999999996;;95000,0;0;0,0
1988-01-04 23:00:00+01:00;0;273,97999999999996;;95000,0;999;0,0
1988-01-05 00:00:00+01:00;0;273,92999999999995;;95000,0;999;0,0
1988-01-05 01:00:00+01:00;0;273,87;;94800,0;0;0,0
1988-01-05 02:00:00+01:00;0;273,82;;95000,0;999;0,0
1988-01-05 03:00:00+01:00;0;273,76;;95000,0;999;0,0
1988-01-05 04:00:00+01:00;0;273,71;;94900,0;0;0,0
1988-01-05 05:00:00+01:00;0;273,65;;94900,0;999;0,0
1988-01-05 06:00:00+01:00;0;273,59;;94800,0;999;0,0
1988-01-05 07:00:00+01:00;0;273,53999999999996;;94900,0;0;0,0
1988-01-05 08:00:00+01:00;0;273,47999999999996;;94900,0;999;0,0
1988-01-05 09:00:00+01:00;0;273,47999999999996;;94900,0;0;0,0
1988-01-05 10:00:00+01:00;369;273,59;;94900,0;0;0,0
1988-01-05 11:00:00+01:00;555;273,82;;94700,0;999;0,0
1988-01-05 12:00:00+01:00;690;274,03999999999996;;94800,0;999;0,0
1988-01-05 13:00:00+01:00;785;274,37;;94700,0;0;0,0
1988-01-05 14:00:00+01:00;817;274,65;;94700,0;999;0,3
1988-01-05 15:00:00+01:00;782;274,87;;94600,0;999;0,7
1988-01-05 16:00:00+01:00;684;274,97999999999996;;94600,0;160;1,0
1988-01-05 17:00:00+01:00;548;274,92999999999995;;94600,0;999;0,7
1988-01-05 18:00:00+01:00;359;274,76;;94700,0;999;0,3
1988-01-05 19:00:00+01:00;0;274,59;;94700,0;0;0,0
1988-01-05 20:00:00+01:00;0;274,42999999999995;;94700,0;999;0,0
1988-01-05 21:00:00+01:00;0;274,21;;94700,0;999;0,0
1988-01-05 22:00:00+01:00;0;274,09;;94900,0;0;0,0
1988-01-05 23:00:00+01:00;0;273,97999999999996;;94800,0;999;0,0
1988-01-06 00:00:00+01:00;0;273,92999999999995;;94800,0;999;0,0
1988-01-06 01:00:00+01:00;0;273,82;;94800,0;0;0,0
1988-01-06 02:00:00+01:00;0;273,82;;94900,0;0;0,0
1988-01-06 03:00:00+01:00;0;273,76;;95000,0;999;0,0
1988-01-06 04:00:00+01:00;0;273,71;;95000,0;0;0,0
1988-01-06 05:00:00+01:00;0;273,71;;95000,0;999;0,3
1988-01-06 06:00:00+01:00;0;273,65;;95100,0;999;0,7
1988-01-06 07:00:00+01:00;0;273,59;;95200,0;150;1,0
1988-01-06 08:00:00+01:00;0;273,59;;95200,0;999;1,4
1988-01-06 09:00:00+01:00;0;273,59;;95300,0;999;1,7
1988-01-06 10:00:00+01:00;473;273,65;;95300,0;190;2,1
1988-01-06 11:00:00+01:00;656;273,87;;95300,0;999;1,7
1988-01-06 12:00:00+01:00;735;274,15;;95200,0;999;1,4
