;DNI;DryBulb;DewPoint;Pressure;Wspd
1907-03-27 00:00:00+01:00;0,0;281,04999999999995;273,15;83000,0;16,0
1907-03-27 01:00:00+01:00;0,0;278,45;273,15;83000,0;9,0
1907-03-27 02:00:00+01:00;0,0;276,45;273,15;83000,0;16,0
1907-03-27 03:00:00+01:00;0,0;276,04999999999995;273,15;83000,0;21,0
1907-03-27 04:00:00+01:00;0,0;276,15;273,15;83000,0;19,0
1907-03-27 05:00:00+01:00;0,0;275,54999999999995;273,15;83000,0;15,0
1907-03-27 06:00:00+01:00;0,0;275,84999999999997;273,15;83000,0;20,0
1907-03-27 07:00:00+01:00;255,0;276,15;273,15;83000,0;18,0
1907-03-27 08:00:00+01:00;710,0;279,15;273,15;83000,0;16,0
1907-03-27 09:00:00+01:00;825,0;282,15;273,15;83000,0;19,0
1907-03-27 10:00:00+01:00;921,0;285,04999999999995;273,15;83000,0;22,0
1907-03-27 11:00:00+01:00;957,0;287,25;273,15;83000,0;21,0
1907-03-27 12:00:00+01:00;972,0;288,54999999999995;273,15;83000,0;24,0
1907-03-27 13:00:00+01:00;973,0;289,84999999999997;273,15;83000,0;27,0
1907-03-27 14:00:00+01:00;949,0;290,95;273,15;83000,0;40,0
1907-03-27 15:00:00+01:00;938,0;291,95;273,15;83000,0;41,0
1907-03-27 16:00:00+01:00;891,0;292,75;273,15;83000,0;32,0
1907-03-27 17:00:00+01:00;805,0;293,15;273,15;83000,0;21,0
1907-03-27 18:00:00+01:00;612,0;292,15;273,15;83000,0;33,0
1907-03-27 19:00:00+01:00;131,0;290,15;273,15;83000,0;13,0
1907-03-27 20:00:00+01:00;0,0;288,25;273,15;83000,0;1,0
1907-03-27 21:00:00+01:00;0,0;285,95;273,15;83000,0;9,0
1907-03-27 22:00:00+01:00;0,0;283,25;273,15;83000,0;14,0
1907-03-27 23:00:00+01:00;0,0;283,54999999999995;273,15;83000,0;51,0
