date;DNI;DryBulb;Pressure;Humidity;Wspd;NO.mf;NE.mf;SO.mf;SE.mf;NO.tin;NE.tin;SO.tin;SE.tin;NO.tout;NE.tout;SO.tout;SE.tout;NO.pin;NE.pin;SO.pin;SE.pin;NO.pout;NE.pout;SO.pout;SE.pout;IDP.tin;IDP.tout;SF_POWER;SF_MF;SF_T_IN;SF_T_OUT;COLD_PIPE_LOSSES;IDP_POWER;IDP_T_IN;IDP_T_OUT;HOT_PIPE_LOSSES;
01/01/2016 0:00;0,2;9,6;942,5;96,8;2,1;61,9;51,5;51,6;68,7;91,4;90,2;89,8;90,3;87,0;85,4;84,9;85,9;7,5;7,5;7,7;7,6;6,9;7,0;7,1;7,0;197,5;94,7;-2,7;233,6;50,7;43,6;-2,4;48,1;197,5;94,7;53,2;
01/01/2016 1:00;0,2;9,6;942,1;96,9;0,3;61,9;51,6;51,8;68,8;88,3;87,9;87,5;88,0;84,9;83,5;83,0;83,9;7,6;7,5;7,7;7,6;6,9;7,0;7,1;7,0;196,2;92,6;-2,4;234,1;46,9;40,5;-2,7;48,9;196,2;92,6;54,0;
01/01/2016 2:00;0,2;9,7;941,8;97,0;0,5;61,9;51,0;51,6;68,7;86,1;85,7;85,2;85,8;82,8;81,5;80,9;81,8;7,4;7,5;7,6;7,5;6,9;6,9;7,0;6,9;194,9;90,4;-2,4;233,2;43,4;37,3;-2,8;49,4;194,9;90,4;54,5;
01/01/2016 3:00;0,2;9,7;941,4;97,0;0,0;62,0;51,5;51,7;68,8;84,0;83,6;83,2;83,7;80,8;79,6;79,0;79,9;7,4;7,4;7,6;7,5;6,8;6,9;7,0;6,9;193,7;88,4;-2,3;233,9;40,1;34,2;-2,8;50,3;193,7;88,4;55,4;
01/01/2016 4:00;0,2;9,8;941,4;97,2;0,0;61,9;51,1;51,4;68,7;82,0;81,5;81,2;81,7;78,9;77,6;77,1;78,0;7,4;7,4;7,5;7,4;6,7;6,9;7,0;6,9;192,4;86,3;-2,2;233,1;37,0;31,2;-2,8;50,8;192,4;86,3;55,9;
01/01/2016 5:00;0,2;9,9;941,4;97,3;0,6;61,8;50,9;51,7;68,6;80,0;79,6;79,3;79,7;77,0;75,7;75,2;76,1;7,4;7,3;7,5;7,4;6,7;6,8;6,9;6,8;191,3;84,2;-2,2;233,1;33,9;28,2;-2,7;51,6;191,3;84,2;56,6;
01/01/2016 6:00;0,2;9,8;942,0;97,2;0,1;61,9;51,3;51,5;68,8;78,1;77,7;78,3;77,8;75,3;74,7;74,5;74,7;7,3;7,3;7,5;7,4;6,7;6,7;6,9;6,8;189,9;82,3;-2,0;233,5;31,2;26,2;-2,7;52,3;189,9;82,3;56,9;
01/01/2016 7:00;0,2;9,7;942,3;97,3;0,3;61,7;51,3;51,7;68,8;78,0;77,8;77,6;78,2;74,3;72,7;72,3;73,3;7,3;7,3;7,5;7,4;6,7;6,8;6,9;6,8;188,7;80,6;-2,9;233,5;31,1;23,7;-1,7;52,8;188,7;80,6;57,4;
01/01/2016 8:00;4,0;10,1;942,6;97,3;0,7;39,9;32,3;32,5;44,8;78,6;101,8;105,4;102,8;84,1;105,1;110,0;93,8;6,7;6,7;6,9;6,8;6,3;6,3;6,4;6,3;187,5;79,4;0,2;149,5;59,8;60,6;6,4;34,0;187,5;79,4;27,4;
01/01/2016 9:00;0,5;11,1;943,1;97,3;2,0;75,2;59,9;61,0;82,8;115,4;118,7;113,3;118,7;107,1;98,6;96,8;102,7;8,3;8,0;8,0;8,0;7,5;7,5;7,6;7,6;186,4;85,5;-9,5;278,9;89,6;67,7;20,6;58,4;186,4;85,5;47,4;
01/01/2016 10:00;0,9;12,5;943,2;97,2;6,0;89,8;72,9;73,2;97,0;97,0;99,8;102,0;99,8;100,1;101,5;100,8;100,6;8,9;9,0;9,2;9,0;7,8;7,9;8,0;7,9;184,9;104,7;0,9;332,9;64,5;66,3;-4,0;53,3;184,9;104,7;56,4;
01/01/2016 11:00;1,4;13,2;943,0;92,2;6,2;88,5;72,9;73,2;96,5;102,2;100,6;99,9;100,8;100,5;100,4;100,3;99,9;8,9;8,9;9,0;8,9;7,8;7,9;8,0;7,9;180,5;99,7;-0,5;331,1;66,6;65,6;1,0;54,3;180,5;99,7;53,9;
01/01/2016 12:00;18,3;14,0;942,4;84,6;5,7;88,6;73,0;73,4;96,6;100,4;100,7;100,9;100,9;102,4;103,4;103,7;102,9;8,9;8,9;9,0;8,9;7,8;7,9;8,0;7,9;173,7;100,8;1,8;331,6;66,3;69,8;0,0;49,5;173,7;100,8;47,8;
01/01/2016 13:00;21,4;13,8;941,6;81,1;7,1;88,4;72,9;73,3;96,5;100,5;100,7;101,3;100,8;101,2;102,2;102,1;101,1;8,9;8,9;9,0;8,9;7,8;7,8;8,0;7,9;166,8;102,3;0,6;331,2;66,4;67,6;-1,1;44,1;166,8;102,3;44,7;
01/01/2016 14:00;345,3;14,4;941,2;78,8;7,9;88,5;73,0;73,0;96,4;102,9;102,9;103,0;103,0;132,3;143,5;141,3;128,5;8,9;8,9;9,0;8,9;7,8;7,8;7,9;7,9;160,6;102,7;23,6;330,9;69,7;115,9;0,2;40,0;160,6;102,7;16,2;
01/01/2016 15:00;248,2;14,9;940,6;76,6;7,5;89,5;73,2;73,1;97,2;105,2;107,0;109,6;107,0;193,5;203,0;206,0;199,7;9,0;9,0;9,2;9,0;7,8;8,0;8,1;8,0;153,4;115,9;60,3;333,0;75,8;195,0;-6,6;25,7;153,4;115,9;-28,0;
01/01/2016 16:00;14,5;14,0;940,6;77,5;5,4;85,1;69,7;69,0;92,1;142,5;148,9;155,6;149,0;157,0;176,1;180,4;171,4;9,7;9,6;9,7;9,7;8,7;8,8;9,0;8,9;194,7;161,8;13,0;316,0;133,1;160,4;-7,9;18,6;194,7;161,8;13,5;
01/01/2016 17:00;0,2;12,8;940,6;82,8;4,3;72,9;59,8;60,4;79,4;183,1;183,4;180,5;183,7;171,3;167,4;165,5;169,0;8,4;8,5;8,6;8,5;7,7;7,8;7,9;7,8;204,2;179,4;-7,0;272,5;175,1;158,0;1,6;11,7;204,2;179,4;17,1;
01/01/2016 18:00;0,2;12,3;941,0;86,1;6,7;68,5;54,5;55,4;73,4;171,8;169,3;168,8;169,6;161,6;158,9;158,3;159,8;8,7;8,6;8,8;8,7;8,0;8,1;8,3;8,1;202,0;169,0;-4,8;251,8;159,8;147,2;0,5;14,6;202,0;169,0;18,9;
01/01/2016 19:00;0,2;12,3;941,6;85,8;6,3;68,4;55,6;56,7;74,9;166,3;164,3;163,7;164,6;156,7;153,2;152,1;154,5;8,8;8,8;9,0;8,9;8,1;8,2;8,3;8,2;200,4;166,9;-5,1;255,7;153,5;140,4;-1,0;15,1;200,4;166,9;21,2;
01/01/2016 20:00;0,2;12,4;941,9;86,6;7,8;68,3;55,8;56,4;74,1;159,5;157,5;157,2;157,7;150,5;147,4;146,4;148,6;8,7;8,7;8,9;8,8;8,1;8,1;8,2;8,1;198,9;163,9;-4,7;254,6;145,1;132,8;-2,8;15,8;198,9;163,9;23,4;
01/01/2016 21:00;0,2;12,5;942,0;86,7;8,5;68,5;55,2;56,4;74,4;153,1;152,3;151,8;152,5;145,0;142,1;141,1;143,2;8,7;8,7;8,8;8,7;7,9;8,1;8,1;8,1;197,8;160,2;-4,7;254,5;138,1;125,8;-3,7;17,1;197,8;160,2;25,6;
01/01/2016 22:00;0,2;12,2;942,2;90,2;8,2;68,8;56,0;56,4;74,6;147,6;147,1;146,2;147,2;139,8;137,0;136,1;138,1;8,6;8,6;8,8;8,6;7,9;8,0;8,1;8,0;196,6;155,7;-4,7;255,7;131,1;119,0;-4,2;18,9;196,6;155,7;27,8;
