date;DNI;SF_POWER;IDP_POWER;SF_MF;IDP_T_OUT;SF_T_IN;SF_T_OUT;IDP_T_IN;COLD_PIPE_LOSSES;HOT_PIPE_LOSSES;;;;;;
01/01/2016 0:00;0,209966917;-1,857922408;45,68760033;233,6139394;367,8378005;363,1717844;358,6374266;470,6724358;-1,752227657;49,29775039;;;;;;
01/01/2016 1:00;0,229650533;-1,668118751;46,03986113;234,1381933;365,750995;360,7102409;356,6366474;469,3908788;-1,906112058;49,61409194;;;;;;
01/01/2016 2:00;0,21344305;-1,593976702;46,09952204;233,172717;363,5880616;358,4814885;354,5621574;468,0480844;-1,920719157;49,6142179;;;;;;
01/01/2016 3:00;0,242243;-1,529507765;46,5452989;233,9271642;361,5208955;356,3911221;352,6329293;466,8881439;-1,932247755;50,00705442;;;;;;
01/01/2016 4:00;0,2442617;-1,481001099;46,60977112;233,1157674;359,4338571;354,375353;350,7146662;465,5667915;-1,89254853;49,98332075;;;;;;
01/01/2016 5:00;0,238071033;-1,459808165;46,93958176;233,0685479;357,3297798;352,418516;348,8007657;464,473442;-1,82866459;50,22805452;;;;;;
01/01/2016 6:00;0,2382056;-1,277278374;47,12424793;233,5108865;355,4684789;350,7403027;347,5752047;463,0746984;-1,754816921;50,15634322;;;;;;
01/01/2016 7:00;0,240089733;-1,890286935;47,21329028;233,5221847;353,795288;350,6623056;345,9735461;461,8200462;-1,107808884;50,2113861;;;;;;
01/01/2016 8:00;4,031959083;0,12679379;30,17908564;149,4642367;352,5502369;369,5101178;369,9882868;460,6188651;4,549704757;25,50258709;;;;;;
01/01/2016 9:00;0,457839233;-7,505207993;52,73239907;278,9333962;358,6654571;389,3630772;374,4395089;459,5111063;15,4761174;44,76148966;;;;;;
01/01/2016 10:00;0,90845245;0,70086607;50,6657934;332,9124467;377,801429;372,2731215;373,4549403;458,0073749;-3,037384459;53,00231179;;;;;;
01/01/2016 11:00;1,365528733;-0,386485609;50,40885407;331,1095508;372,8421701;373,646052;372,9911935;453,6102147;0,720526124;50,07481356;;;;;;
