date;DNI;SF.a.tin;SF.a.mf;SF.x.mf;SF.a.tout;SF.x.tout;SF.b.tout;SF.a.pwr;SF.x.pwr;SF.b.pwr;SF.x.prth;SF.b.prth;;;
01/09/2016 6:00;128,9147732;444,4302481;221,9181194;240;445,8251118;470,1339195;472,0994188;0,61208791;12,40896972;12,36843438;0,752840129;0,749953641;0,0;0;
01/09/2016 7:00;453,7746573;439,2325783;256,6612594;240;522,7893508;658,4258962;647,3970215;44,56594365;119,3581295;120,3582703;0,882455309;0,889511622;0,2;0,004370433;228,810266
01/09/2016 8:00;726,6641042;437,3472527;342,6211762;386,0509748;637,7285788;667,4327382;688,0543461;153,5203802;202,4883354;198,5242213;0,908323637;0,895240841;30,1;0,196374296;5,092316144
01/09/2016 9:00;809,0698151;476,7329023;506,059111;498,4111304;663,7950286;667,3389929;664,7666378;220,5348604;221,8259909;221,8197744;0,901402914;0,902647489;51,5;0,233671516;4,279511755
01/09/2016 10:00;775,1318777;538,0269402;593,7763967;651,0874164;663,1655091;667,4377716;677,2948517;179,4711357;204,0728196;201,5766091;0,875405989;0,868932072;52,4;0,291776488;3,427280952
01/09/2016 11:00;853,0310628;564,7581712;610,827931;870,5997501;663,0974532;667,4394099;701,3068391;147,3923546;219,9668304;209,9661691;0,866764317;0,843439124;51,1;0,346592006;2,885236769
01/09/2016 12:00;883,1069743;569,2448779;587,4471885;936,734509;667,1380604;667,4383132;711,8530414;141,8542177;226,9366395;213,053752;0,865792162;0,83853004;52,6;0,37057186;2,698531938
01/09/2016 13:00;879,8537527;567,4513962;598,5563769;925,7127627;667,0443676;667,437783;709,2216923;146,8808045;228,1178645;215,1654535;0,867158235;0,840694065;52,6;0,357957646;2,793626597
01/09/2016 14:00;848,6973633;569,3597758;577,3354517;918,5236743;667,2803164;667,4387126;711,5384392;139,4738561;222,2805984;208,7229992;0,864950014;0,837523752;52,6;0,377175962;2,651282429
01/09/2016 15:00;795,0985311;569,1489012;579,6203578;866,3621334;667,2575808;667,4395123;704,9538538;140,2752116;210,0838543;199,1899283;0,862293518;0,836660997;52,6;0,374956672;2,666974809
01/09/2016 16:00;683,3715719;568,7983955;577,245211;739,5622415;666,7062531;667,4440637;689,6252167;139,3355136;179,9470106;174,5892801;0,853645868;0,836816266;52,6;0,377491901;2,649063457
01/09/2016 17:00;428,4077496;568,8463805;577,1590699;260,1661239;627,1859935;667,254648;617,8062504;80,97811945;63,14416203;67,57090909;0,743298694;0,789299008;43,0;0,530811104;1,883909348
01/09/2016 18:00;42,50076745;568,7009534;579,0728744;240;546,7057744;549,5129911;560,5934837;-29,18083089;-10,56845771;-10,84630494;0;0;16,6;-0,56722187;-1,762978567
01/09/2016 19:00;0,030785683;560,5478483;570,110986;240;506,572736;542,4594552;552,8207006;-68,44818425;-9,871597194;-10,0804026;0;0;3,0;-0,043188336;-23,15440007
;;;;;;;;;;;;;;;
;;;;;;;;;0;0,0;;;;;
;;;;;;;;;1;0,0;;;;;
;;;;;;;;;2;0,0;;;;;
;;;;;;;;;3;0,0;;;;;
;;;;;;;;;4;0,0;;;;;
;;;;;;;;;5;0,0;;;;;
;;;;;;;;;6;0,0;;;;;
;;;;;;;;;7;0,2;;;;;
;;;;;;;;;8;30,1;;;;;
;;;;;;;;;9;51,5;;;;;
;;;;;;;;;10;52,4;;;;;
;;;;;;;;;11;51,1;;;;;
;;;;;;;;;12;52,6;;;;;
;;;;;;;;;13;52,6;;;;;
;;;;;;;;;14;52,6;;;;;
;;;;;;;;;15;52,6;;;;;
;;;;;;;;;16;52,6;;;;;
;;;;;;;;;17;43,0;;;;;
;;;;;;;;;18;16,6;;;;;
;;;;;;;;;19;3,0;;;;;
;;;;;;;;;20;0,0;;;;;
;;;;;;;;;21;0,0;;;;;
;;;;;;;;;22;0,0;;;;;
;;;;;;;;;23;0,0;;;;;
