"Time stamp","1st operating mode","2nd op. mode, if applicable","3rd op. mode, if applicable","Field change in material/htf internal energy | (MWt)","Field collector DNI-cosine product | (W/m2)","Field collector cosine efficiency","Field collector incidence angle modifier","Field collector optical end loss","Field collector row shadowing loss","Field collector solar incidence angle | (deg)","Field collector tracking power | (MWe)","Field fraction of focused SCAs","Field freeze protection required | (MWt)","Field htf pumping power | (MWe)","Field optical efficiency before defocus","Field piping thermal losses | (MWt)","Field pressure drop | (bar)","Field thermal power incident | (MWt)","Field thermal power incident after cosine | (MWt)","Field thermal power leaving in HTF | (MWt)","Field timestep-averaged inlet temperature | (C)","Field timestep-averaged outlet temperature | (C)","Field total mass flow delivered | (kg/s)","Field total mass flow recirculated | (kg/s)","Heat sink HTF inlet temp | (C)","Heat sink HTF mass flow | (kg/s)","Heat sink HTF outlet temp | (C)","Heat sink pumping power | (MWe)","Heat sink thermal power | (MWt)","Loop timestep-averaged inlet temperature | (C)","Loop timestep-averaged outlet temperature | (C)","Receiver mass flow rate | (kg/s)","Receiver thermal losses | (MWt)","Receiver thermal power absorbed | (MWt)","Receiver thermal power incident | (MWt)","Relative energy balance error","Relative mass flow balance error","Resource Beam normal irradiance | (W/m2)","Resource Dry bulb temperature | (C)","Resource Hour of Day","Resource Month","Resource Pressure | (mbar)","Resource Solar Azimuth | (deg)","Resource Solar Zenith | (deg)","Resource Wet bulb temperature | (C)","Resource Wind Speed | (m/s)","System total electrical parasitic | (MWe)","TES charge mass flow rate | (kg/s)","TES charge state | (MWht)","TES charge thermal power | (MWt)","TES cold temperature | (C)","TES discharge mass flow rate | (kg/s)","TES discharge thermal power | (MWt)","TES freeze protection power | (MWe)","TES hot temperature | (C)","TES thermal losses | (MWt)","Time at end of timestep | (hr)"
"Jan 1, 12:00 am",1,0,0,-1.52889,0,0,0,0,0,0,0,1,0,0.0130237,0,0,0.512237,0,0,-0.0540817,170.909,170.773,0,204,393,0,293,0,0,171.396,168.27,1.7,1.58463,-1.58463,0,0,0,0,4.1,1,1,998,325.035,160.518,3.86562,1.3,0.0130237,0,0,0,-273.15,0,0,0,-273.15,0,1
"Jan 1, 01:00 am",1,0,0,-1.49399,0,0,0,0,0,0,0,1,0,0.0130136,0,0,0.512254,0,0,-0.045995,169.308,169.192,0,204,393,0,293,0,0,170.658,167.055,1.7,1.5407,-1.5407,0,0,0,0,9.4,2,1,998,10.9753,163.064,8.22812,2.3,0.0130136,0,0,0,-273.15,0,0,0,-273.15,0,2
"Jan 1, 02:00 am",1,0,0,-1.48159,0,0,0,0,0,0,0,1,0,0.0130009,0,0,0.512286,0,0,-0.0398244,168.046,167.945,0,204,393,0,293,0,0,169.573,166.09,1.7,1.52165,-1.52165,0,0,0,0,9.4,3,1,999,49.3841,157.017,7.29062,1.8,0.0130009,0,0,0,-273.15,0,0,0,-273.15,0,3
"Jan 1, 03:00 am",1,0,0,-1.46137,0,0,0,0,0,0,0,1,0,0.0129881,0,0,0.512323,0,0,-0.0382224,166.888,166.792,0,204,393,0,293,0,0,168.432,165.006,1.7,1.49973,-1.49973,0,0,0,0,9.2,4,1,999,70.1802,146.922,6.93437,1.5,0.0129881,0,0,0,-273.15,0,0,0,-273.15,0,4
"Jan 1, 04:00 am",1,0,0,-1.43798,0,0,0,0,0,0,0,1,0,0.0129757,0,0,0.512367,0,0,-0.0373501,165.764,165.67,0,204,393,0,293,0,0,167.295,163.92,1.7,1.47545,-1.47545,0,0,0,0,9.2,5,1,999,83.104,135.615,6.93437,1.8,0.0129757,0,0,0,-273.15,0,0,0,-273.15,0,5
"Jan 1, 05:00 am",1,0,0,-1.41629,0,0,0,0,0,0,0,1,0,0.0129636,0,0,0.512415,0,0,-0.0367124,164.661,164.569,0,204,393,0,293,0,0,166.172,162.844,1.7,1.45312,-1.45312,0,0,0,0,9.1,6,1,999,92.9449,124.007,6.75625,1.8,0.0129636,0,0,0,-273.15,0,0,0,-273.15,0,6
"Jan 1, 06:00 am",1,0,0,-1.3943,0,0,0,0,0,0,0,1,0,0.0129518,0,0,0.512468,0,0,-0.0360963,163.575,163.484,0,204,393,0,293,0,0,165.065,161.784,1.7,1.4305,-1.4305,0,0,0,0,9,7,1,999,101.632,112.486,6.73438,2.1,0.0129518,0,0,0,-273.15,0,0,0,-273.15,0,7
"Jan 1, 07:00 am",1,0,0,-1.37456,0,0,0,0,0,0,0,1,0,0.0129404,0,0,0.512527,0,0,-0.0355623,162.505,162.414,0,204,393,0,293,0,0,163.974,160.735,1.7,1.41023,-1.41023,0,0,0,0,9,8,1,999,110.129,101.311,6.65625,1.6,0.0129404,0,0,0,-273.15,0,0,0,-273.15,0,8
"Jan 1, 08:00 am",1,0,0,-1.35227,0,0,0,0,0,0,0,1,0,0.0129294,0,0,0.512589,0,0,-0.0349321,161.449,161.361,0,204,393,0,293,0,0,162.899,159.707,1.7,1.3873,-1.3873,0,0,0,0,9,9,1,999,119.07,90.744,6.5,2.3,0.0129294,0,0,0,-273.15,0,0,0,-273.15,0,9
"Jan 1, 09:00 am",1,0,0,-1.33068,0,0,0,0,0,0,0,1,0,0.0129187,0,0,0.512656,0,0,-0.0343306,160.411,160.324,0,204,393,0,293,0,0,161.841,158.695,1.7,1.36511,-1.36511,0,0,0,0,9.5,10,1,999,128.971,81.5633,6.92188,2,0.0129187,0,0,0,-273.15,0,0,0,-273.15,0,10
