"Time stamp","1st operating mode","2nd op. mode, if applicable","3rd op. mode, if applicable","Field change in material/htf internal energy | (MWt)","Field collector DNI-cosine product | (W/m2)","Field collector cosine efficiency","Field collector incidence angle modifier","Field collector optical end loss","Field collector row shadowing loss","Field collector solar incidence angle | (deg)","Field collector tracking power | (MWe)","Field fraction of focused SCAs","Field freeze protection required | (MWt)","Field htf pumping power | (MWe)","Field optical efficiency before defocus","Field piping thermal losses | (MWt)","Field pressure drop | (bar)","Field thermal power incident | (MWt)","Field thermal power incident after cosine | (MWt)","Field thermal power leaving in HTF | (MWt)","Field timestep-averaged inlet temperature | (C)","Field timestep-averaged outlet temperature | (C)","Field total mass flow delivered | (kg/s)","Field total mass flow recirculated | (kg/s)","Heat sink HTF inlet temp | (C)","Heat sink HTF mass flow | (kg/s)","Heat sink HTF outlet temp | (C)","Heat sink pumping power | (MWe)","Heat sink thermal power | (MWt)","Loop timestep-averaged inlet temperature | (C)","Loop timestep-averaged outlet temperature | (C)","Receiver mass flow rate | (kg/s)","Receiver thermal losses | (MWt)","Receiver thermal power absorbed | (MWt)","Receiver thermal power incident | (MWt)","Relative energy balance error","Relative mass flow balance error","Resource Beam normal irradiance | (W/m2)","Resource Dry bulb temperature | (C)","Resource Hour of Day","Resource Month","Resource Pressure | (mbar)","Resource Solar Azimuth | (deg)","Resource Solar Zenith | (deg)","Resource Wet bulb temperature | (C)","Resource Wind Speed | (m/s)","System total electrical parasitic | (MWe)","TES charge mass flow rate | (kg/s)","TES charge state | (MWht)","TES charge thermal power | (MWt)","TES cold temperature | (C)","TES discharge mass flow rate | (kg/s)","TES discharge thermal power | (MWt)","TES freeze protection power | (MWe)","TES hot temperature | (C)","TES thermal losses | (MWt)","Time at end of timestep | (hr)"
"Jan 1, 12:00 am",1,0,0,-2.23087,0,0,0,0,0,0,0,1,0,0.0107261,0,0.17424,0.421934,0,0,-0.0418856,171.119,171.014,0,204,393,0,293,0,0,170.364,169.546,1.7,1.66588,-1.66588,0,0,0,0,4.1,1,1,998,325.035,160.518,3.86562,1.3,0.0107261,0,0,0,-273.15,0,0,0,-273.15,0,1
"Jan 1, 01:00 am",1,0,0,-2.12928,0,0,0,0,0,0,0,1,0,0.0107144,0,0.166072,0.421973,0,0,-0.0629777,169.468,169.31,0,204,393,0,293,0,0,169.869,166.882,1.7,1.6089,-1.6089,0,0,0,0,9.4,2,1,998,10.9753,163.064,8.22812,2.3,0.0107144,0,0,0,-273.15,0,0,0,-273.15,0,2
"Jan 1, 02:00 am",1,0,0,-2.12368,0,0,0,0,0,0,0,1,0,0.0107056,0,0.164995,0.422042,0,0,-0.0487591,167.772,167.649,0,204,393,0,293,0,0,168.782,165.841,1.7,1.59164,-1.59164,0,0,0,0,9.4,3,1,999,49.3841,157.017,7.29062,1.8,0.0107056,0,0,0,-273.15,0,0,0,-273.15,0,3
"Jan 1, 03:00 am",1,0,0,-2.10443,0,0,0,0,0,0,0,1,0,0.0106959,0,0.164129,0.422131,0,0,-0.0414527,166.441,166.336,0,204,393,0,293,0,0,167.521,164.847,1.7,1.56831,-1.56831,0,0,0,0,9.2,4,1,999,70.1802,146.922,6.93437,1.5,0.0106959,0,0,0,-273.15,0,0,0,-273.15,0,4
"Jan 1, 04:00 am",1,0,0,-2.07418,0,0,0,0,0,0,0,1,0,0.0106861,0,0.162896,0.422227,0,0,-0.0402309,165.23,165.129,0,204,393,0,293,0,0,166.27,163.687,1.7,1.54135,-1.54135,0,0,0,0,9.2,5,1,999,83.104,135.615,6.93437,1.8,0.0106861,0,0,0,-273.15,0,0,0,-273.15,0,5
"Jan 1, 05:00 am",1,0,0,-2.0457,0,0,0,0,0,0,0,1,0,0.0106766,0,0.161748,0.422327,0,0,-0.0399235,164.037,163.936,0,204,393,0,293,0,0,165.046,162.501,1.7,1.51668,-1.51668,0,0,0,0,9.1,6,1,999,92.9449,124.007,6.75625,1.8,0.0106766,0,0,0,-273.15,0,0,0,-273.15,0,6
"Jan 1, 06:00 am",1,0,0,-2.01727,0,0,0,0,0,0,0,1,0,0.0106675,0,0.160618,0.42243,0,0,-0.0394393,162.853,162.753,0,204,393,0,293,0,0,163.841,161.332,1.7,1.49178,-1.49178,0,0,0,0,9,7,1,999,101.632,112.486,6.73438,2.1,0.0106675,0,0,0,-273.15,0,0,0,-273.15,0,7
"Jan 1, 07:00 am",1,0,0,-1.99119,0,0,0,0,0,0,0,1,0,0.0106586,0,0.159402,0.422539,0,0,-0.0388817,161.683,161.584,0,204,393,0,293,0,0,162.653,160.181,1.7,1.46947,-1.46947,0,0,0,0,9,8,1,999,110.129,101.311,6.65625,1.6,0.0106586,0,0,0,-273.15,0,0,0,-273.15,0,8
"Jan 1, 08:00 am",1,0,0,-1.96224,0,0,0,0,0,0,0,1,0,0.0106501,0,0.158204,0.422651,0,0,-0.0382801,160.527,160.43,0,204,393,0,293,0,0,161.481,159.047,1.7,1.44419,-1.44419,0,0,0,0,9,9,1,999,119.07,90.744,6.5,2.3,0.0106501,0,0,0,-273.15,0,0,0,-273.15,0,9
"Jan 1, 09:00 am",1,0,0,-1.93237,0,0,0,0,0,0,0,1,0,0.0106419,0,0.156499,0.422767,0,0,-0.0376258,159.389,159.293,0,204,393,0,293,0,0,160.327,157.932,1.7,1.4197,-1.4197,0,0,0,0,9.5,10,1,999,128.971,81.5633,6.92188,2,0.0106419,0,0,0,-273.15,0,0,0,-273.15,0,10
