"Time stamp","Field total mass flow delivered | (kg/s)","Field timestep-averaged inlet temperature | (C)","Field timestep-averaged outlet temperature | (C)","Field collector DNI-cosine product | (W/m2)","Field fraction of focused SCAs","Field optical efficiency before defocus","Resource Beam normal irradiance | (W/m2)","Field thermal power incident | (MWt)","Field thermal power incident after cosine | (MWt)","Receiver thermal power absorbed | (MWt)","Field piping thermal losses | (MWt)","Receiver thermal losses | (MWt)","Field thermal power leaving in HTF | (MWt)","Heat sink HTF inlet temp | (C)","Heat sink HTF outlet temp | (C)","Heat sink HTF mass flow | (kg/s)","Receiver thermal power incident | (MWt)","TES charge mass flow rate | (kg/s)","TES charge thermal power | (MWt)","TES discharge mass flow rate | (kg/s)","TES discharge thermal power | (MWt)","Field collector incidence angle modifier","Field collector optical end loss","Field collector row shadowing loss","Field collector solar incidence angle | (deg)"
"Jan 1, 12:00 am",0,171.119,171.014,0,1,0,0,0,0,-1.66588,0.17424,1.66588,-0.0418856,393,293,0,0,0,0,0,0,0,0,0,0
"Jan 1, 01:00 am",0,169.468,169.31,0,1,0,0,0,0,-1.6089,0.166072,1.6089,-0.0629777,393,293,0,0,0,0,0,0,0,0,0,0
"Jan 1, 02:00 am",0,167.772,167.649,0,1,0,0,0,0,-1.59164,0.164995,1.59164,-0.0487591,393,293,0,0,0,0,0,0,0,0,0,0
"Jan 1, 03:00 am",0,166.441,166.336,0,1,0,0,0,0,-1.56831,0.164129,1.56831,-0.0414527,393,293,0,0,0,0,0,0,0,0,0,0
"Jan 1, 04:00 am",0,165.23,165.129,0,1,0,0,0,0,-1.54135,0.162896,1.54135,-0.0402309,393,293,0,0,0,0,0,0,0,0,0,0
"Jan 1, 05:00 am",0,164.037,163.936,0,1,0,0,0,0,-1.51668,0.161748,1.51668,-0.0399235,393,293,0,0,0,0,0,0,0,0,0,0
"Jan 1, 06:00 am",0,162.853,162.753,0,1,0,0,0,0,-1.49178,0.160618,1.49178,-0.0394393,393,293,0,0,0,0,0,0,0,0,0,0
"Jan 1, 07:00 am",0,161.683,161.584,0,1,0,0,0,0,-1.46947,0.159402,1.46947,-0.0388817,393,293,0,0,0,0,0,0,0,0,0,0
"Jan 1, 08:00 am",0,160.527,160.43,0,1,0,0,0,0,-1.44419,0.158204,1.44419,-0.0382801,393,293,0,0,0,0,0,0,0,0,0,0
"Jan 1, 09:00 am",0,159.389,159.293,0,1,0,0,0,0,-1.4197,0.156499,1.4197,-0.0376258,393,293,0,0,0,0,0,0,0,0,0,0
