"Time stamp","Field HTF mass flow rate total | (kg/s)","Field HTF temperature cold header inlet | (C)","Field HTF temperature hot header outlet | (C)","Field collector DNI-cosine product | (W/m2)","Field collector fraction of time period tracking","Field collector incidence angle modifier","Field collector optical end loss","Field collector row shadowing loss","Field collector solar incidence angle | (deg)","Field collector thermal and optical efficiency","Field collector tracking angle | (deg)","Field thermal power absorbed | (MWt)","Field thermal power incident after cosine | (MWt)","Field thermal power pipe losses | (MWt)","Field thermal power receiver heat loss | (kJ/hr-m2)","Field thermal power receiver total loss | (MWt)","Field thermal power total incident | (MWt)","Field thermal power total produced | (MWt)","Resource Pressure | (mbar)","Resource Solar Azimuth | (deg)","Resource Solar Zenith | (deg)","Resource Wet bulb temperature | (C)","Resource Wind Speed | (m/s)","Resource Dry bulb temperature | (C)","Resource Beam normal irradiance | (W/m2)","System power generated | (kW)","Cycle electrical power output (gross) | (MWe)","Cycle electrical power output (gross, solar share) | (MWe)","Cycle electrical power output (net) | (MWe)","Cycle thermal energy dumped - TES is full | (MWt)","Cycle thermal energy dumped - min. load requirement | (MWt)","Cycle thermal energy dumped - solar field | (MWt)","Cycle thermal power input | (MWt)","Field collector cosine efficiency","Parasitic power total consumption | (MWe)","Parasitic power solar field HTF pump | (MWe)","Parasitic power generation-dependent load | (MWe)","Parasitic power freeze protection pump | (MWe)","Parasitic power fixed load | (MWe)","Parasitic power field collector drives | (MWe)","Parasitic power condenser operation | (MWe)","Parasitic power auxiliary heater operation | (MWe)","Parasitic power - online total | (MWe)","Parasitic power - offline total | (MWe)"
"Jan 1, 12:00 am",0,146.491,145.756,0,0,1.00091,0.996111,0,15.3768,0,0,0,0,0.373601,3.68278,1.44512,0,0,998,325.035,160.518,3.86562,1.3,4.1,0,-355.488,0,0,-0.3703,0,0,0,0,0.964203,0.3703,0,0,0.081,0.2893,0,0,0,0,0.3703
"Jan 1, 01:00 am",0,142.789,142.102,0,0,1.00029,0.995913,0,16.1193,0,0,0,0,0.341446,3.43686,1.34863,0,0,998,10.9753,163.064,8.22812,2.3,9.4,0,-355.488,0,0,-0.3703,0,0,0,0,0.960686,0.3703,0,0,0.081,0.2893,0,0,0,0,0.3703
"Jan 1, 02:00 am",0,139.214,138.559,0,0,1.0016,0.996356,0,14.4509,0,0,0,0,0.330554,3.24606,1.27375,0,0,999,49.3841,157.017,7.29062,1.8,9.4,0,-355.488,0,0,-0.3703,0,0,0,0,0.968362,0.3703,0,0,0.081,0.2893,0,0,0,0,0.3703
"Jan 1, 03:00 am",0,135.738,135.109,0,0,1.0034,0.997368,0,10.5421,0,0,0,0,0.321402,3.0849,1.21051,0,0,999,70.1802,146.922,6.93437,1.5,9.2,0,-355.488,0,0,-0.3703,0,0,0,0,0.983121,0.3703,0,0,0.081,0.2893,0,0,0,0,0.3703
"Jan 1, 04:00 am",0,132.329,131.719,0,0,1.00301,0.998817,0,4.7819,0,0,0,0,0.312653,2.96798,1.16463,0,0,999,83.104,135.615,6.93437,1.8,9.2,0,-355.488,0,0,-0.3703,0,0,0,0,0.996519,0.3703,0,0,0.081,0.2893,0,0,0,0,0.3703
"Jan 1, 05:00 am",0,128.991,128.402,0,0,1.00183,0.9994,0,2.42901,0,0,0,0,0.305032,2.84205,1.11522,0,0,999,92.9449,124.007,6.75625,1.8,9.1,0,-355.488,0,0,-0.3703,0,0,0,0,0.999102,0.3703,0,0,0.081,0.2893,0,0,0,0,0.3703
"Jan 1, 06:00 am",0,125.709,125.137,0,0,1.00336,0.997327,0,10.704,0,0,0,0,0.298136,2.74,1.07518,0,0,999,101.632,112.486,6.73438,2.1,9,0,-355.488,0,0,-0.3703,0,0,0,0,0.9826,0.3703,0,0,0.081,0.2893,0,0,0,0,0.3703
"Jan 1, 07:00 am",0,122.511,121.962,0,0,0.996353,0.994939,0,19.6916,0,0,0,0,0.291758,2.59904,1.01986,0,0,999,110.129,101.311,6.65625,1.6,9,0,-355.488,0,0,-0.3703,0,0,0,0,0.94152,0.3703,0,0,0.081,0.2893,0,0,0,0,0.3703
"Jan 1, 08:00 am",0,119.352,118.814,0,0,0.977468,0.992985,0,29.063,0,0,0,0,0.285933,2.52689,0.991553,0,0,999,119.07,90.744,6.5,2.3,9,0,-355.488,0,0,-0.3703,0,0,0,0,0.874086,0.3703,0,0,0.081,0.2893,0,0,0,0,0.3703
"Jan 1, 09:00 am",0,116.271,115.755,0,0.565218,0.943131,0.992166,0.648386,38.2156,0,-76.7365,0,0,0.27986,2.39714,0.940638,0,0,999,128.971,81.5633,6.92188,2,9.5,0,-355.488,0,0,-0.3703,0,0,0,0,0.785689,0.3703,0,0,0.081,0.2893,0,0,0,0,0.3703
"Jan 1, 10:00 am",0,164.889,194.077,135.243,1,0.88315,0.991098,1,47.4513,0.412577,-64.8269,35.156,53.0694,0.521383,5.74812,2.25556,78.48,0,999,140.283,73.331,7.50937,3.7,10.4,200,-355.488,0,0,-0.3703,0,0,0,0,0.676216,0.3703,0,0,0.081,0.2893,0,0,0,0,0.3703
"Jan 1, 11:00 am",0,175.162,174.175,10.2527,1,0.797605,0.989848,1,55.278,0,-46.5414,2.40397,4.02317,0.484161,5.25678,2.06276,7.0632,0,999,153.296,66.9639,7.42813,3,11.1,18,-355.488,0,0,-0.3703,0,0,0,0,0.569595,0.3703,0,0,0.081,0.2893,0,0,0,0,0.3703
