model1st Antiguo;model1st Iterativo;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
date;DNI;DryBulb;Pressure;Wspd;SB.NO.a.mf;SB.NO.a.tin;SB.NO.a.tout;NetPower;AuxPower;GrossPower;SB.NO.a.pin;SB.NO.a.pout;elevation;zenith;azimuth;aoi;IAM;pr_shadows;pr_borders;pr_opt_peak;solar_fraction;SF.x.mf;SF.x.tin;SF.x.tout;SF.x.pin;SF.x.pout;SF.x.prth;SF.x.prop;SF.x.qabs;SF.x.qlst;SF.x.qlbk;SF.x.pwr;SF.x.globalpr;LB.000.x.mf;LB.000.x.tin;LB.000.x.tout;LB.000.x.pin;LB.000.x.pout;LB.000.x.prth;LB.000.x.prop;LB.000.x.qabs;LB.000.x.qlst;LB.000.x.qlbk;SB.NO.x.mf;SB.NO.x.tin;SB.NO.x.tout;SB.NO.x.pin;SB.NO.x.pout;SB.NO.x.prth;SB.NO.x.prop;SB.NO.x.qabs;SB.NO.x.qlst;SB.NO.x.qlbk;SF.a.mf;SF.a.tin;SF.a.tout;SF.a.pwr;SF.b.tout;SF.b.prth;SF.b.prop;SF.b.pwr;SF.b.wpwr;SF.a.pin;SF.a.pout;SF.b.pout;SF.b.qabs;SF.b.qlst;SF.b.qlbk;SF.a.prth;SF.a.globalpr;LB.NO.a.mf;LB.NO.a.tin;LB.NO.a.tout;LB.NO.b.tout;LB.NO.a.pin;LB.NO.b.pout;LB.NO.b.prth;LB.NO.b.prop;LB.NO.b.qabs;LB.NO.b.qlst;LB.NO.b.qlbk;LB.NO.b.wpwr;SB.NO.b.tout;SB.NO.b.pout;SB.NO.b.prth;SB.NO.b.prop;SB.NO.b.qabs;SB.NO.b.qlst;SB.NO.b.qlbk;SB.NO.b.wpwr
01/03/2007 0:00;0;280,95;99600;2,9;204;278,893;268;0;0;0;2E+11;2E+11;-58,6876153;148,6876153;2,314212346;31,28396294;0;0;0,991248182;0,794882056;0,922462279;204;278,8446216;267,6173644;2E+11;2E+11;0;0;0;5,262121166;0,155596372;-5,133412461;0;1,7;278,893;267,7190158;2E+11;2E+11;0;0;0;43851,00972;1296,636433;204;278,893;267,6681886;2E+11;2E+11;0;0;0;5,262121166;0,155596372;204;278,8446216;267,9491588;-4,982708801;267,6175267;0;0;-5,133338757;0;2E+11;2E+11;2E+11;0;5,262045243;0,155595442;0;0;1,7;278,893;-273,15;267,7191781;2E+11;2E+11;0;0;0;43850,37702;1296,628681;0;267,6683509;2E+11;0;0;0;5,262045243;0,155595442;0
01/03/2007 1:00;0;279,85;99600;2,2;204;274,808;264,287;0;0;0;2E+11;2E+11;-55,4659621;145,4659621;29,21187996;29,65646024;0;0;0,991799007;0,794882056;0,922462279;204;274,7580031;263,8240589;2E+11;2E+11;0;0;0;5,100810826;0,154367853;-4,975425463;0;1,7;274,808;263,924581;2E+11;2E+11;0;0;0;42506,75688;1286,398777;204;274,808;263,874314;2E+11;2E+11;0;0;0;5,100810826;0,154367853;204;274,7580031;264,23665;-4,788877897;263,8243315;0;0;-4,975302209;0;2E+11;2E+11;2E+11;0;5,100683815;0,154366257;0;0;1,7;274,808;-273,15;263,9248538;2E+11;2E+11;0;0;0;42505,69846;1286,385473;0;263,8745867;2E+11;0;0;0;5,100683815;0,154366257;0
01/03/2007 2:00;0;278,75;99600;1,8;204;270,882;260,709;0;0;0;2E+11;2E+11;-47,97943826;137,9794383;50,09647178;25,43051932;0;0;0,99315141;0,794882056;0,922462279;204;270,8312365;260,1713228;2E+11;2E+11;0;0;0;4,950947291;0,153187031;-4,828404754;0;1,7;270,882;260,2694887;2E+11;2E+11;0;0;0;41257,89409;1276,558593;204;270,882;260,2203958;2E+11;2E+11;0;0;0;4,950947291;0,153187031;204;270,8312365;260,6597339;-4,608548219;260,1715659;0;0;-4,828295363;0;2E+11;2E+11;2E+11;0;4,950834528;0,15318558;0;0;1,7;270,882;-273,15;260,269732;2E+11;2E+11;0;0;0;41256,9544;1276,546498;0;260,220639;2E+11;0;0;0;4,950834528;0,15318558;0
01/03/2007 3:00;0;278,15;99600;1,8;204;267,103;257,26;0;0;0;2E+11;2E+11;-38,11115637;128,1111564;65,39479334;19,12322581;0;0;0,995005873;0,794882056;0,922462279;204;267,0522171;256,6516271;2E+11;2E+11;0;0;0;4,810098687;0,151713572;-4,690025577;0;1,7;267,103;256,7463949;2E+11;2E+11;0;0;0;40084,15573;1264,279767;204;267,103;256,6989978;2E+11;2E+11;0;0;0;4,810098687;0,151713572;204;267,0522171;257,2123223;-4,438703358;256,6518445;0;0;-4,68992816;0;2E+11;2E+11;2E+11;0;4,809998237;0,15171225;0;0;1,7;267,103;-273,15;256,7466126;2E+11;2E+11;0;0;0;40083,31864;1264,268749;0;256,6992153;2E+11;0;0;0;4,809998237;0,15171225;0
01/03/2007 4:00;0;277,45;99600;1,3;204;263,462;253,931;0;0;0;2E+11;2E+11;-27,07757;117,07757;77,26340979;11,32089611;0;0;0,997116475;0,794882056;0,922462279;204;263,4118476;253,2676044;2E+11;2E+11;0;0;0;4,672615749;0,150381445;-4,554840794;0;1,7;263,462;253,3581147;2E+11;2E+11;0;0;0;38938,46457;1253,178712;204;263,462;253,3128437;2E+11;2E+11;0;0;0;4,672615749;0,150381445;204;263,4118476;253,8853367;-4,279088608;253,2677986;0;0;-4,55475411;0;2E+11;2E+11;2E+11;0;4,672526341;0,150380241;0;0;1,7;263,462;-273,15;253,3583092;2E+11;2E+11;0;0;0;38937,71951;1253,168678;0;253,3130381;2E+11;0;0;0;4,672526341;0,150380241;0
01/03/2007 5:00;0;277,05;99600;1,4;204;259,952;250,716;0;0;0;2E+11;2E+11;-15,54253262;105,5425326;87,3534314;2,549723221;0;0;0,999358615;0,794882056;0,922462279;204;259,9030377;249,9959824;2E+11;2E+11;0;0;0;4,54575861;0,148878194;-4,429916956;0;1,7;259,952;250,0815075;2E+11;2E+11;0;0;0;37881,32175;1240,651614;204;259,952;250,0387274;2E+11;2E+11;0;0;0;4,54575861;0,148878194;204;259,9030377;250,6727055;-4,129031704;249,9961571;0;0;-4,42983931;0;2E+11;2E+11;2E+11;0;4,545678505;0,148877092;0;0;1,7;259,952;-273,15;250,0816825;2E+11;2E+11;0;0;0;37880,65421;1240,642432;0;250,0389022;2E+11;0;0;0;4,545678505;0,148877092;0
01/03/2007 6:00;0;276,95;99600;1,2;204;256,565;247,609;0;0;0;2E+11;2E+11;-3,91121108;93,91121108;96,76307922;6,747254368;0;0;0,998295958;0,794882056;0,922462279;204;256,5177046;246,8464412;2E+11;2E+11;0;0;0;4,421180416;0,147236083;-4,30718366;0;1,7;256,565;246,9264132;2E+11;2E+11;0;0;0;36843,17013;1226,967359;204;256,565;246,8864085;2E+11;2E+11;0;0;0;4,421180416;0,147236083;204;256,5177046;247,5683649;-3,987433802;246,846598;0;0;-4,307114247;0;2E+11;2E+11;2E+11;0;4,421108789;0,147235077;0;0;1,7;256,565;-273,15;246,9265703;2E+11;2E+11;0;0;0;36842,57324;1226,958974;0;246,8865654;2E+11;0;0;0;4,421108789;0,147235077;0
01/03/2007 7:00;80;278,05;99600;1,4;204;253,529;250,796;0;0;0;2E+11;2E+11;7,49442238;82,50557762;106,3180893;16,17484992;0;0,382467518;0,995822312;0,794882056;0,922462279;204;253,4836106;244,028388;2E+11;2E+11;0;0;0;4,308211909;0,144944429;-4,195848869;0;1,7;253,529;244,1028097;2E+11;2E+11;0;0;0;35901,76591;1207,870241;204;253,529;244,0655797;2E+11;2E+11;0;0;0;4,308211909;0,144944429;204;253,4836106;250,7526417;-1,216909694;244,028388;0;0;-4,195848871;0;2E+11;2E+11;2E+11;0;4,30821191;0,144944429;0;0;1,7;253,529;-273,15;244,1028097;2E+11;2E+11;0;0;0;35901,76592;1207,870241;0;244,0655797;2E+11;0;0;0;4,30821191;0,144944429;0
01/03/2007 8:00;447;280,05;99600;2,5;382,873;264,477;365,593;0;0;0;2E+11;2E+11;18,32683222;71,67316778;116,7830328;25,3253194;0,986637202;0,979701891;0,993183806;0,794882056;0,922462279;349,2910709;264,426609;392,6992774;2E+11;2E+11;0,88862649;0,70888779;120,8933465;13,52299153;0,221243017;107,4668356;0;2,910758924;264,477;392,9044946;2E+11;2E+11;0,88862649;0,70888779;1007444,554;112691,5961;1843,69181;349,2910709;264,477;392,8013413;2E+11;2E+11;0,88862649;0,70888779;120,8933465;13,52299153;0,221243017;382,873;264,426609;365,6428556;91,40778957;383,0714472;0,894344952;0,70888779;108,3076518;0;2E+11;2E+11;2E+11;120,8933465;12,80983045;0,217344391;0,756102732;0;3,190608333;264,477;-273,15;383,1108545;2E+11;2E+11;0,894344952;0,70888779;1007444,554;106748,5871;1811,203255;0;383,0910855;2E+11;0,894344952;0,70888779;120,8933465;12,80983045;0,217344391;0
01/03/2007 9:00;745;282,15;99600;2;663,342;289,675;392,497;0;0;0;2E+11;2E+11;28,11726372;61,88273628;128,9846142;33,70155489;0,962456739;1;0,990393633;0,794882056;0,922462279;674,0505197;289,6349078;392,8807162;2E+11;2E+11;0,920793936;0,636466322;184,1337278;14,65424921;0,227626777;169,4424004;0;5,617087664;289,675;393,0898432;2E+11;2E+11;0,920793936;0,636466322;1534447,731;122118,7434;1896,889807;674,0505197;289,675;392,9847201;2E+11;2E+11;0,920793936;0,636466322;184,1337278;14,65424921;0,227626777;663,342;289,6349078;392,3981219;165,9214134;394,3505253;0,92018801;0,636466322;169,2786341;0;2E+11;2E+11;2E+11;184,1337278;14,76953594;0,228211806;0,901091915;0;5,52785;289,675;-273,15;394,5925114;2E+11;2E+11;0,92018801;0,636466322;1534447,731;123079,4662;1901,765053;0;394,470828;2E+11;0,92018801;0,636466322;184,1337278;14,76953594;0,228211806;0
