"Time stamp","1st operating mode","2nd op. mode, if applicable","3rd op. mode, if applicable","Field change in material/htf internal energy | (MWt)","Field collector DNI-cosine product | (W/m2)","Field collector cosine efficiency","Field collector incidence angle modifier","Field collector optical end loss","Field collector row shadowing loss","Field collector solar incidence angle | (deg)","Field collector tracking power | (MWe)","Field fraction of focused SCAs","Field freeze protection required | (MWt)","Field htf pumping power | (MWe)","Field optical efficiency before defocus","Field piping thermal losses | (MWt)","Field pressure drop | (bar)","Field thermal power incident | (MWt)","Field thermal power incident after cosine | (MWt)","Field thermal power leaving in HTF | (MWt)","Field timestep-averaged inlet temperature | (C)","Field timestep-averaged outlet temperature | (C)","Field total mass flow delivered | (kg/s)","Field total mass flow recirculated | (kg/s)","Heat sink HTF inlet temp | (C)","Heat sink HTF mass flow | (kg/s)","Heat sink HTF outlet temp | (C)","Heat sink pumping power | (MWe)","Heat sink thermal power | (MWt)","Loop timestep-averaged inlet temperature | (C)","Loop timestep-averaged outlet temperature | (C)","Receiver mass flow rate | (kg/s)","Receiver thermal losses | (MWt)","Receiver thermal power absorbed | (MWt)","Receiver thermal power incident | (MWt)","Relative energy balance error","Relative mass flow balance error","Resource Beam normal irradiance | (W/m2)","Resource Dry bulb temperature | (C)","Resource Hour of Day","Resource Month","Resource Pressure | (mbar)","Resource Solar Azimuth | (deg)","Resource Solar Zenith | (deg)","Resource Wet bulb temperature | (C)","Resource Wind Speed | (m/s)","System total electrical parasitic | (MWe)","TES charge mass flow rate | (kg/s)","TES charge state | (MWht)","TES charge thermal power | (MWt)","TES cold temperature | (C)","TES discharge mass flow rate | (kg/s)","TES discharge thermal power | (MWt)","TES freeze protection power | (MWe)","TES hot temperature | (C)","TES thermal losses | (MWt)","Time at end of timestep | (hr)"
"Jan 1, 12:00 am",1,0,0,-1.53055,0,0,0,0,0,0,0,1,0,0.0132864,0,0,0.5175,0,0,-0.0532269,170.929,170.799,0,204,393,0,293,0,0,171.402,168.326,1.7,1.58541,-1.58541,0,0,0,0,4.1,1,1,998,325.035,160.518,3.86562,1.3,0.0132864,0,0,0,-273.15,0,0,0,-273.15,0,1
"Jan 1, 01:00 am",1,0,0,-1.49625,0,0,0,0,0,0,0,1,0,0.0132752,0,0,0.517467,0,0,-0.045351,169.383,169.272,0,204,393,0,293,0,0,170.704,167.158,1.7,1.54232,-1.54232,0,0,0,0,9.4,2,1,998,10.9753,163.064,8.22812,2.3,0.0132752,0,0,0,-273.15,0,0,0,-273.15,0,2
"Jan 1, 02:00 am",1,0,0,-1.48468,0,0,0,0,0,0,0,1,0,0.0132607,0,0,0.517425,0,0,-0.039157,168.164,168.068,0,204,393,0,293,0,0,169.668,166.237,1.7,1.52407,-1.52407,0,0,0,0,9.4,3,1,999,49.3841,157.017,7.29062,1.8,0.0132607,0,0,0,-273.15,0,0,0,-273.15,0,3
"Jan 1, 03:00 am",1,0,0,-1.46547,0,0,0,0,0,0,0,1,0,0.0132458,0,0,0.51738,0,0,-0.0375201,167.05,166.957,0,204,393,0,293,0,0,168.575,165.198,1.7,1.50313,-1.50313,0,0,0,0,9.2,4,1,999,70.1802,146.922,6.93437,1.5,0.0132458,0,0,0,-273.15,0,0,0,-273.15,0,4
"Jan 1, 04:00 am",1,0,0,-1.44296,0,0,0,0,0,0,0,1,0,0.013231,0,0,0.517333,0,0,-0.0366592,165.968,165.878,0,204,393,0,293,0,0,167.482,164.155,1.7,1.47974,-1.47974,0,0,0,0,9.2,5,1,999,83.104,135.615,6.93437,1.8,0.013231,0,0,0,-273.15,0,0,0,-273.15,0,5
"Jan 1, 05:00 am",1,0,0,-1.42209,0,0,0,0,0,0,0,1,0,0.0132164,0,0,0.517285,0,0,-0.036048,164.907,164.818,0,204,393,0,293,0,0,166.402,163.12,1.7,1.45825,-1.45825,0,0,0,0,9.1,6,1,999,92.9449,124.007,6.75625,1.8,0.0132164,0,0,0,-273.15,0,0,0,-273.15,0,6
"Jan 1, 06:00 am",1,0,0,-1.40086,0,0,0,0,0,0,0,1,0,0.0132019,0,0,0.517235,0,0,-0.035463,163.862,163.774,0,204,393,0,293,0,0,165.337,162.099,1.7,1.43643,-1.43643,0,0,0,0,9,7,1,999,101.632,112.486,6.73438,2.1,0.0132019,0,0,0,-273.15,0,0,0,-273.15,0,7
"Jan 1, 07:00 am",1,0,0,-1.38184,0,0,0,0,0,0,0,1,0,0.0131876,0,0,0.517184,0,0,-0.0349589,162.831,162.744,0,204,393,0,293,0,0,164.287,161.089,1.7,1.41691,-1.41691,0,0,0,0,9,8,1,999,110.129,101.311,6.65625,1.6,0.0131876,0,0,0,-273.15,0,0,0,-273.15,0,8
"Jan 1, 08:00 am",1,0,0,-1.36024,0,0,0,0,0,0,0,1,0,0.0131735,0,0,0.517132,0,0,-0.0343596,161.814,161.729,0,204,393,0,293,0,0,163.251,160.098,1.7,1.3947,-1.3947,0,0,0,0,9,9,1,999,119.07,90.744,6.5,2.3,0.0131735,0,0,0,-273.15,0,0,0,-273.15,0,9
"Jan 1, 09:00 am",1,0,0,-1.33929,0,0,0,0,0,0,0,1,0,0.0131596,0,0,0.517079,0,0,-0.0337871,160.813,160.729,0,204,393,0,293,0,0,162.23,159.122,1.7,1.37318,-1.37318,0,0,0,0,9.5,10,1,999,128.971,81.5633,6.92188,2,0.0131596,0,0,0,-273.15,0,0,0,-273.15,0,10
