#TYPICAL METEOROLOGICAL YEAR (P50) - HOURLY VALUES OF SOLAR RADIATION AND METEOROLOGICAL PARAMETERS
#
#Customer name: FICHTNER GmbH & Co. KG
#Issued: 2019-03-19 10:58
#
#Site name: Abu Dhabi PV2, United Arab Emirates (AE)
#Latitude: 24.133889
#Longitude: 54.520833
#Elevation: 31.0 m a.s.l.
#http://solargis.info/imaps/#tl=Google:satellite&loc=24.133889,54.520833&z=14 
#
#
#Output from the climate database Solargis v2.1.28
#
#Solar radiation data
#Description: data calculated from Meteosat MSG IODC and Meteosat MFG IODC satellite data ((c) 2019 EUMETSAT) and from atmospheric data ((c) 2019 ECMWF, NOAA and NASA) by Solargis method 
#Summarization type: hourly (typical meteorological year)
#Summarization period: 01/01/1999 - 31/12/2018
#Spatial resolution: 250 m
#
#Meteorological data
#Description: spatially disaggregated from CFSR, CFSv2 and GFS ((c) 2019 NOAA) and MERRA2 ((c) 2019 NASA) by Solargis method 
#Summarization type: hourly (typical meteorological year)
#Summarization period: 01/01/1999 - 31/12/2018
#Spatial resolution: temperature 1 km, other meteorological parameters 33 km to 55 km
#
#Service provider: Solargis s.r.o., M. Marecka 3, Bratislava, Slovakia
#Company ID: 45 354 766, VAT Number: SK2022962766
#Registration: Business register, District Court Bratislava I, Section Sro, File 62765/B
#http://solargis.com, contact@solargis.com
#
#Disclaimer:
#Considering the nature of climate fluctuations, interannual and long-term changes, as well as the uncertainty of measurements and calculations, Solargis s.r.o. cannot take full guarantee of the accuracy of estimates. The maximum possible has been done for the assessment of climate conditions based on the best available data, software and knowledge. Solargis s.r.o. shall not be liable for any direct, incidental, consequential, indirect or punitive damages arising or alleged to have arisen out of use of the provided data. Solargis is a trade mark of Solargis s.r.o.
#
#Copyright (c) 2019 Solargis s.r.o.
#
#
#TMY method: SolarGIS_2
#TMY created from following years: 1:2007 2:2014 3:2001 4:2008 5:2009 6:2001 7:2009 8:2010 9:2003 10:2004 11:2009 12:2003 
#
#Columns:
#Day - Day of year
#Time - Time reference UTC+4, time step 60 min, time format HH:MM, center of the averaging interval
#GHI - Global horizontal irradiation [Wh/m2], no data value -9
#DNI - Direct normal irradiation [Wh/m2], no data value -9
#DIF - Diffuse horizontal irradiation [Wh/m2], no data value -9
#SE - Sun altitude (elevation) angle [deg.]
#SA - Sun azimuth angle [deg.]
#TEMP - Air temperature at 2 m [deg. C]
#WS - Wind speed at 10 m [m/s]
#WD - Wind direction at 10 m [deg.]
#RH - Relative humidity [%]
#AP - Atmospheric pressure [hPa]
#PWAT - Precipitable water [kg/m2], no data value -99
#
#Data:
Day;Time;GHI;DNI;DIF;SE;SA;TEMP;WS;WD;RH;AP;PWAT
1;0:30;0;0;0;-85.71;-179.62;15.0;4.5;301;67.5;1017.3;13.5
1;1:30;0;0;0;-75.04;-91.24;14.7;4.3;300;68.4;1017.1;13.5
1;2:30;0;0;0;-61.37;-85.65;14.5;4.4;299;69.5;1016.6;13.4
1;3:30;0;0;0;-47.83;-81.65;14.5;4.5;299;70.7;1016.6;13.2
1;4:30;0;0;0;-34.43;-77.70;14.8;4.6;299;71.6;1016.9;13.0
1;5:30;0;0;0;-21.20;-73.33;14.8;4.6;300;72.0;1017.4;12.9
1;6:30;0;0;0;-7.99;-68.32;15.1;4.6;301;71.1;1017.9;12.7
1;7:30;64;171;44;4.44;-62.33;16.0;5.1;303;67.0;1018.6;12.6
1;8:30;227;427;107;15.93;-54.85;17.2;5.6;307;61.1;1018.9;12.9
1;9:30;411;573;159;26.40;-45.22;18.1;5.6;310;57.0;1019.5;13.6
1;10:30;525;518;236;35.01;-32.66;19.0;5.6;312;53.5;1019.1;14.8
1;11:30;467;293;278;40.74;-16.78;19.6;5.7;313;50.7;1018.1;15.8
1;12:30;588;400;321;42.57;1.45;20.1;5.9;314;48.8;1017.2;16.7
1;13:30;496;286;318;40.08;19.46;20.2;6.1;315;48.1;1016.6;17.3
1;14:30;448;332;269;33.83;34.84;19.8;6.2;315;48.5;1016.3;17.7
1;15:30;363;450;176;24.87;46.90;19.1;6.1;315;50.8;1016.4;17.7
1;16:30;194;382;97;14.19;56.14;17.9;5.3;314;55.3;1016.5;17.1
1;17:30;39;94;28;2.79;63.34;16.6;4.2;313;60.7;1016.9;16.5
1;18:30;0;0;0;-10.15;69.16;15.9;3.8;311;64.5;1017.9;16.0
1;19:30;0;0;0;-23.24;74.04;15.4;3.7;310;66.4;1018.4;15.6
1;20:30;0;0;0;-36.52;78.34;15.0;3.5;309;67.8;1018.5;15.4
1;21:30;0;0;0;-50.00;82.36;14.7;3.5;308;69.0;1018.5;15.1
1;22:30;0;0;0;-63.61;86.55;14.4;3.6;308;69.6;1018.5;14.7
1;23:30;0;0;0;-77.28;93.63;14.3;3.7;308;70.5;1018.5;14.5
2;0:30;0;0;0;-85.68;179.86;14.3;3.9;308;71.2;1018.5;14.6
2;1:30;0;0;0;-75.15;-91.66;14.3;4.1;308;71.5;1018.6;14.7
2;2:30;0;0;0;-61.49;-85.85;14.6;4.4;309;71.5;1018.2;14.9
2;3:30;0;0;0;-47.93;-81.80;14.9;4.7;310;70.9;1017.9;15.1
2;4:30;0;0;0;-34.51;-77.83;15.1;5.0;311;69.9;1018.4;15.1
2;5:30;0;0;0;-21.27;-73.45;15.3;5.2;313;69.0;1018.5;15.4
2;6:30;0;0;0;-8.07;-68.44;15.6;5.4;314;67.8;1018.9;15.9
