723815,"DAGGETT BARSTOW-DAGGETT AP",CA,-8.0,34.850,-116.800,586
Date (MM/DD/YYYY),Time (HH:MM),ETR (W/m^2),ETRN (W/m^2),GHI (W/m^2),GHI source,GHI uncert (%),DNI (W/m^2),DNI source,DNI uncert (%),DHI (W/m^2),DHI source,DHI uncert (%),GH illum (lx),GH illum source,Global illum uncert (%),DN illum (lx),DN illum source,DN illum uncert (%),DH illum (lx),DH illum source,DH illum uncert (%),Zenith lum (cd/m^2),Zenith lum source,Zenith lum uncert (%),TotCld (tenths),TotCld source,TotCld uncert (code),OpqCld (tenths),OpqCld source,OpqCld uncert (code),Dry-bulb (C),Dry-bulb source,Dry-bulb uncert (code),Dew-point (C),Dew-point source,Dew-point uncert (code),RHum (%),RHum source,RHum uncert (code),Pressure (mbar),Pressure source,Pressure uncert (code),Wdir (degrees),Wdir source,Wdir uncert (code),Wspd (m/s),Wspd source,Wspd uncert (code),Hvis (m),Hvis source,Hvis uncert (code),CeilHgt (m),CeilHgt source,CeilHgt uncert (code),Pwat (cm),Pwat source,Pwat uncert (code),AOD (unitless),AOD source,AOD uncert (code),Alb (unitless),Alb source,Alb uncert (code),Lprecip depth (mm),Lprecip quantity (hr),Lprecip source,Lprecip uncert (code),PresWth (METAR code),PresWth source,PresWth uncert (code)
07/01/1989,01:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,A,7,0,A,7,22.9,A,7,2.2,A,7,40,A,7,944,A,7,260,A,7,7.7,A,7,24100,B,7,77777,A,7,1.5,E,8,0.000,F,8,0.00,?,0,0,1,D,9,00,C,8
07/01/1989,02:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,A,7,0,A,7,21.9,A,7,3.9,A,7,37,A,7,944,A,7,250,A,7,7.0,A,7,24100,B,7,77777,A,7,1.5,E,8,0.000,F,8,0.00,?,0,0,1,D,9,00,C,8
07/01/1989,03:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,A,7,0,A,7,21.0,A,7,5.5,A,7,42,A,7,944,A,7,280,A,7,6.4,A,7,24100,B,7,77777,A,7,1.5,E,8,0.000,F,8,0.00,?,0,0,1,D,9,00,C,8
07/01/1989,04:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,A,7,0,A,7,20.0,A,7,7.2,A,7,44,A,7,944,A,7,250,A,7,5.7,A,7,24100,B,7,77777,A,7,1.5,E,8,0.000,F,8,0.00,?,0,0,1,D,9,00,C,8
07/01/1989,05:00,14,474,15,1,13,76,1,9,7,1,13,0,1,13,0,1,9,0,1,13,0,1,21,0,A,7,0,A,7,20.6,A,7,7.8,A,7,44,A,7,945,A,7,300,A,7,5.2,A,7,40200,B,7,77777,A,7,1.5,E,8,0.000,F,8,0.00,?,0,0,1,D,9,00,C,8
07/01/1989,06:00,207,1321,113,1,13,548,1,9,25,1,13,117,1,13,416,1,9,52,1,13,58,1,21,0,A,7,0,A,7,20.0,A,7,8.9,A,7,49,A,7,945,A,7,260,A,7,6.2,A,7,40200,B,7,77777,A,7,1.6,E,8,0.000,F,8,0.00,?,0,0,1,D,9,00,C,8
07/01/1989,07:00,465,1321,315,1,9,770,1,9,42,1,13,332,1,9,715,1,9,79,1,13,106,1,18,0,A,7,0,A,7,23.3,A,7,9.4,A,7,41,A,7,945,A,7,270,A,7,7.7,A,7,56300,B,7,77777,A,7,1.7,E,8,0.000,F,8,0.00,?,0,0,1,D,9,00,C,8
07/01/1989,08:00,713,1321,532,1,9,849,1,9,71,1,13,554,1,9,833,1,9,104,1,13,164,1,18,2,A,7,0,A,7,24.4,A,7,9.4,A,7,39,A,7,946,A,7,290,A,7,9.3,A,7,56300,B,7,77777,A,7,1.7,E,8,0.000,F,8,0.00,?,0,0,1,D,9,00,C,8
07/01/1989,09:00,932,1321,732,1,9,892,1,9,100,1,13,757,1,9,889,1,9,129,1,13,245,1,18,3,A,7,0,A,7,26.1,A,7,10.0,A,7,36,A,7,946,A,7,300,A,7,7.2,A,7,56300,B,7,77777,A,7,1.7,E,8,0.000,F,8,0.00,?,0,0,1,D,9,00,C,8
07/01/1989,10:00,1108,1321,914,1,9,900,1,9,156,1,13,963,1,9,908,1,9,200,1,13,594,1,18,6,A,7,0,A,7,28.9,A,7,7.8,A,7,27,A,7,946,A,7,280,A,7,7.7,A,7,56300,B,7,77777,A,7,1.5,E,8,0.000,F,8,0.00,?,0,0,1,D,9,00,C,8
