8390,"SEVILLA",ESP,1.0,37.2,-5.9,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date (MM/DD/YYYY),Time (HH:MM),ETR (W/m^2),ETRN (W/m^2),GHI (W/m^2),GHI source,GHI uncert (%),DNI (W/m^2),DNI source,DNI uncert (%),DHI (W/m^2),DHI source,DHI uncert (%),GH illum (lx),GH illum source,Global illum uncert (%),DN illum (lx),DN illum source,DN illum uncert (%),DH illum (lx),DH illum source,DH illum uncert (%),Zenith lum (cd/m^2),Zenith lum source,Zenith lum uncert (%),TotCld (tenths),TotCld source,TotCld uncert (code),OpqCld (tenths),OpqCld source,OpqCld uncert (code),Dry-bulb (C),Dry-bulb source,Dry-bulb uncert (code),Dew-point (C),Dew-point source,Dew-point uncert (code),RHum (%),RHum source,RHum uncert (code),Pressure (mbar),Pressure source,Pressure uncert (code),Wdir (degrees),Wdir source,Wdir uncert (code),Wspd (m/s),Wspd source,Wspd uncert (code),Hvis (m),Hvis source,Hvis uncert (code),CeilHgt (m),CeilHgt source,CeilHgt uncert (code),Pwat (cm),Pwat source,Pwat uncert (code),AOD (unitless),AOD source,AOD uncert (code),Alb (unitless),Alb source,Alb uncert (code),Lprecip depth (mm),Lprecip quantity (hr),Lprecip source,Lprecip uncert (code),PresWth (METAR code),PresWth source,PresWth uncert (code)
01/01/1988,1,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,9.4,,,,,,,,,959,,,999,,,6.2,,,,,,,,,,,,,,,,,,,,,,,,
01/01/1988,2,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,9.4,,,,,,,,,959,,,220,,,6.2,,,,,,,,,,,,,,,,,,,,,,,,
01/01/1988,3,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,9.4,,,,,,,,,959,,,230,,,6.2,,,,,,,,,,,,,,,,,,,,,,,,
01/01/1988,4,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,8.9,,,,,,,,,959,,,230,,,7.2,,,,,,,,,,,,,,,,,,,,,,,,
01/01/1988,5,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,8.3,,,,,,,,,959,,,999,,,7.4,,,,,,,,,,,,,,,,,,,,,,,,
01/01/1988,6,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,7.8,,,,,,,,,959,,,999,,,7.5,,,,,,,,,,,,,,,,,,,,,,,,
01/01/1988,7,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,6.7,,,,,,,,,959,,,230,,,7.7,,,,,,,,,,,,,,,,,,,,,,,,
01/01/1988,8,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,6.1,,,,,,,,,960,,,220,,,7.7,,,,,,,,,,,,,,,,,,,,,,,,
01/01/1988,9,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,5.6,,,,,,,,,960,,,999,,,6.9,,,,,,,,,,,,,,,,,,,,,,,,
01/01/1988,10,,,,,,126,,,,,,,,,,,,,,,,,,,,,,,,6.7,,,,,,,,,961,,,250,,,6.2,,,,,,,,,,,,,,,,,,,,,,,,
01/01/1988,11,,,,,,283,,,,,,,,,,,,,,,,,,,,,,,,7.8,,,,,,,,,961,,,999,,,6.2,,,,,,,,,,,,,,,,,,,,,,,,
01/01/1988,12,,,,,,545,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,960,,,999,,,6.2,,,,,,,,,,,,,,,,,,,,,,,,
