8390,"SEVILLA",ESP,1.0,37.2,-5.9,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date (MM/DD/YYYY),Time (HH:MM),ETR (W/m^2),ETRN (W/m^2),GHI (W/m^2),GHI source,GHI uncert (%),DNI (W/m^2),DNI source,DNI uncert (%),DHI (W/m^2),DHI source,DHI uncert (%),GH illum (lx),GH illum source,Global illum uncert (%),DN illum (lx),DN illum source,DN illum uncert (%),DH illum (lx),DH illum source,DH illum uncert (%),Zenith lum (cd/m^2),Zenith lum source,Zenith lum uncert (%),TotCld (tenths),TotCld source,TotCld uncert (code),OpqCld (tenths),OpqCld source,OpqCld uncert (code),Dry-bulb (C),Dry-bulb source,Dry-bulb uncert (code),Dew-point (C),Dew-point source,Dew-point uncert (code),RHum (%),RHum source,RHum uncert (code),Pressure (mbar),Pressure source,Pressure uncert (code),Wdir (degrees),Wdir source,Wdir uncert (code),Wspd (m/s),Wspd source,Wspd uncert (code),Hvis (m),Hvis source,Hvis uncert (code),CeilHgt (m),CeilHgt source,CeilHgt uncert (code),Pwat (cm),Pwat source,Pwat uncert (code),AOD (unitless),AOD source,AOD uncert (code),Alb (unitless),Alb source,Alb uncert (code),Lprecip depth (mm),Lprecip quantity (hr),Lprecip source,Lprecip uncert (code),PresWth (METAR code),PresWth source,PresWth uncert (code)
07/01/1989,1,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,23.9,,,,,,,,,944,,,230,,,3.1,,,,,,,,,,,,,,,,,,,,,,,,
07/01/1989,2,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,18.9,,,,,,,,,944,,,240,,,2.6,,,,,,,,,,,,,,,,,,,,,,,,
07/01/1989,3,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,19.4,,,,,,,,,944,,,240,,,3.1,,,,,,,,,,,,,,,,,,,,,,,,
07/01/1989,4,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,20,,,,,,,,,944,,,180,,,2.1,,,,,,,,,,,,,,,,,,,,,,,,
07/01/1989,5,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,20.6,,,,,,,,,945,,,200,,,1.5,,,,,,,,,,,,,,,,,,,,,,,,
07/01/1989,6,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,20.6,,,,,,,,,945,,,160,,,1.5,,,,,,,,,,,,,,,,,,,,,,,,
07/01/1989,7,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,20.6,,,,,,,,,945,,,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,
07/01/1989,8,,,,,,498,,,,,,,,,,,,,,,,,,,,,,,,21.1,,,,,,,,,946,,,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,
07/01/1989,9,,,,,,624,,,,,,,,,,,,,,,,,,,,,,,,22.2,,,,,,,,,946,,,30,,,2.1,,,,,,,,,,,,,,,,,,,,,,,,
07/01/1989,10,,,,,,722,,,,,,,,,,,,,,,,,,,,,,,,23.9,,,,,,,,,946,,,360,,,3.1,,,,,,,,,,,,,,,,,,,,,,,,
07/01/1989,11,,,,,,798,,,,,,,,,,,,,,,,,,,,,,,,26.1,,,,,,,,,945,,,90,,,2.1,,,,,,,,,,,,,,,,,,,,,,,,
07/01/1989,12,,,,,,858,,,,,,,,,,,,,,,,,,,,,,,,28.3,,,,,,,,,945,,,280,,,2.1,,,,,,,,,,,,,,,,,,,,,,,,
