83910,Caceres,ESP,2,39.47,-6.33,1,405,SWEC,,,,,,,,,1.047197551,
Año,mes,día,hora,GHI,DNI,DHI,T seca,T humeda,Presión,Wdir,Wspd,Alb,Topocentric sun declination,Topocentric local hour angle,Azimut,Elevacion,Topocentric zenith angle,Top. azimuth angle (westward from S)
1989,1,1,1,0,0,0,6.7,1.4,96512,999,6.2,0.16,-22.999712,172.809967,157.880639,-72.183132,162.183132,157.880639
1989,1,1,2,0,0,0,6.7,1.4,96512,220,6.2,0.16,-22.996283,187.804494,203.854394,-71.995368,161.995368,203.854394
1989,1,1,3,0,0,0,6.7,1.4,96512,230,6.2,0.16,-22.992892,202.799043,235.822929,-64.45776,154.45776,235.822929
1989,1,1,4,0,0,0,6.7,1.4,96512,230,7.2,0.16,-22.989534,217.793649,253.716988,-54.00452,144.00452,253.716988
1989,1,1,5,0,0,0,6.7,1.4,96512,999,7.4,0.16,-22.986203,232.788344,265.657061,-42.668901,132.668901,265.657061
1989,1,1,6,0,0,0,6.1,1.4,96512,999,7.5,0.16,-22.98289,247.783154,275.207415,-31.151079,121.151079,275.207415
1989,1,1,7,0,0,0,6.1,1.8,96512,230,7.7,0.16,-22.979582,262.778098,283.909713,-19.791257,109.791257,283.909713
1989,1,1,8,0,0,0,5.6,2.4,96512,220,7.7,0.16,-22.976268,277.773184,292.602417,-8.848417,98.848417,292.602417
1989,1,1,9,15,0,15,6.1,2.7,96512,999,6.9,0.16,-22.972933,292.768413,301.875254,1.691334,88.308666,301.875254
1989,1,1,10,59,0,59,6.1,3.2,96512,250,6.2,0.16,-22.969566,307.763775,312.224842,10.682229,79.317771,312.224842
1989,1,1,11,107,0,107,6.1,3.8,96512,999,6.2,0.16,-22.966153,322.759252,324.06189,18.354251,71.645749,324.06189
1989,1,1,12,113,0,113,7.2,4,96512,999,6.2,0.16,-22.962688,337.754816,337.579649,23.979038,66.020962,337.579649
1989,1,1,13,192,18,184,7.8,4.6,96512,330,6.2,0.16,-22.959162,352.750437,352.511244,26.962912,63.037088,352.511244
1989,1,1,14,192,15,185,8.3,4.8,96512,999,6.4,0.16,-22.955572,7.746077,7.998656,26.915097,63.084903,7.998656
1989,1,1,15,113,0,113,8.9,4.8,96512,310,6.7,0.16,-22.951919,22.741702,22.897543,23.842366,66.157634,22.897543
1989,1,1,16,85,0,85,8.9,5.1,96512,320,5.1,0.16,-22.948205,37.737274,36.366255,18.145173,71.854827,36.366255
1989,1,1,17,41,0,41,8.9,5.1,96512,999,4.4,0.16,-22.944438,52.732762,48.155728,10.420154,79.579846,48.155728
1989,1,1,18,18,0,18,8.9,5.1,96512,999,3.8,0.16,-22.940628,67.728139,58.46955,1.413008,88.586992,58.46955
1989,1,1,19,6,0,0,8.3,4.8,96512,30,3.1,0.16,-22.936785,82.723389,67.722805,-9.176226,99.176226,67.722805
1989,1,1,20,0,0,0,7.8,4.6,96512,999,3.1,0.16,-22.932922,97.7185,76.415092,-20.134872,110.134872,76.415092
1989,1,1,21,0,0,0,7.2,4.3,96512,999,3.1,0.16,-22.929053,112.713475,85.14214,-31.501593,121.501593,85.14214
1989,1,1,22,0,0,0,6.7,4,96512,310,3.1,0.16,-22.92519,127.708321,94.757845,-43.015782,133.015782,94.757845
1989,1,1,23,0,0,0,6.7,3.8,96512,999,3.1,0.16,-22.921346,142.703058,106.844593,-54.329721,144.329721,106.844593
1989,1,1,24,0,0,0,6.7,3.2,96512,999,3.1,0.16,-22.917528,157.697712,125.072159,-64.717325,154.717325,125.072159
1989,1,2,1,0,0,0,6.7,2.9,96512,20,3.1,0.16,-22.913744,172.692314,157.634315,-72.067328,162.067328,157.634315
1989,1,2,2,0,0,0,6.7,2.9,96512,999,3.1,0.16,-22.909998,187.686902,203.431329,-71.950325,161.950325,203.431329
1989,1,2,3,0,0,0,6.7,2.7,96512,999,3.1,0.16,-22.906288,202.681511,235.502568,-64.469657,154.469657,235.502568
